# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.338
metadata : {}


# id : NWRW1800000030.338.1.1
반대하던 오바마, 韓·美 FTA 전도사로

반대하던	반대/NNG+하/XSV+던/ETM
오바마,	오바마/NNP+,/SP
韓·美	韓/SH+·/SP+美/SH
FTA	FTA/SL
전도사로	전도사/NNG+로/JKB


# id : NWRW1800000030.338.2.1
•불공평한 협정이라며 대선후보 시절엔 강력 반대, 실업률 9% 넘자 입장 바꿔 "일자리 7만개 만들어 줄 것"

•불공평한	•/SW+불/XPN+공평/NNG+하/XSA+ㄴ/ETM
협정이라며	협정/NNG+이/VCP+라며/EC
대선후보	대선/NNG+후보/NNG
시절엔	시절/NNG+에/JKB+ㄴ/JX
강력	강력/NNG
반대,	반대/NNG+,/SP
실업률	실업/NNG+률/XSN
9%	9/SN+%/SW
넘자	넘/VV+자/EC
입장	입장/NNG
바꿔	바꾸/VV+어/EC
"일자리	"/SS+일자리/NNG
7만개	7/SN+만/NR+개/NNB
만들어	만들/VV+어/EC
줄	주/VX+ㄹ/ETM
것"	것/NNB+"/SS


# id : NWRW1800000030.338.3.1
"한·미 자유무역협정(FTA)은 일자리를 최소 7만개 만들어낼 것입니다.

"한·미	"/SS+한·미/NNP
자유무역협정(FTA)은	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS+은/JX
일자리를	일자리/NNG+를/JKO
최소	최소/NNG
7만개	7/SN+만/NR+개/NNB
만들어낼	만들/VV+어/EC+내/VX+ㄹ/ETM
것입니다.	것/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000030.338.3.2
한·미 FTA를 통과시키지 못할 경우 중국·일본에 뒤져 있는 한국 내 미국 상품 점유율을 더욱 떨어뜨릴 것입니다."

한·미	한·미/NNP
FTA를	FTA/SL+를/JKO
통과시키지	통과/NNG+시키/XSV+지/EC
못할	못하/VX+ㄹ/ETM
경우	경우/NNG
중국·일본에	중국/NNP+·/SP+일본/NNP+에/JKB
뒤져	뒤지/VV+어/EC
있는	있/VX+는/ETM
한국	한국/NNP
내	내/NNB
미국	미국/NNP
상품	상품/NNG
점유율을	점유/NNG+율/XSN+을/JKO
더욱	더욱/MAG
떨어뜨릴	떨어뜨리/VV+ㄹ/ETM
것입니다."	것/NNB+이/VCP+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000030.338.4.1
버락 오바마 미 대통령은 올해 내내 이런 말을 입에 달고 다녔다.

버락	버락/NNP
오바마	오바마/NNP
미	미/NNP
대통령은	대통령/NNG+은/JX
올해	올해/NNG
내내	내내/MAG
이런	이런/MMD
말을	말/NNG+을/JKO
입에	입/NNG+에/JKB
달고	달/VV+고/EC
다녔다.	다니/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.338.4.2
한·미 FTA가 12일(현지 시각) 미 의회의 최종 비준을 받기까지 오바마는 'FTA 전도사'를 자임했다.

한·미	한·미/NNP
FTA가	FTA/SL+가/JKS
12일(현지	12/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
미	미/NNP
의회의	의회/NNG+의/JKG
최종	최종/NNG
비준을	비준/NNG+을/JKO
받기까지	받/VV+기/ETN+까지/JX
오바마는	오바마/NNP+는/JX
'FTA	'/SS+FTA/SL
전도사'를	전도사/NNG+'/SS+를/JKO
자임했다.	자임/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.338.4.3
그가 대선 후보 시절 "불공평한 협정"이라며 한·미 FTA 반대 목소리를 높였던 것을 생각하면 '180도 선회'인 셈이다.

그가	그/NP+가/JKS
대선	대선/NNG
후보	후보/NNG
시절	시절/NNG
"불공평한	"/SS+불/XPN+공평/NNG+하/XSA+ㄴ/ETM
협정"이라며	협정/NNG+"/SS+이/VCP+라며/EC
한·미	한·미/NNP
FTA	FTA/SL
반대	반대/NNG
목소리를	목소리/NNG+를/JKO
높였던	높이/VV+었/EP+던/ETM
것을	것/NNB+을/JKO
생각하면	생각/NNG+하/XSV+면/EC
'180도	'/SS+180/SN+도/NNB
선회'인	선회/NNG+'/SS+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.338.4.4
미 정치권에서는 "오바마가 내년 재선을 위한 '경제 승부수' 중 하나로 FTA 드라이브를 걸었다"고 분석하고 있다.

미	미/NNP
정치권에서는	정치/NNG+권/XSN+에서/JKB+는/JX
"오바마가	"/SS+오바마/NNP+가/JKS
내년	내년/NNG
재선을	재선/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
'경제	'/SS+경제/NNG
승부수'	승부수/NNG+'/SS
중	중/NNB
하나로	하나/NR+로/JKB
FTA	FTA/SL
드라이브를	드라이브/NNG+를/JKO
걸었다"고	걸/VV+었/EP+다/EF+"/SS+고/JKQ
분석하고	분석/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.338.5.1
오바마는 후보 시절 기회 있을 때마다 자동차 분야에서 양국 간 심각한 무역역조 현상을 지적하면서 한·미 FTA 내용을 보완해야 한다고 주장해왔다.

오바마는	오바마/NNP+는/JX
후보	후보/NNG
시절	시절/NNG
기회	기회/NNG
있을	있/VA+을/ETM
때마다	때/NNG+마다/JX
자동차	자동차/NNG
분야에서	분야/NNG+에서/JKB
양국	양국/NNG
간	간/NNB
심각한	심각하/VA+ㄴ/ETM
무역역조	무역/NNG+역조/NNG
현상을	현상/NNG+을/JKO
지적하면서	지적/NNG+하/XSV+면서/EC
한·미	한·미/NNP
FTA	FTA/SL
내용을	내용/NNG+을/JKO
보완해야	보완/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
주장해왔다.	주장/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.338.5.2
민주당 전통 지지층인 노조의 표를 얻기 위한 전략적 수사(修辭) 측면도 있었지만, 그는 대통령에 취임한 뒤에도 무역 정책에 적극적인 의욕을 보이지 않았다.

민주당	민주당/NNP
전통	전통/NNG
지지층인	지지/NNG+층/XSN+이/VCP+ㄴ/ETM
노조의	노조/NNG+의/JKG
표를	표/NNG+를/JKO
얻기	얻/VV+기/ETN
위한	위하/VV+ㄴ/ETM
전략적	전략/NNG+적/XSN
수사(修辭)	수사/NNG+(/SS+修辭/SH+)/SS
측면도	측면/NNG+도/JX
있었지만,	있/VA+었/EP+지만/EC+,/SP
그는	그/NP+는/JX
대통령에	대통령/NNG+에/JKB
취임한	취임/NNG+하/XSV+ㄴ/ETM
뒤에도	뒤/NNG+에/JKB+도/JX
무역	무역/NNG
정책에	정책/NNG+에/JKB
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
의욕을	의욕/NNG+을/JKO
보이지	보이/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.338.5.3
"한·미 FTA는 용도 폐기됐다"는 말이 나올 정도였다.

"한·미	"/SS+한·미/NNP
FTA는	FTA/SL+는/JX
용도	용도/NNG
폐기됐다"는	폐기/NNG+되/XSV+었/EP+다/EF+"/SS+는/ETM
말이	말/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.338.6.1
오바마를 움직인 것은 9%를 넘나드는 실업률이었다.

오바마를	오바마/NNP+를/JKO
움직인	움직이/VV+ㄴ/ETM
것은	것/NNB+은/JX
9%를	9/SN+%/SW+를/JKO
넘나드는	넘나들/VV+는/ETM
실업률이었다.	실업/NNG+률/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.338.6.2
오바마는 금융 위기 여파로 좀처럼 개선되지 않는 높은 실업률을 2012년 재선 가도에 놓인 최대 장애물로 인식했고, 한·미 FTA를 미국 내 일자리 창출의 동력으로 삼아야 한다는 참모진의 조언을 받아들인 것이다.

오바마는	오바마/NNP+는/JX
금융	금융/NNG
위기	위기/NNG
여파로	여파/NNG+로/JKB
좀처럼	좀처럼/MAG
개선되지	개선/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
높은	높/VA+은/ETM
실업률을	실업/NNG+률/XSN+을/JKO
2012년	2012/SN+년/NNB
재선	재선/NNG
가도에	가도/NNG+에/JKB
놓인	놓이/VV+ㄴ/ETM
최대	최대/NNG
장애물로	장애물/NNG+로/JKB
인식했고,	인식/NNG+하/XSV+았/EP+고/EC+,/SP
한·미	한·미/NNP
FTA를	FTA/SL+를/JKO
미국	미국/NNP
내	내/NNB
일자리	일자리/NNG
창출의	창출/NNG+의/JKG
동력으로	동력/NNG+으로/JKB
