# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.384
metadata : {}


# id : NWRW1800000046.384.1.1
朴대통령, 전역연기 장병들에게 "국민 모두가 감동"

朴대통령,	朴/SH+대통령/NNG+,/SP
전역연기	전역/NNG+연기/NNG
장병들에게	장병/NNG+들/XSN+에게/JKB
"국민	"/SS+국민/NNG
모두가	모두/NNG+가/JKS
감동"	감동/NNG+"/SS


# id : NWRW1800000046.384.2.1
韓美 통합화력훈련 참관 뒤 연기신청 장병들 만나 격려

韓美	韓美/SH
통합화력훈련	통합/NNG+화력/NNG+훈련/NNG
참관	참관/NNG
뒤	뒤/NNG
연기신청	연기/NNG+신청/NNG
장병들	장병/NNG+들/XSN
만나	만나/VV+아/EC
격려	격려/NNG


# id : NWRW1800000046.384.3.1
박근혜 대통령은 28일 오후 경기도 포천의 육군 승진과학화훈련장에서 진행된 '통합화력훈련'을 참관한 뒤 최근 남북의 군사적 대치 상황에서 전역을 연기했던 장병들을 만나 직접 격려했다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
28일	28/SN+일/NNB
오후	오후/NNG
경기도	경기도/NNP
포천의	포천/NNP+의/JKG
육군	육군/NNG
승진과학화훈련장에서	승진/NNG+과학/NNG+화/XSN+훈련장/NNG+에서/JKB
진행된	진행/NNG+되/XSV+ㄴ/ETM
'통합화력훈련'을	'/SS+통합/NNG+화력/NNG+훈련/NNG+'/SS+을/JKO
참관한	참관/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
최근	최근/MAG
남북의	남북/NNP+의/JKG
군사적	군사/NNG+적/XSN
대치	대치/NNG
상황에서	상황/NNG+에서/JKB
전역을	전역/NNG+을/JKO
연기했던	연기/NNG+하/XSV+았/EP+던/ETM
장병들을	장병/NNG+들/XSN+을/JKO
만나	만나/VV+아/EC
직접	직접/MAG
격려했다.	격려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.384.4.1
한·미 연합 전력이 참가한 이날 통합화력훈련에는 육·해·공군 등 합동 전력과 주한 미군, 특수전 전력 등이 참가했다.

한·미	한·미/NNP
연합	연합/NNG
전력이	전력/NNG+이/JKS
참가한	참가/NNG+하/XSV+ㄴ/ETM
이날	이날/NNG
통합화력훈련에는	통합/NNG+화력/NNG+훈련/NNG+에/JKB+는/JX
육·해·공군	육·해·공군/NNG
등	등/NNB
합동	합동/NNG
전력과	전력/NNG+과/JC
주한	주한/NNG
미군,	미군/NNG+,/SP
특수전	특수전/NNG
전력	전력/NNG
등이	등/NNB+이/JKS
참가했다.	참가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.384.4.2
1977년 이후 이번이 8번째로 2012년 이후 3년 만에 최대 규모로 시행됐다고 청와대는 밝혔다.

1977년	1977/SN+년/NNB
이후	이후/NNG
이번이	이번/NNG+이/JKS
8번째로	8/SN+번/NNB+째/XSN+로/JKB
2012년	2012/SN+년/NNB
3년	3/SN+년/NNB
만에	만/NNB+에/JKB
최대	최대/NNG
규모로	규모/NNG+로/JKB
시행됐다고	시행/NNG+되/XSV+었/EP+다고/EC
청와대는	청와대/NNP+는/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.384.4.3
훈련이 끝난 뒤 박 대통령은 한·미 양국 장병들을 격려했다.

훈련이	훈련/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
박	박/NNP
대통령은	대통령/NNG+은/JX
한·미	한·미/NNP
양국	양국/NNG
장병들을	장병/NNG+들/XSN+을/JKO
격려했다.	격려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.384.4.4
전역 연기를 신청했던 장병 87명 중 86명을 비롯해 비무장지대(DMZ) 작전을 수행 중인 GP(경계 소초) 근무 장병과 수색대대 장병들이 초청됐다.

전역	전역/NNG
연기를	연기/NNG+를/JKO
신청했던	신청/NNG+하/XSV+았/EP+던/ETM
장병	장병/NNG
87명	87/SN+명/NNB
중	중/NNB
86명을	86/SN+명/NNB+을/JKO
비롯해	비롯하/VV+아/EC
비무장지대(DMZ)	비/XPN+무장/NNG+지대/NNG+(/SS+DMZ/SL+)/SS
작전을	작전/NNG+을/JKO
수행	수행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
GP(경계	GP/SL+(/SS+경계/NNG
소초)	소초/NNG+)/SS
근무	근무/NNG
장병과	장병/NNG+과/JC
수색대대	수색/NNG+대대/NNG
장병들이	장병/NNG+들/XSN+이/JKS
초청됐다.	초청/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.384.5.1
박 대통령은 전역 연기 장병들에게 "이번에 훌륭한 모습을 보여줘서 국민 모두가 큰 감동을 받았다"면서 "여러분을 보면서 국민이 안심하고 마음 든든하게 생각할 것"이라고 했다.

박	박/NNP
