# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.265
metadata : {}


# id : NWRW1800000025.265.1.1
20~22일 유엔 새천년개발회의 참석 한승수 특사

20~22일	20/SN+~/SO+22/SN+일/NNB
유엔	유엔/NNP
새천년개발회의	새천년/NNG+개발/NNG+회의/NNG
참석	참석/NNG
한승수	한승수/NNP
특사	특사/NNG


# id : NWRW1800000025.265.2.1
“유엔 새천년개발목표(MDGs) 고위급회의는 ‘21세기 인류애의 중간점검’이에요.

“유엔	“/SS+유엔/NNP
새천년개발목표(MDGs)	새천년/NNG+개발/NNG+목표/NNG+(/SS+MDGs/SL+)/SS
고위급회의는	고위급/NNG+회의/NNG+는/JX
‘21세기	‘/SS+21/SN+세기/NNG
인류애의	인류애/NNG+의/JKG
중간점검’이에요.	중간/NNG+점검/NNG+’/SS+이/VCP+에요/EF+./SF


# id : NWRW1800000025.265.2.2
개발도상국들은 이 자리에서 한국이 국제사회에 어떤 메시지를 전할지 큰 관심을 가지고 있습니다.”

개발도상국들은	개발/NNG+도상국/NNG+들/XSN+은/JX
이	이/MMD
자리에서	자리/NNG+에서/JKB
한국이	한국/NNP+이/JKS
국제사회에	국제/NNG+사회/NNG+에/JKB
어떤	어떤/MMD
메시지를	메시지/NNG+를/JKO
전할지	전하/VV+ㄹ지/EF
큰	크/VA+ㄴ/ETM
관심을	관심/NNG+을/JKO
가지고	가지/VV+고/EC
있습니다.”	있/VX+습니다/EF+./SF+”/SS


# id : NWRW1800000025.265.3.1
20∼22일 미국 뉴욕에서 열리는 새천년개발목표 고위급회의에 대통령특사로 참석하는 한승수 전 국무총리는 출국 하루 전인 16일 동아일보 기자와 만나 이번 회의의 중요성을 이같이 압축했다.

20∼22일	20/SN+∼/SO+22/SN+일/NNB
미국	미국/NNP
뉴욕에서	뉴욕/NNP+에서/JKB
열리는	열리/VV+는/ETM
새천년개발목표	새천년/NNG+개발/NNG+목표/NNG
고위급회의에	고위급/NNG+회의/NNG+에/JKB
대통령특사로	대통령/NNG+특사/NNG+로/JKB
참석하는	참석/NNG+하/XSV+는/ETM
한승수	한승수/NNP
전	전/MMD
국무총리는	국무총리/NNG+는/JX
출국	출국/NNG
하루	하루/NNG
전인	전/NNG+이/VCP+ㄴ/ETM
16일	16/SN+일/NNB
동아일보	동아일보/NNP
기자와	기자/NNG+와/JKB
만나	만나/VV+아/EC
이번	이번/NNG
회의의	회의/NNG+의/JKG
중요성을	중요/NNG+성/XSN+을/JKO
이같이	이같이/MAG
압축했다.	압축/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.265.3.2
그는 22일 회의 참가국 중 18번째로 기조연설을 한다.

그는	그/NP+는/JX
22일	22/SN+일/NNB
회의	회의/NNG
참가국	참가국/NNG
중	중/NNB
18번째로	18/SN+번/NNB+째/XSN+로/JKB
기조연설을	기조연설/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.265.3.3
버락 오바마 미국 대통령의 연설은 10번째다.

버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령의	대통령/NNG+의/JKG
연설은	연설/NNG+은/JX
10번째다.	10/SN+번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000025.265.4.1
한 전 총리의 말처럼 유엔은 새천년개발목표의 이행 상황에 촉각을 곤두세우고 있다.

한	한/NNP
전	전/MMD
총리의	총리/NNG+의/JKG
말처럼	말/NNG+처럼/JKB
유엔은	유엔/NNP+은/JX
새천년개발목표의	새천년/NNG+개발/NNG+목표/NNG+의/JKG
이행	이행/NNG
상황에	상황/NNG+에/JKB
촉각을	촉각/NNG+을/JKO
곤두세우고	곤두세우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.265.4.2
‘새천년개발목표의 실패는 곧 국제사회의 실패’라는 얘기까지 나올 정도다.

‘새천년개발목표의	‘/SS+새천년/NNG+개발/NNG+목표/NNG+의/JKG
실패는	실패/NNG+는/JX
곧	곧/MAG
국제사회의	국제/NNG+사회/NNG+의/JKG
실패’라는	실패/NNG+’/SS+이/VCP+라는/ETM
얘기까지	얘기/NNG+까지/JX
나올	나오/VV+ㄹ/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.265.4.3
2000년 유엔 새천년정상회의에서 채택된 이 목표는 △절대빈곤 퇴치 △보편적 초등교육 실현 △양성평등 △유아사망률 감소 △모성보건 증진 △에이즈 등 질병퇴치 △지속가능한 환경 확보 △개발을 위한 글로벌 파트너십 구축 등 8개 목표를 2015년까지 달성하겠다는 것이다.

2000년	2000/SN+년/NNB
유엔	유엔/NNP
새천년정상회의에서	새천년/NNG+정상/NNG+회의/NNG+에서/JKB
채택된	채택/NNG+되/XSV+ㄴ/ETM
