# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.135
metadata : {}


# id : NWRW1800000022.135.1.1
[기자수첩] '유치장 탈주' 책임 회피 급급한 경찰

[기자수첩]	[/SS+기자/NNG+수첩/NNG+]/SS
'유치장	'/SS+유치장/NNG
탈주'	탈주/NNG+'/SS
책임	책임/NNG
회피	회피/NNG
급급한	급급하/VA+ㄴ/ETM
경찰	경찰/NNG


# id : NWRW1800000022.135.2.1
지난 12일 아침 공범 1명과 함께 서울 남대문경찰서 유치장 철창문을 빠져나간 이모(36)씨는 도주 6시간40분 만에 경찰서로 붙들려 들어올 때 꼬질꼬질한 흰색 운동화를 신고 있었다.

지난	지나/VV+ㄴ/ETM
12일	12/SN+일/NNB
아침	아침/NNG
공범	공범/NNG
1명과	1/SN+명/NNB+과/JKB
함께	함께/MAG
서울	서울/NNP
남대문경찰서	남대문경찰서/NNP
유치장	유치장/NNG
철창문을	철창문/NNG+을/JKO
빠져나간	빠져나가/VV+ㄴ/ETM
이모(36)씨는	이/NNP+모/NP+(/SS+36/SN+)/SS+씨/NNB+는/JX
도주	도주/NNG
6시간40분	6/SN+시간/NNB+40/SN+분/NNB
만에	만/NNB+에/JKB
경찰서로	경찰서/NNG+로/JKB
붙들려	붙들리/VV+어/EC
들어올	들어오/VV+ㄹ/ETM
때	때/NNG
꼬질꼬질한	꼬질꼬질/MAG+하/XSA+ㄴ/ETM
흰색	흰색/NNG
운동화를	운동화/NNG+를/JKO
신고	신/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.135.3.1
유치장 입감자는 반드시 비치된 슬리퍼를 신게 돼 있지만 그는 탈주할 때 이미 운동화를 신고 있었던 것으로 확인됐다.

유치장	유치장/NNG
입감자는	입감자/NNG+는/JX
반드시	반드시/MAG
비치된	비치/NNG+되/XSV+ㄴ/ETM
슬리퍼를	슬리퍼/NNG+를/JKO
신게	신/VV+게/EC
돼	되/VV+어/EC
있지만	있/VX+지만/EC
그는	그/NP+는/JX
탈주할	탈주/NNG+하/XSV+ㄹ/ETM
때	때/NNG
이미	이미/MAG
운동화를	운동화/NNG+를/JKO
신고	신/VV+고/EC
있었던	있/VX+었/EP+던/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.135.3.2
경찰은 그가 이처럼 규정을 어기고 있었다는 것도 붙잡은 뒤에야 파악했다.

경찰은	경찰/NNG+은/JX
그가	그/NP+가/JKS
이처럼	이/NP+처럼/JKB
규정을	규정/NNG+을/JKO
어기고	어기/VV+고/EC
있었다는	있/VX+었/EP+다는/ETM
것도	것/NNB+도/JX
붙잡은	붙잡/VV+은/ETM
뒤에야	뒤/NNG+에/JKB+야/JX
파악했다.	파악/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.135.4.1
탈주 피의자 2명은 애초에 렌터카 회사에서 빌린 차를 팔아넘긴 혐의로 붙잡혀 왔다.

탈주	탈주/NNG
피의자	피의자/NNG
2명은	2/SN+명/NNB+은/JX
애초에	애초/NNG+에/JKB
렌터카	렌터카/NNG
회사에서	회사/NNG+에서/JKB
빌린	빌리/VV+ㄴ/ETM
차를	차/NNG+를/JKO
팔아넘긴	팔아넘기/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
붙잡혀	붙잡히/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.135.4.2
남대문서 유치장은 8칸이다.

남대문서	남대문서/NNP
유치장은	유치장/NNG+은/JX
8칸이다.	8/SN+칸/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.135.4.3
12일 수감자는 모두 7명이었다.

12일	12/SN+일/NNB
수감자는	수감자/NNG+는/JX
모두	모두/MAG
7명이었다.	7/SN+명/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.135.4.4
각방 수용도 가능한 상황에서 경찰은 '공범은 가능한 한 따로 수감한다'는 원칙을 무시하고 두 명을 굳이 한칸에 넣었다 화를 자초했다.

각방	각방/NNG
수용도	수용/NNG+도/JX
가능한	가능/NNG+하/XSA+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
경찰은	경찰/NNG+은/JX
'공범은	'/SS+공범/NNG+은/JX
한	한/NNG
따로	따로/MAG
수감한다'는	수감/NNG+하/XSV+ㄴ다/EF+'/SS+는/ETM
원칙을	원칙/NNG+을/JKO
무시하고	무시/NNG+하/XSV+고/EC
두	두/MMN
명을	명/NNB+을/JKO
굳이	굳이/MAG
한칸에	한/MMN+칸/NNG+에/JKB
넣었다	넣/VV+었/EP+다/EC
화를	화/NNG+를/JKO
자초했다.	자초/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.135.5.1
이번 사건은 그냥 넘어갈 일이 아니다.

이번	이번/NNG
사건은	사건/NNG+은/JX
그냥	그냥/MAG
넘어갈	넘어가/VV+ㄹ/ETM
일이	일/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000022.135.5.2
경찰청 관계자는 "호송 중에 탈출했거나 형사계에서 달아났으면 몰라도 유치장에 입감된 피의자가 제 발로 도망간 건 전례가 없다"고 곤혹스러워했다.

경찰청	경찰청/NNG
관계자는	관계자/NNG+는/JX
"호송	"/SS+호송/NNG
중에	중/NNB+에/JKB
탈출했거나	탈출/NNG+하/XSV+았/EP+거나/EC
형사계에서	형사계/NNG+에서/JKB
달아났으면	달아나/VV+았/EP+으면/EC
몰라도	모르/VV+아도/EC
유치장에	유치장/NNG+에/JKB
입감된	입감/NNG+되/XSV+ㄴ/ETM
피의자가	피의자/NNG+가/JKS
제	저/NP+의/JKG
발로	발/NNG+로/JKB
도망간	도망가/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
전례가	전례/NNG+가/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
곤혹스러워했다.	곤혹/NNG+스럽/XSA+어/EC+하/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.135.6.1
그러나 남대문서 경찰관들은 이런 문제점을 반성하기보다 다른 데 관심이 많은 것 같았다.

그러나	그러나/MAJ
남대문서	남대문서/NNP
경찰관들은	경찰관/NNG+들/XSN+은/JX
이런	이런/MMD
문제점을	문제점/NNG+을/JKO
반성하기보다	반성/NNG+하/XSV+기/ETN+보다/JKB
다른	다른/MMD
데	데/NNB
관심이	관심/NNG+이/JKS
많은	많/VA+은/ETM
것	것/NNB
같았다.	같/VA+았/EP+다/EF+./SF


# id : NWRW1800000022.135.6.2
진상을 파악하러 나온 '윗선'(경찰청과 서울지방경찰청)의 움직임에만 촉각을 곤두세우고 있었다.

진상을	진상/NNG+을/JKO
파악하러	파악/NNG+하/XSV+러/EC
나온	나오/VV+ㄴ/ETM
'윗선'(경찰청과	'/SS+윗선/NNG+'/SS+(/SS+경찰청/NNG+과/JC
