# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.249
metadata : {}


# id : NWRW1800000033.249.1.1
양승호감독 떠난 롯데… 홍성흔도 떠나나

양승호감독	양승호/NNP+감독/NNG
떠난	떠나/VV+ㄴ/ETM
롯데…	롯데/NNP+…/SE
홍성흔도	홍성흔/NNP+도/JX
떠나나	떠나/VV+나/EF


# id : NWRW1800000033.249.2.1
FA자격선수 11명에 포함… 정성훈 등 알짜 많아 몸값 관심

FA자격선수	FA/SL+자격/NNG+선수/NNG
11명에	11/SN+명/NNB+에/JKB
포함…	포함/NNG+…/SE
정성훈	정성훈/NNP
등	등/NNB
알짜	알짜/NNG
많아	많/VA+아/EC
몸값	몸값/NNG
관심	관심/NNG


# id : NWRW1800000033.249.3.1
프로야구 자유계약선수(FA) 시장이 문을 열었다.

프로야구	프로/NNG+야구/NNG
자유계약선수(FA)	자유/NNG+계약/NNG+선수/NNG+(/SS+FA/SL+)/SS
시장이	시장/NNG+이/JKS
문을	문/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.249.4.1
한국야구위원회(KBO)는 2013년도 FA 자격 선수 21명 가운데 권리를 행사하겠다고 신청한 선수들의 명단을 9일 공시했다.

한국야구위원회(KBO)는	한국야구위원회/NNP+(/SS+KBO/SL+)/SS+는/JX
2013년도	2013/SN+년도/NNB
FA	FA/SL
자격	자격/NNG
선수	선수/NNG
21명	21/SN+명/NNB
가운데	가운데/NNG
권리를	권리/NNG+를/JKO
행사하겠다고	행사/NNG+하/XSV+겠/EP+다고/EC
신청한	신청/NNG+하/XSV+ㄴ/ETM
선수들의	선수/NNG+들/XSN+의/JKG
명단을	명단/NNG+을/JKO
9일	9/SN+일/NNB
공시했다.	공시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.249.4.2
홍성흔(사진) 김주찬(이상 롯데), 이진영 정성훈(이상 LG), 이호준(SK), 정현욱(삼성), 유동훈 이현곤 김원섭(이상 KIA), 이정훈(넥센), 마일영(한화) 등 11명.

홍성흔(사진)	홍성흔/NNP+(/SS+사진/NNG+)/SS
김주찬(이상	김주찬/NNP+(/SS+이상/NNG
롯데),	롯데/NNP+)/SS+,/SP
이진영	이진영/NNP
정성훈(이상	정성훈/NNP+(/SS+이상/NNG
LG),	LG/SL+)/SS+,/SP
이호준(SK),	이호준/NNP+(/SS+SK/SL+)/SS+,/SP
정현욱(삼성),	정현욱/NNP+(/SS+삼성/NNP+)/SS+,/SP
유동훈	유동훈/NNP
이현곤	이현곤/NNP
김원섭(이상	김원섭/NNP+(/SS+이상/NNG
KIA),	KIA/SL+)/SS+,/SP
이정훈(넥센),	이정훈/NNP+(/SS+넥센/NNP+)/SS+,/SP
마일영(한화)	마일영/NNP+(/SS+한화/NNP+)/SS
등	등/NNB
11명.	11/SN+명/NNB+./SF


# id : NWRW1800000033.249.4.3
역대 최대 규모였던 지난해(17명)보다는 6명이 줄었다.

역대	역대/NNG
최대	최대/NNG
규모였던	규모/NNG+이/VCP+었/EP+던/ETM
지난해(17명)보다는	지난해/NNG+(/SS+17/SN+명/NNB+)/SS+보다/JKB+는/JX
6명이	6/SN+명/NNB+이/JKS
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.249.5.1
지난해의 이대호(오릭스)만 한 초대어급은 아니지만 홍성흔 김주찬 이진영 정성훈 정현욱 등 알짜배기 준척이 많아 구단과 선수들의 힘겨루기가 볼 만할 것으로 전망된다.

지난해의	지난해/NNG+의/JKG
이대호(오릭스)만	이대호/NNP+(/SS+오릭스/NNP+)/SS+만/JX
한	하/VA+ㄴ/ETM
초대어급은	초/XPN+대어급/NNG+은/JX
아니지만	아니/VCN+지만/EC
홍성흔	홍성흔/NNP
김주찬	김주찬/NNP
이진영	이진영/NNP
정성훈	정성훈/NNP
정현욱	정현욱/NNP
등	등/NNB
알짜배기	알짜배기/NNG
준척이	준척/NNG+이/JKS
많아	많/VA+아/EC
구단과	구단/NNG+과/JC
선수들의	선수/NNG+들/XSN+의/JKG
힘겨루기가	힘겨루기/NNG+가/JKS
볼	보/VV+ㄹ/ETM
만할	만/NNB+하/XSA+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.249.6.1
이대호가 떠난 뒤 롯데의 ‘얼굴’로 자리 잡은 홍성흔은 “팀 잔류가 1순위”라면서도 자신을 시장에 내놨다.

이대호가	이대호/NNP+가/JKS
