# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.103
metadata : {}


# id : NWRW1800000028.103.1.1
새봄, 조선시대로 시간여행을

새봄,	새봄/NNG+,/SP
조선시대로	조선시대/NNG+로/JKB
시간여행을	시간/NNG+여행/NNG+을/JKO


# id : NWRW1800000028.103.2.1
‘조선시대로 시간 여행을 떠나요.’

‘조선시대로	‘/SS+조선시대/NNG+로/JKB
시간	시간/NNG
여행을	여행/NNG+을/JKO
떠나요.’	떠나/VV+아요/EF+./SF+’/SS


# id : NWRW1800000028.103.3.1
따스한 봄기운과 함께 210년 전의 조선 정조대왕 능행차 등 경기도에서 다채로운 상설공연이 시작된다.

따스한	따스하/VA+ㄴ/ETM
봄기운과	봄기운/NNG+과/JKB
함께	함께/MAG
210년	210/SN+년/NNB
전의	전/NNG+의/JKG
조선	조선/NNP
정조대왕	정조/NNP+대왕/NNG
능행차	능/NNG+행차/NNG
등	등/NNB
경기도에서	경기도/NNP+에서/JKB
다채로운	다채롭/VA+ㄴ/ETM
상설공연이	상설/NNG+공연/NNG+이/JKS
시작된다.	시작/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.103.4.1
수원화성운영재단은 오는 28일 오후 3시 일반 시민들이 조선시대 장수와 궁인 등의 의복을 입고 직접 참여하는 ‘정조대왕 능행차 연시’를 연다.

수원화성운영재단은	수원화성운영재단/NNP+은/JX
오는	오/VV+는/ETM
28일	28/SN+일/NNB
오후	오후/NNG
3시	3/SN+시/NNB
일반	일반/NNG
시민들이	시민/NNG+들/XSN+이/JKS
조선시대	조선시대/NNG
장수와	장수/NNG+와/JC
궁인	궁인/NNG
등의	등/NNB+의/JKG
의복을	의복/NNG+을/JKO
입고	입/VV+고/EC
직접	직접/MAG
참여하는	참여/NNG+하/XSV+는/ETM
‘정조대왕	‘/SS+정조/NNP+대왕/NNG
능행차	능/NNG+행차/NNG
연시’를	연시/NNG+’/SS+를/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.103.4.2
정조의 능행 기록이 적힌 <원행을묘정리의궤>에 따라 정밀하게 복원된 이 행사는 참여를 원하는 시민들의 신청을 받아 올 한해 동안 수원 화성의 연무대∼화성행궁 구간에서 격주로 열린다.

정조의	정조/NNP+의/JKG
능행	능행/NNG
기록이	기록/NNG+이/JKS
적힌	적히/VV+ㄴ/ETM
<원행을묘정리의궤>에	</SS+원행을묘정리의궤/NNG+>/SS+에/JKB
따라	따르/VV+아/EC
정밀하게	정밀/NNG+하/XSA+게/EC
복원된	복원/NNG+되/XSV+ㄴ/ETM
이	이/MMD
행사는	행사/NNG+는/JX
참여를	참여/NNG+를/JKO
원하는	원/NNG+하/XSV+는/ETM
시민들의	시민/NNG+들/XSN+의/JKG
신청을	신청/NNG+을/JKO
받아	받/VV+아/EC
올	올/NNG
한해	한/MMN+해/NNB
동안	동안/NNG
수원	수원/NNP
화성의	화성/NNP+의/JKG
연무대∼화성행궁	연무대/NNG+∼/SO+화성행궁/NNP
구간에서	구간/NNG+에서/JKB
격주로	격주/NNG+로/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.103.5.1
또 세계문화유산인 화성의 야간 경관을 즐길 수 있는 ‘야간 경관 화성돌기 체험행사’도 28일 첫선을 보인다.

또	또/MAG
세계문화유산인	세계/NNG+문화유산/NNG+이/VCP+ㄴ/ETM
화성의	화성/NNP+의/JKG
야간	야간/NNG
경관을	경관/NNG+을/JKO
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
‘야간	‘/SS+야간/NNG
경관	경관/NNG
화성돌기	화성/NNP+돌/VV+기/ETN
체험행사’도	체험/NNG+행사/NNG+’/SS+도/JX
28일	28/SN+일/NNB
첫선을	첫선/NNG+을/JKO
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.103.6.1
연중 상설 공연도 시작된다.

연중	연중/NNG
상설	상설/NNG
공연도	공연/NNG+도/JX
시작된다.	시작/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.103.6.2
화성행궁 앞 광장에서는 28일 오후 1시 조선무예24기와 장용영수위의식 등 ‘화성행궁 상설한마당’이 열린다.

화성행궁	화성행궁/NNP
앞	앞/NNG
광장에서는	광장/NNG+에서/JKB+는/JX
28일	28/SN+일/NNB
오후	오후/NNG
1시	1/SN+시/NNB
조선무예24기와	조선/NNP+무예/NNG+24/SN+기/NNG+와/JC
장용영수위의식	장용영/NNG+수위/NNG+의식/NNG
등	등/NNB
‘화성행궁	‘/SS+화성행궁/NNP
