# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.6
metadata : {}


# id : NWRW1800000041.6.1.1
통화중 피싱차단… 음성전화 더 똑똑해진다

통화중	통화/NNG+중/NNB
피싱차단…	피싱/NNG+차단/NNG+…/SE
음성전화	음성/NNG+전화/NNG
더	더/MAG
똑똑해진다	똑똑하/VA+아/EC+지/VX+ㄴ다/EF


# id : NWRW1800000041.6.2.1
SKT, 자체개발 ‘T전화’ 2월 출시

SKT,	SKT/SL+,/SP
자체개발	자체/NNG+개발/NNG
‘T전화’	‘/SS+T전화/NNP+’/SS
2월	2/SN+월/NNB
출시	출시/NNG


# id : NWRW1800000041.6.3.1
스마트폰이 등장했지만 지금까지 음성통화 기능은 큰 변화가 없었다.

스마트폰이	스마트폰/NNG+이/JKS
등장했지만	등장/NNG+하/XSV+았/EP+지만/EC
지금까지	지금/NNG+까지/JX
음성통화	음성/NNG+통화/NNG
기능은	기능/NNG+은/JX
큰	크/VA+ㄴ/ETM
변화가	변화/NNG+가/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.6.3.2
하지만 이제 음성통화도 첨단 데이터통신과 소프트웨어 기술이 결합돼 한층 더 똑똑해질 것으로 전망된다.

하지만	하지만/MAJ
이제	이제/MAG
음성통화도	음성/NNG+통화/NNG+도/JX
첨단	첨단/NNG
데이터통신과	데이터/NNG+통신/NNG+과/JC
소프트웨어	소프트웨어/NNG
기술이	기술/NNG+이/JKS
결합돼	결합/NNG+되/XSV+어/EC
한층	한층/MAG
더	더/MAG
똑똑해질	똑똑하/VA+아/EC+지/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.6.4.1
SK텔레콤은 23일 서울 중구 을지로 T타워에서 기자간담회를 열고 세계 최초로 이동통신사가 자체 개발한 음성통화 플랫폼 ‘T전화’ 서비스를 선보였다.

SK텔레콤은	SK텔레콤/NNP+은/JX
23일	23/SN+일/NNB
서울	서울/NNP
중구	중구/NNP
을지로	을지로/NNP
T타워에서	T/SL+타워/NNG+에서/JKB
기자간담회를	기자/NNG+간담회/NNG+를/JKO
열고	열/VV+고/EC
세계	세계/NNG
최초로	최초/NNG+로/JKB
이동통신사가	이동/NNG+통신사/NNG+가/JKS
자체	자체/NNG
개발한	개발/NNG+하/XSV+ㄴ/ETM
음성통화	음성/NNG+통화/NNG
플랫폼	플랫폼/NNG
‘T전화’	‘/SS+T전화/NNP+’/SS
서비스를	서비스/NNG+를/JKO
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.6.4.2
T전화 서비스는 단순히 음성통화를 연결하는 데 그치지 않고 사용자의 편리성을 극대화했다.

T전화	T전화/NNP
서비스는	서비스/NNG+는/JX
단순히	단순히/MAG
음성통화를	음성/NNG+통화/NNG+를/JKO
연결하는	연결/NNG+하/XSV+는/ETM
데	데/NNB
그치지	그치/VV+지/EC
않고	않/VX+고/EC
사용자의	사용자/NNG+의/JKG
편리성을	편리/NNG+성/XSN+을/JKO
극대화했다.	극대/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.6.5.1
예를 들어 모르는 전화가 걸려 왔을 때 수신 화면에 ‘△△은행, 카드 가입 권유’, ‘××보험’ 등으로 누가 어떤 목적으로 전화를 걸었는지 빅데이터 기술 및 집단지성을 활용해 알려준다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
모르는	모르/VV+는/ETM
전화가	전화/NNG+가/JKS
걸려	걸리/VV+어/EC
왔을	오/VX+았/EP+을/ETM
때	때/NNG
수신	수신/NNG
화면에	화면/NNG+에/JKB
‘△△은행,	‘/SS+△/SW+△/SW+은행/NNG+,/SP
카드	카드/NNG
가입	가입/NNG
권유’,	권유/NNG+’/SS+,/SP
‘××보험’	‘/SS+×/SW+×/SW+보험/NNG+’/SS
등으로	등/NNB+으로/JKB
누가	누구/NP+가/JKS
어떤	어떤/MMD
목적으로	목적/NNG+으로/JKB
전화를	전화/NNG+를/JKO
걸었는지	걸/VV+었/EP+는지/EF
빅데이터	빅데이터/NNG
기술	기술/NNG
및	및/MAG
집단지성을	집단/NNG+지성/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
알려준다.	알리/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.6.5.2
또 통화 도중에 화면을 보면서 서로 정보를 주고받거나 지능형 지도 및 영상 서비스를 이용하는 것도 가능하다.

또	또/MAG
통화	통화/NNG
도중에	도중/NNG+에/JKB
화면을	화면/NNG+을/JKO
보면서	보/VV+면서/EC
서로	서로/MAG
정보를	정보/NNG+를/JKO
주고받거나	주고받/VV+거나/EC
지능형	지능/NNG+형/XSN
지도	지도/NNG
및	및/MAG
영상	영상/NNG
서비스를	서비스/NNG+를/JKO
이용하는	이용/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000041.6.5.3
이 밖에도 가입자 이용 패턴을 분석해 자주 쓰는 기능을 한자리에 모아 편리하게 통화할 수 있도록 지원한다.

이	이/MMD
밖에도	밖/NNG+에/JKB+도/JX
가입자	가입자/NNG
이용	이용/NNG
패턴을	패턴/NNG+을/JKO
분석해	분석/NNG+하/XSV+아/EC
자주	자주/MAG
쓰는	쓰/VV+는/ETM
기능을	기능/NNG+을/JKO
한자리에	한자리/NNG+에/JKB
모아	모으/VV+아/EC
편리하게	편리/NNG+하/XSA+게/EC
통화할	통화/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
지원한다.	지원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.6.6.1
다음 달 출시되는 T전화는 SK텔레콤이 출시하는 최신 기기에는 기본으로 탑재되며 기존 안드로이드폰은 애플리케이션(앱)을 내려받으면 사용할 수 있다.

다음	다음/NNG
달	달/NNG
출시되는	출시/NNG+되/XSV+는/ETM
T전화는	T전화/NNP+는/JX
SK텔레콤이	SK텔레콤/NNP+이/JKS
출시하는	출시/NNG+하/XSV+는/ETM
최신	최신/NNG
기기에는	기기/NNG+에/JKB+는/JX
기본으로	기본/NNG+으로/JKB
탑재되며	탑재/NNG+되/XSV+며/EC
기존	기존/NNG
안드로이드폰은	안드로이드폰/NNG+은/JX
애플리케이션(앱)을	애플리케이션/NNG+(/SS+앱/NNG+)/SS+을/JKO
내려받으면	내려받/VV+으면/EC
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.6.7.1
위의석 SK텔레콤 상품본부장은 “이제껏 스마트폰의 혁신은 하드웨어나 앱 위주로 진행됐지만 전화 기능만큼은 10년 전과 차이가 없었다”며 “T전화는 이제껏 스마트폰이 가져온 기술 혁신을 최대치로 끌어올릴 차세대 플랫폼이 될 것”이라고 말했다.

위의석	위의석/NNP
SK텔레콤	SK텔레콤/NNP
상품본부장은	상품/NNG+본부장/NNG+은/JX
“이제껏	“/SS+이제껏/MAG
스마트폰의	스마트폰/NNG+의/JKG
혁신은	혁신/NNG+은/JX
하드웨어나	하드웨어/NNG+나/JC
앱	앱/NNG
위주로	위주/NNG+로/JKB
진행됐지만	진행/NNG+되/XSV+었/EP+지만/EC
전화	전화/NNG
기능만큼은	기능/NNG+만큼/JKB+은/JX
10년	10/SN+년/NNB
