# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.343
metadata : {}


# id : NWRW1800000028.343.1.1
‘남태평양 일본군 식인사건’ 규명

‘남태평양	‘/SS+남태평양/NNP
일본군	일본군/NNG
식인사건’	식인/NNG+사건/NNG+’/SS
규명	규명/NNG


# id : NWRW1800000028.343.2.1
일제강점기 중서태평양 남양군도 밀리환초에 강제동원된 조선인에 대한 일본군의 ‘식인사건’이 있었음이 공식적으로 규명됐다.

일제강점기	일제/NNG+강점기/NNG
중서태평양	중서태평양/NNP
남양군도	남양군도/NNP
밀리환초에	밀리환초/NNP+에/JKB
강제동원된	강제/NNG+동원/NNG+되/XSV+ㄴ/ETM
조선인에	조선인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
일본군의	일본군/NNG+의/JKG
‘식인사건’이	‘/SS+식인/NNG+사건/NNG+’/SS+이/JKS
있었음이	있/VA+었/EP+음/ETN+이/JKS
공식적으로	공식/NNG+적/XSN+으로/JKB
규명됐다.	규명/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.343.3.1
‘대일항쟁기 강제동원 피해조사 및 국외 강제동원 희생자 등 지원위원회’(위원장 오병주)는 5일 ‘밀리환초 조선인 저항사건과 일본군의 탄압 진상조사’ 보고서를 내어 “고립과 기아, 공포 등 극심한 전쟁 스트레스와 일본군대 내 억압적인 정신주의가 중첩돼 식인사건과 조선인 학살이 일어났다”고 밝혔다.

‘대일항쟁기	‘/SS+대일/NNG+항쟁기/NNG
강제동원	강제/NNG+동원/NNG
피해조사	피해/NNG+조사/NNG
및	및/MAG
국외	국외/NNG
희생자	희생자/NNG
등	등/NNB
지원위원회’(위원장	지원/NNG+위원회/NNG+’/SS+(/SS+위원장/NNG
오병주)는	오병주/NNP+)/SS+는/JX
5일	5/SN+일/NNB
‘밀리환초	‘/SS+밀리환초/NNP
조선인	조선인/NNG
저항사건과	저항/NNG+사건/NNG+과/JC
일본군의	일본군/NNG+의/JKG
탄압	탄압/NNG
진상조사’	진상/NNG+조사/NNG+’/SS
보고서를	보고서/NNG+를/JKO
내어	내/VV+어/EC
“고립과	“/SS+고립/NNG+과/JC
기아,	기아/NNG+,/SP
공포	공포/NNG
극심한	극심하/VA+ㄴ/ETM
전쟁	전쟁/NNG
스트레스와	스트레스/NNG+와/JC
일본군대	일본/NNP+군대/NNG
내	내/NNB
억압적인	억압/NNG+적/XSN+이/VCP+ㄴ/ETM
정신주의가	정신주의/NNG+가/JKS
중첩돼	중첩/NNG+되/XSV+어/EC
식인사건과	식인/NNG+사건/NNG+과/JC
학살이	학살/NNG+이/JKS
일어났다”고	일어나/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.343.3.2
밀리환초에서의 조선인 저항과 일본군의 학살은 생존자 진술로 알려져 있으나, 공식적인 조사를 통해 진상이 밝혀진 것은 이번이 처음이다.

밀리환초에서의	밀리환초/NNP+에서/JKB+의/JKG
