# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.220
metadata : {}


# id : NWRW1800000046.220.1.1
"예쁜 농구는 가라, 깨부수는 농구 온다"

"예쁜	"/SS+예쁘/VA+ㄴ/ETM
농구는	농구/NNG+는/JX
가라,	가/VV+라/EF+,/SP
깨부수는	깨부수/VV+는/ETM
농구	농구/NNG
온다"	오/VV+ㄴ다/EF+"/SS


# id : NWRW1800000046.220.2.1
여자농구 임근배 삼성 신임 감독… 코트 컴백 출사표

여자농구	여자/NNG+농구/NNG
임근배	임근배/NNP
삼성	삼성/NNP
신임	신임/NNG
감독…	감독/NNG+…/SE
코트	코트/NNG
컴백	컴백/NNG
출사표	출사표/NNG


# id : NWRW1800000046.220.3.1
임근배(48·사진) 삼성 신임 감독은 요즘 '팀 개조' 중이다.

임근배(48·사진)	임근배/NNP+(/SS+48/SN+·/SP+사진/NNG+)/SS
삼성	삼성/NNP
신임	신임/NNG
감독은	감독/NNG+은/JX
요즘	요즘/NNG
'팀	'/SS+팀/NNG
개조'	개조/NNG+'/SS
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.220.4.1
"기존 여자 프로농구는 예쁘잖아요.

"기존	"/SS+기존/NNG
여자	여자/NNG
프로농구는	프로/NNG+농구/NNG+는/JX
예쁘잖아요.	예쁘/VA+잖아/EF+요/JX+./SF


# id : NWRW1800000046.220.4.2
저는 예쁘게 하는 농구 말고 '깨부수는 농구'를 하고 싶습니다.

저는	저/NP+는/JX
예쁘게	예쁘/VA+게/EC
하는	하/VX+는/ETM
농구	농구/NNG
말고	말/VV+고/EC
'깨부수는	'/SS+깨부수/VV+는/ETM
농구'를	농구/NNG+'/SS+를/JKO
하고	하/VV+고/EC
싶습니다.	싶/VX+습니다/EF+./SF


# id : NWRW1800000046.220.4.3
수비도, 공격도 지금보다 와일드하고 역동적인 농구 말이죠."

수비도,	수비/NNG+도/JX+,/SP
공격도	공격/NNG+도/JX
지금보다	지금/NNG+보다/JKB
와일드하고	와일드/NNG+하/XSA+고/EC
역동적인	역동/NNG+적/XSN+이/VCP+ㄴ/ETM
농구	농구/NNG
말이죠."	말/NNG+이/VCP+죠/EF+./SF+"/SS


# id : NWRW1800000046.220.5.1
임 감독은 지난 16일 삼성 사령탑에 올랐다.

임	임/NNP
감독은	감독/NNG+은/JX
지난	지나/VV+ㄴ/ETM
16일	16/SN+일/NNB
삼성	삼성/NNP
사령탑에	사령탑/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.220.5.2
여자팀을 맡은 것은 처음이다.

여자팀을	여자/NNG+팀/NNG+을/JKO
맡은	맡/VV+은/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.220.5.3
그는 선수 시절 실업 현대에서 슈터로 활약했고, 프로 출범 후 두 시즌을 현대에서 뛰고 은퇴했다.

그는	그/NP+는/JX
선수	선수/NNG
시절	시절/NNG
실업	실업/NNG
현대에서	현대/NNP+에서/JKB
슈터로	슈터/NNG+로/JKB
활약했고,	활약/NNG+하/XSV+았/EP+고/EC+,/SP
프로	프로/NNG
출범	출범/NNG
후	후/NNG
두	두/MMN
시즌을	시즌/NNG+을/JKO
뛰고	뛰/VV+고/EC
은퇴했다.	은퇴/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.220.5.4
지도자 경력은 남자 프로 농구에서 명장 유재학(52) 감독과 함께 쌓았다.

지도자	지도자/NNG
경력은	경력/NNG+은/JX
남자	남자/NNG
프로	프로/NNG
농구에서	농구/NNG+에서/JKB
명장	명장/NNG
유재학(52)	유재학/NNP+(/SS+52/SN+)/SS
감독과	감독/NNG+과/JKB
함께	함께/MAG
쌓았다.	쌓/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.220.5.5
1999년부터 인천 신세기, SK 빅스, 전자랜드를 거쳐 울산 모비스에서 코치로 13년 넘게 유 감독을 보좌했다.

1999년부터	1999/SN+년/NNB+부터/JX
인천	인천/NNP
신세기,	신세기/NNP+,/SP
SK	SK/SL
빅스,	빅스/NNP+,/SP
전자랜드를	전자랜드/NNP+를/JKO
거쳐	거치/VV+어/EC
울산	울산/NNP
모비스에서	모비스/NNP+에서/JKB
코치로	코치/NNG+로/JKB
13년	13/SN+년/NNB
넘게	넘/VV+게/EC
유	유/NNP
감독을	감독/NNG+을/JKO
보좌했다.	보좌/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.220.5.6
모비스에선 2006년부터 2010년까지 5년간 정규리그 4회, 챔피언전 2회 우승이라는 영광도 함께 누렸다.

모비스에선	모비스/NNP+에서/JKB+ㄴ/JX
2006년부터	2006/SN+년/NNB+부터/JX
2010년까지	2010/SN+년/NNB+까지/JX
5년간	5/SN+년/NNB+간/XSN
정규리그	정규/NNG+리그/NNG
4회,	4/SN+회/NNB+,/SP
챔피언전	챔피언전/NNG
2회	2/SN+회/NNB
우승이라는	우승/NNG+이/VCP+라는/ETM
영광도	영광/NNG+도/JX
함께	함께/MAG
누렸다.	누리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.220.6.1
그런데 임 감독은 2013년 초 갑자기 모비스를 그만두고 가족이 있는 캐나다 토론토로 갔다.

그런데	그런데/MAJ
임	임/NNP
감독은	감독/NNG+은/JX
2013년	2013/SN+년/NNB
초	초/NNB
갑자기	갑자기/MAG
모비스를	모비스/NNP+를/JKO
그만두고	그만두/VV+고/EC
가족이	가족/NNG+이/JKS
있는	있/VA+는/ETM
캐나다	캐나다/NNP
토론토로	토론토/NNP+로/JKB
갔다.	가/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.220.6.2
침샘 암에 걸린 부인을 보살피면서 아들딸을 돌보기 위해서였다.

침샘	침샘/NNG
암에	암/NNG+에/JKB
걸린	걸리/VV+ㄴ/ETM
부인을	부인/NNG+을/JKO
보살피면서	보살피/VV+면서/EC
아들딸을	아들딸/NNG+을/JKO
돌보기	돌보/VV+기/ETN
위해서였다.	위하/VV+아서/EC+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.220.6.3
임 감독은 "아내는 수술이 잘됐고, 지금은 많이 좋아졌다. 6개월에 한 번씩 정기검진만 받으면 된다"고 말했다.

임	임/NNP
감독은	감독/NNG+은/JX
"아내는	"/SS+아내/NNG+는/JX
수술이	수술/NNG+이/JKS
잘됐고,	잘/MAG+되/XSV+었/EP+고/EC+,/SP
지금은	지금/NNG+은/JX
많이	많이/MAG
좋아졌다.	좋/VA+아/EC+지/VX+었/EP+다/EF+./SF
6개월에	6/SN+개월/NNB+에/JKB
한	한/MMN
번씩	번/NNB+씩/XSN
정기검진만	정기/NNG+검진/NNG+만/JX
받으면	받/VV+으면/EC
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.220.7.1
모비스는 2013년 봄부터 올해까지 3연속 정상을 차지했다.

모비스는	모비스/NNP+는/JX
2013년	2013/SN+년/NNB
봄부터	봄/NNG+부터/JX
올해까지	올해/NNG+까지/JX
3연속	3/SN+연속/NNG
정상을	정상/NNG+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.220.7.2
농구판을 떠난 임 감독은 부인이 건강을 회복하자 사업을 시작했다.

농구판을	농구/NNG+판/NNG+을/JKO
떠난	떠나/VV+ㄴ/ETM
임	임/NNP
감독은	감독/NNG+은/JX
부인이	부인/NNG+이/JKS
건강을	건강/NNG+을/JKO
회복하자	회복/NNG+하/XSV+자/EC
사업을	사업/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.220.7.3
토론토에 PC방 두 개를 차렸다.

토론토에	토론토/NNP+에/JKB
PC방	PC/SL+방/NNG
두	두/MMN
개를	개/NNB+를/JKO
차렸다.	차리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.220.7.4
"장사는 처음이었습니다.

"장사는	"/SS+장사/NNG+는/JX
처음이었습니다.	처음/NNG+이/VCP+었/EP+습니다/EF+./SF


# id : NWRW1800000046.220.7.5
컴퓨터는 클릭밖에 할 줄 몰랐죠.

컴퓨터는	컴퓨터/NNG+는/JX
클릭밖에	클릭/NNG+밖에/JX
할	하/VV+ㄹ/ETM
줄	줄/NNB
몰랐죠.	모르/VV+았/EP+죠/EF+./SF


# id : NWRW1800000046.220.7.6
그런데 하다 보니 되더라고요.

그런데	그런데/MAJ
하다	하/VV+다/EC
보니	보/VX+니/EC
되더라고요.	되/VV+더라고/EF+요/JX+./SF


# id : NWRW1800000046.220.7.7
컴퓨터에 이상이 생기면 수리를 맡겼는데, 비용이 만만치 않아서 나중엔 제가 직접 고치기도 했습니다."

컴퓨터에	컴퓨터/NNG+에/JKB
이상이	이상/NNG+이/JKS
생기면	생기/VV+면/EC
수리를	수리/NNG+를/JKO
맡겼는데,	맡기/VV+었/EP+는데/EC+,/SP
비용이	비용/NNG+이/JKS
만만치	만만하/VA+지/EC
않아서	않/VX+아서/EC
나중엔	나중/NNG+에/JKB+ㄴ/JX
제가	제/NP+가/JKS
직접	직접/MAG
고치기도	고치/VV+기/ETN+도/JX
했습니다."	하/VX+았/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000046.220.8.1
대학생 아들과 고교생 딸을 둔 임 감독은 다시 '기러기 아빠'가 됐다.

대학생	대학/NNG+생/XSN
아들과	아들/NNG+과/JC
고교생	고교/NNG+생/XSN
딸을	딸/NNG+을/JKO
둔	두/VV+ㄴ/ETM
임	임/NNP
감독은	감독/NNG+은/JX
다시	다시/MAG
'기러기	'/SS+기러기/NNG
아빠'가	아빠/NNG+'/SS+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.220.8.2
앞으로 용인에 있는 삼성 트레이닝 센터에서 생활하며 침체에 빠진 삼성을 부활시키는 데 힘쓸 예정이다.

앞으로	앞/NNG+으로/JKB
용인에	용인/NNP+에/JKB
있는	있/VA+는/ETM
삼성	삼성/NNP
트레이닝	트레이닝/NNG
센터에서	센터/NNG+에서/JKB
생활하며	생활/NNG+하/XSV+며/EC
침체에	침체/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
삼성을	삼성/NNP+을/JKO
부활시키는	부활/NNG+시키/XSV+는/ETM
데	데/NNB
힘쓸	힘쓰/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.220.8.3
통산 5번 챔피언에 올랐던 전통의 명문 구단 삼성은 최근 두 시즌 내리 정규리그 4위에 그쳤다.

통산	통산/NNG
5번	5/SN+번/NNB
챔피언에	챔피언/NNG+에/JKB
올랐던	오르/VV+았/EP+던/ETM
전통의	전통/NNG+의/JKG
명문	명문/NNG
구단	구단/NNG
삼성은	삼성/NNP+은/JX
최근	최근/NNG
두	두/MMN
시즌	시즌/NNG
내리	내리/MAG
정규리그	정규/NNG+리그/NNG
4위에	4/SN+위/NNB+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.220.9.1
임 감독은 "감독 제의를 받았을 땐 '잘할 수 있을까' 싶었다"면서 "남자, 여자 모두 농구라는 공통분모가 있으니 도전해볼 만하겠다고 생각했다"고 말했다.

임	임/NNP
감독은	감독/NNG+은/JX
"감독	"/SS+감독/NNG
제의를	제의/NNG+를/JKO
받았을	받/VV+았/EP+을/ETM
땐	때/NNG+ㄴ/JX
'잘할	'/SS+잘/MAG+하/XSV+ㄹ/ETM
수	수/NNB
있을까'	있/VA+을까/EF+'/SS
싶었다"면서	싶/VX+었/EP+다/EF+"/SS+면서/EC
"남자,	"/SS+남자/NNG+,/SP
여자	여자/NNG
모두	모두/MAG
농구라는	농구/NNG+이/VCP+라는/ETM
공통분모가	공통분모/NNG+가/JKS
있으니	있/VA+으니/EC
도전해볼	도전/NNG+하/XSV+아/EC+보/VX+ㄹ/ETM
만하겠다고	만/NNB+하/XSA+겠/EP+다고/EC
생각했다"고	생각/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.220.9.2
임 감독은 유재학 감독과 일하며 배웠던 부분을 삼성에 접목할 작정이다.

임	임/NNP
감독은	감독/NNG+은/JX
유재학	유재학/NNP
감독과	감독/NNG+과/JKB
일하며	일/NNG+하/XSV+며/EC
배웠던	배우/VV+었/EP+던/ETM
부분을	부분/NNG+을/JKO
삼성에	삼성/NNP+에/JKB
접목할	접목/NNG+하/XSV+ㄹ/ETM
작정이다.	작정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.220.9.3
"모비스에 있을 땐 상대가 아무리 강하다고 해도 약점을 찾아 공략하곤 했다"면서 "여자 농구판에서 우리은행이 3연속 통합우승을 했지만 완벽한 팀은 없다"고 말했다.

"모비스에	"/SS+모비스/NNP+에/JKB
있을	있/VA+을/ETM
땐	때/NNG+ㄴ/JX
상대가	상대/NNG+가/JKS
아무리	아무리/MAG
강하다고	강하/VA+다고/EC
해도	하/VV+아도/EC
약점을	약점/NNG+을/JKO
찾아	찾/VV+아/EC
공략하곤	공략/NNG+하/XSV+곤/EC
했다"면서	하/VX+았/EP+다/EF+"/SS+면서/EC
"여자	"/SS+여자/NNG
농구판에서	농구/NNG+판/NNG+에서/JKB
우리은행이	우리은행/NNP+이/JKS
3연속	3/SN+연속/NNG
통합우승을	통합/NNG+우승/NNG+을/JKO
했지만	하/VV+았/EP+지만/EC
완벽한	완벽/NNG+하/XSA+ㄴ/ETM
팀은	팀/NNG+은/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.220.10.1
구병두(40), 박정은(38) 코치와 다음 시즌을 준비하는 임 감독은 "종이 한두장은 쉽게 찢어져도, 여러장을 겹치면 찢기 어렵다"면서 "모든 선수가 하나가 되는 단단한 팀을 만들겠다"고 말했다.

구병두(40),	구병두/NNP+(/SS+40/SN+)/SS+,/SP
박정은(38)	박정은/NNP+(/SS+38/SN+)/SS
코치와	코치/NNG+와/JKB
다음	다음/NNG
시즌을	시즌/NNG+을/JKO
준비하는	준비/NNG+하/XSV+는/ETM
임	임/NNP
감독은	감독/NNG+은/JX
"종이	"/SS+종이/NNG
한두장은	한두/MMN+장/NNB+은/JX
쉽게	쉽/VA+게/EC
찢어져도,	찢어지/VV+어도/EC+,/SP
여러장을	여러/MMN+장/NNB+을/JKO
겹치면	겹치/VV+면/EC
찢기	찢/VV+기/ETN
