# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.337
metadata : {}


# id : NWRW1800000029.337.1.1
[횡설수설/권순활]중소기업 63%는 “구인난”

[횡설수설/권순활]중소기업	[/SS+횡설수설/NNG+//SP+권순활/NNP+]/SS+중소기업/NNG
63%는	63/SN+%/SW+는/JX
“구인난”	“/SS+구인난/NNG+”/SS


# id : NWRW1800000029.337.2.1
1960년대 광원이나 간호사로 일하기 위해 서독으로 떠난 한국인 중에는 고(高)학력자도 적지 않았다.

1960년대	1960/SN+년대/NNB
광원이나	광원/NNG+이나/JC
간호사로	간호사/NNG+로/JKB
일하기	일/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
서독으로	서독/NNP+으로/JKB
떠난	떠나/VV+ㄴ/ETM
한국인	한국인/NNG
중에는	중/NNB+에/JKB+는/JX
고(高)학력자도	고/XPN+(/SS+高/SH+)/SS+학력자/NNG+도/JX
적지	적/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.337.2.2
대학 졸업장을 가진 청년이 ‘하얀 손’ 때문에 서독행 비행기에 타지 못할까 봐 일부러 거친 손을 만들었다는 일화도 전해온다.

대학	대학/NNG
졸업장을	졸업장/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
청년이	청년/NNG+이/JKS
‘하얀	‘/SS+하얗/VA+ㄴ/ETM
손’	손/NNG+’/SS
때문에	때문/NNB+에/JKB
서독행	서독행/NNG
비행기에	비행기/NNG+에/JKB
타지	타/VV+지/EC
못할까	못하/VX+ㄹ까/EF
봐	보/VX+아/EC
일부러	일부러/MAG
거친	거칠/VA+ㄴ/ETM
손을	손/NNG+을/JKO
만들었다는	만들/VV+었/EP+다는/ETM
일화도	일화/NNG+도/JX
전해온다.	전하/VV+아/EC+오/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.337.2.3
나라가 가난하고 일자리 자체가 절대적으로 모자라던 시절, 선진국인 서독 사람들이 ‘힘든 일’이라며 기피하던 탄광과 병원 근무를 마다할 처지가 아니었다.

나라가	나라/NNG+가/JKS
가난하고	가난/NNG+하/XSA+고/EC
일자리	일자리/NNG
자체가	자체/NNG+가/JKS
절대적으로	절대/NNG+적/XSN+으로/JKB
모자라던	모자라/VV+던/ETM
시절,	시절/NNG+,/SP
선진국인	선진국/NNG+이/VCP+ㄴ/ETM
서독	서독/NNP
사람들이	사람/NNG+들/XSN+이/JKS
‘힘든	‘/SS+힘들/VA+ㄴ/ETM
일’이라며	일/NNG+’/SS+이/VCP+라며/EC
기피하던	기피/NNG+하/XSV+던/ETM
탄광과	탄광/NNG+과/JC
병원	병원/NNG
근무를	근무/NNG+를/JKO
마다할	마다하/VV+ㄹ/ETM
처지가	처지/NNG+가/JKC
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000029.337.2.4
요즘 한국과 일본의 중소 제조업체에서 일하는 개발도상국 출신 근로자 가운데도 모국에서 내로라하는 학벌을 자랑하는 사람이 심심찮게 눈에 띈다.

요즘	요즘/NNG
한국과	한국/NNP+과/JC
일본의	일본/NNP+의/JKG
중소	중소/NNG
제조업체에서	제조업체/NNG+에서/JKB
일하는	일/NNG+하/XSV+는/ETM
개발도상국	개발/NNG+도상국/NNG
출신	출신/NNG
근로자	근로자/NNG
가운데도	가운데/NNG+도/JX
모국에서	모국/NNG+에서/JKB
내로라하는	내로라하/VV+는/ETM
학벌을	학벌/NNG+을/JKO
자랑하는	자랑/NNG+하/XSV+는/ETM
사람이	사람/NNG+이/JKS
심심찮게	심심찮/VA+게/EC
눈에	눈/NNG+에/JKB
띈다.	띄/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.337.3.1
▷현재 우리 고용시장은 구직난과 구인난이 함께 존재하는 특이한 구조다.

▷현재	▷/SW+현재/MAG
우리	우리/NP
고용시장은	고용/NNG+시장/NNG+은/JX
구직난과	구직난/NNG+과/JC
구인난이	구인난/NNG+이/JKS
함께	함께/MAG
존재하는	존재/NNG+하/XSV+는/ETM
특이한	특이/NNG+하/XSA+ㄴ/ETM
구조다.	구조/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.337.3.2
대기업 공기업 공무원 교사 같은 인기 직종에는 채용 예정 인원을 훨씬 웃도는 젊은이가 몰린다.

대기업	대/XPN+기업/NNG
공기업	공기업/NNG
공무원	공무원/NNG
교사	교사/NNG
같은	같/VA+은/ETM
인기	인기/NNG
직종에는	직종/NNG+에/JKB+는/JX
채용	채용/NNG
예정	예정/NNG
인원을	인원/NNG+을/JKO
훨씬	훨씬/MAG
웃도는	웃돌/VV+는/ETM
젊은이가	젊은이/NNG+가/JKS
몰린다.	몰리/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.337.3.3
거듭 고배를 들고 몇 년간 실업상태를 감수하면서 계속 도전하는 사람도 많다.

거듭	거듭/MAG
고배를	고배/NNG+를/JKO
들고	들/VV+고/EC
몇	몇/NR
년간	년/NNB+간/XSN
실업상태를	실업/NNG+상태/NNG+를/JKO
감수하면서	감수/NNG+하/XSV+면서/EC
계속	계속/MAG
도전하는	도전/NNG+하/XSV+는/ETM
사람도	사람/NNG+도/JX
