# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.433
metadata : {}


# id : NWRW1800000022.433.1.1
제1호 명예변호사에 위촉된 71세 강선희씨;10년째 자원봉사로 민원인 도운 '법원 할머니'

제1호	제/XPN+1/SN+호/NNB
명예변호사에	명예/NNG+변호사/NNG+에/JKB
위촉된	위촉/NNG+되/XSV+ㄴ/ETM
71세	71/SN+세/NNB
강선희씨;10년째	강선희/NNP+씨/NNB+;/SP+10/SN+년/NNB+째/XSN
자원봉사로	자원봉사/NNG+로/JKB
민원인	민원인/NNG
도운	돕/VV+ㄴ/ETM
'법원	'/SS+법원/NNG
할머니'	할머니/NNG+'/SS


# id : NWRW1800000022.433.2.1
평생소원이던 변호사가 됐으니 이제 죽어도 여한이 없네요.

평생소원이던	평생소원/NNG+이/VCP+던/ETM
변호사가	변호사/NNG+가/JKC
됐으니	되/VV+었/EP+으니/EC
이제	이제/MAG
죽어도	죽/VV+어도/EC
여한이	여한/NNG+이/JKS
없네요.	없/VA+네/EF+요/JX+./SF


# id : NWRW1800000022.433.3.1
머리칼이 희끗희끗한 할머니가 까만 증서를 품에 꼭 끌어안았다.

머리칼이	머리칼/NNG+이/JKS
희끗희끗한	희끗희끗/MAG+하/XSA+ㄴ/ETM
할머니가	할머니/NNG+가/JKS
까만	까맣/VA+ㄴ/ETM
증서를	증서/NNG+를/JKO
품에	품/NNG+에/JKB
꼭	꼭/MAG
끌어안았다.	끌어안/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.433.3.2
10일 오전 서울 서초동 변호사회관.

10일	10/SN+일/NNB
오전	오전/NNG
서울	서울/NNP
서초동	서초동/NNP
변호사회관.	변호사회관/NNP+./SF


# id : NWRW1800000022.433.3.3
대한변호사협회 주최로 열린 '세계인권선언기념식'에서 강선희(71)씨가 대한변협이 주는 '제1호 명예변호사' 위촉증을 받았다.

대한변호사협회	대한변호사협회/NNP
주최로	주최/NNG+로/JKB
열린	열리/VV+ㄴ/ETM
'세계인권선언기념식'에서	'/SS+세계/NNG+인권/NNG+선언/NNG+기념식/NNG+'/SS+에서/JKB
강선희(71)씨가	강선희/NNP+(/SS+71/SN+)/SS+씨/NNB+가/JKS
대한변협이	대한변협/NNP+이/JKS
주는	주/VV+는/ETM
'제1호	'/SS+제/XPN+1/SN+호/NNB
명예변호사'	명예/NNG+변호사/NNG+'/SS
위촉증을	위촉증/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.433.4.1
증서를 받은 강씨는 점심식사를 마치자마자 부리나케 자신의 '일터'인 서울중앙지법 동관 1층 종합민원실로 향했다.

증서를	증서/NNG+를/JKO
받은	받/VV+은/ETM
강씨는	강/NNP+씨/NNB+는/JX
점심식사를	점심/NNG+식사/NNG+를/JKO
마치자마자	마치/VV+자마자/EC
부리나케	부리나케/MAG
자신의	자신/NNG+의/JKG
'일터'인	'/SS+일터/NNG+'/SS+이/VCP+ㄴ/ETM
서울중앙지법	서울중앙지법/NNP
동관	동관/NNG
1층	1/SN+층/NNG
종합민원실로	종합/NNG+민원실/NNG+로/JKB
향했다.	향하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.433.4.2
강씨는 '시민자원봉사'라는 글귀가 적힌 책상에 앉았다.

강씨는	강/NNP+씨/NNB+는/JX
'시민자원봉사'라는	'/SS+시민/NNG+자원봉사/NNG+'/SS+이/VCP+라는/ETM
글귀가	글귀/NNG+가/JKS
적힌	적히/VV+ㄴ/ETM
책상에	책상/NNG+에/JKB
앉았다.	앉/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.433.4.3
강씨가 숨도 돌리기 전에 민원인들이 법원 서류를 들이밀었다.

강씨가	강/NNP+씨/NNB+가/JKS
숨도	숨/NNG+도/JX
돌리기	돌리/VV+기/ETN
전에	전/NNG+에/JKB
민원인들이	민원인/NNG+들/XSN+이/JKS
법원	법원/NNG
서류를	서류/NNG+를/JKO
들이밀었다.	들이밀/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.433.4.4
"할머니, 오전엔 왜 안 계셨어요?"

"할머니,	"/SS+할머니/NNG+,/SP
오전엔	오전/NNG+에/JKB+ㄴ/JX
왜	왜/MAG
안	안/MAG
계셨어요?"	계시/VV+었/EP+어요/EF+?/SF+"/SS


# id : NWRW1800000022.433.5.1
강씨는 오전 10시부터 오후 4시까지 민원인들의 소장(訴狀)·합의서 작성을 돕고 소송 절차를 쉽게 설명해주는 '무료 법률 도우미'로 일한다.

강씨는	강/NNP+씨/NNB+는/JX
오전	오전/NNG
10시부터	10/SN+시/NNB+부터/JX
오후	오후/NNG
4시까지	4/SN+시/NNB+까지/JX
민원인들의	민원인/NNG+들/XSN+의/JKG
소장(訴狀)·합의서	소장/NNG+(/SS+訴狀/SH+)/SS+·/SP+합의서/NNG
작성을	작성/NNG+을/JKO
돕고	돕/VV+고/EC
소송	소송/NNG
절차를	절차/NNG+를/JKO
쉽게	쉽/VA+게/EC
설명해주는	설명/NNG+하/XSV+아/EC+주/VX+는/ETM
'무료	'/SS+무료/NNG
법률	법률/NNG
도우미'로	도우미/NNG+'/SS+로/JKB
일한다.	일/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.433.5.2
올해로 10년째다.

올해로	올해/NNG+로/JKB
10년째다.	10/SN+년/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000022.433.6.1
1961년 이화여대 법학과를 졸업한 강씨의 꿈은 판사나 변호사가 되는 것이었다.

1961년	1961/SN+년/NNB
이화여대	이화여대/NNP
법학과를	법학과/NNG+를/JKO
졸업한	졸업/NNG+하/XSV+ㄴ/ETM
강씨의	강/NNP+씨/NNB+의/JKG
꿈은	꿈/NNG+은/JX
판사나	판사/NNG+나/JC
변호사가	변호사/NNG+가/JKC
되는	되/VV+는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.433.6.2
그러나 졸업과 동시에 결혼해 4남매를 낳아 기르는 동안 강씨의 꿈은 생활에 묻혔다.

그러나	그러나/MAJ
졸업과	졸업/NNG+과/JKB
동시에	동시/NNG+에/JKB
결혼해	결혼/NNG+하/XSV+아/EC
4남매를	4/SN+남매/NNG+를/JKO
낳아	낳/VV+아/EC
기르는	기르/VV+는/ETM
동안	동안/NNG
강씨의	강/NNP+씨/NNB+의/JKG
꿈은	꿈/NNG+은/JX
생활에	생활/NNG+에/JKB
묻혔다.	묻히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.433.7.1
2000년, 강씨에게 '기회'가 찾아왔다.

2000년,	2000/SN+년/NNB+,/SP
강씨에게	강/NNP+씨/NNB+에게/JKB
'기회'가	'/SS+기회/NNG+'/SS+가/JKS
찾아왔다.	찾아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.433.7.2
서울중앙지법이 수도권 6개 대에 '법원에서 자원봉사할 사람을 찾는다'는 공문을 보낸 것이다.

서울중앙지법이	서울중앙지법/NNP+이/JKS
수도권	수도/NNG+권/XSN
6개	6/SN+개/NNB
대에	대/NNG+에/JKB
'법원에서	'/SS+법원/NNG+에서/JKB
자원봉사할	자원봉사/NNG+하/XSV+ㄹ/ETM
사람을	사람/NNG+을/JKO
찾는다'는	찾/VV+는다/EF+'/SS+는/ETM
공문을	공문/NNG+을/JKO
보낸	보내/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.433.7.3
당시 이대 법대 동창회장을 맡고 있던 강씨를 포함해 총 53명이 자원봉사에 나섰다.

당시	당시/NNG
이대	이대/NNP
법대	법대/NNG
동창회장을	동창회장/NNG+을/JKO
맡고	맡/VV+고/EC
있던	있/VX+던/ETM
강씨를	강/NNP+씨/NNB+를/JKO
포함해	포함/NNG+하/XSV+아/EC
총	총/MMA
