# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.236
metadata : {}


# id : NWRW1800000029.236.1.1
21세 처녀얼굴, 아버지 낫에… “이런 불행 이젠 끝나겠죠?”

21세	21/SN+세/NNB
처녀얼굴,	처녀/NNG+얼굴/NNG+,/SP
아버지	아버지/NNG
낫에…	낫/NNG+에/JKB+…/SE
“이런	“/SS+이런/MMD
불행	불행/NNG
이젠	이제/NNG+ㄴ/JX
끝나겠죠?”	끝나/VV+겠/EP+죠/EF+?/SF+”/SS


# id : NWRW1800000029.236.2.1
■ 가정폭력 피해女, 경찰개입 특례법 시행에 “늦었지만 다행”

■	■/SW
가정폭력	가정/NNG+폭력/NNG
피해女,	피해/NNG+女/SH+,/SP
경찰개입	경찰/NNG+개입/NNG
특례법	특례법/NNG
시행에	시행/NNG+에/JKB
“늦었지만	“/SS+늦/VA+었/EP+지만/EC
다행”	다행/NNG+”/SS


# id : NWRW1800000029.236.3.1
“법이 조금만 빨리 시행됐다면 우리 가족도, 제 얼굴도 이 지경이 되진 않았을 텐데….”

“법이	“/SS+법/NNG+이/JKS
조금만	조금/MAG+만/JX
빨리	빨리/MAG
시행됐다면	시행/NNG+되/XSV+었/EP+다면/EC
우리	우리/NP
가족도,	가족/NNG+도/JX+,/SP
제	저/NP+의/JKG
얼굴도	얼굴/NNG+도/JX
이	이/MMD
지경이	지경/NNB+이/JKC
되진	되/VV+지/EC+ㄴ/JX
않았을	않/VX+았/EP+을/ETM
텐데….”	터/NNB+이/VCP+ㄴ데/EC+…/SE+./SF+”/SS


# id : NWRW1800000029.236.4.1
26일 기자와 만난 가정폭력 희생자 A 씨(21·여)는 과거 일을 떠올리며 여전히 두려움에 떨었다.

26일	26/SN+일/NNB
기자와	기자/NNG+와/JKB
만난	만나/VV+ㄴ/ETM
가정폭력	가정/NNG+폭력/NNG
희생자	희생자/NNG
A	A/SL
씨(21·여)는	씨/NNB+(/SS+21/SN+·/SP+여/NNG+)/SS+는/JX
과거	과거/NNG
일을	일/NNG+을/JKO
떠올리며	떠올리/VV+며/EC
여전히	여전히/MAG
두려움에	두려움/NNG+에/JKB
떨었다.	떨/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.236.4.2
A 씨의 왼쪽 눈썹에는 커다란 흰색 반창고가 두껍게 붙어 있었다.

A	A/SL
씨의	씨/NNB+의/JKG
왼쪽	왼쪽/NNG
눈썹에는	눈썹/NNG+에/JKB+는/JX
커다란	커다랗/VA+ㄴ/ETM
흰색	흰색/NNG
반창고가	반창고/NNG+가/JKS
두껍게	두껍/VA+게/EC
붙어	붙/VV+어/EC
