# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.208
metadata : {}


# id : NWRW1800000054.208.1.1
내일 부산엔 '광고의 바다'가 열린다

내일	내일/MAG
부산엔	부산/NNP+에/JKB+ㄴ/JX
'광고의	'/SS+광고/NNG+의/JKG
바다'가	바다/NNG+'/SS+가/JKS
열린다	열리/VV+ㄴ다/EF


# id : NWRW1800000054.208.2.1
부산국제광고제 24~26일… 56개국 2만150편 출품 '아시아 최다'

부산국제광고제	부산/NNP+국제/NNG+광고제/NNG
24~26일…	24/SN+~/SO+26/SN+일/NNB+…/SE
56개국	56/SN+개국/NNB
2만150편	2/SN+만/NR+150/SN+편/NNB
출품	출품/NNG
'아시아	'/SS+아시아/NNP
최다'	최다/NNG+'/SS


# id : NWRW1800000054.208.3.1
24~26일 부산 해운대구 벡스코 제1전시장에서 '부산국제광고제(AD STARS 2017·adstars.org)'가 열린다.

24~26일	24/SN+~/SO+26/SN+일/NNB
부산	부산/NNP
해운대구	해운대구/NNP
벡스코	벡스코/NNP
제1전시장에서	제/XPN+1/SN+전시장/NNG+에서/JKB
'부산국제광고제(AD	'/SS+부산/NNP+국제/NNG+광고제/NNG+(/SS+AD/SL
STARS	STARS/SL
2017·adstars.org)'가	2017/SN+·/SP+adstars/SL+./SP+org/SL+)/SS+'/SS+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.208.3.2
올해로 열 돌을 맞는 이번 국제광고제의 주제는 '창의(Creativity) +-×÷ 기술(Technology)'.

올해로	올해/NNG+로/JKB
열	열/NR
돌을	돌/NNB+을/JKO
맞는	맞/VV+는/ETM
이번	이번/NNG
국제광고제의	국제/NNG+광고제/NNG+의/JKG
주제는	주제/NNG+는/JX
'창의(Creativity)	'/SS+창의/NNG+(/SS+Creativity/SL+)/SS
+-×÷	+/SW+-/SO+×/SW+÷/SW
기술(Technology)'.	기술/NNG+(/SS+Technology/SL+)/SS+'/SS+./SF


# id : NWRW1800000054.208.3.3
제4차 산업혁명 시대에 변화하는 광고계의 창의와 기술의 첨단 흐름을 모았다.

제4차	제/XPN+4/SN+차/NNB
산업혁명	산업/NNG+혁명/NNG
시대에	시대/NNG+에/JKB
변화하는	변화/NNG+하/XSV+는/ETM
광고계의	광고/NNG+계/XSN+의/JKG
창의와	창의/NNG+와/JC
기술의	기술/NNG+의/JKG
첨단	첨단/NNG
흐름을	흐름/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.208.4.1
올해 출품작은 2만150편(56국)이다.

올해	올해/NNG
출품작은	출품작/NNG+은/JX
2만150편(56국)이다.	2/SN+만/NR+150/SN+편/NNB+(/SS+56국/NNG+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000054.208.4.2
출품작 3000편으로 시작했던 2008년과 비교하면 커다란 양적 성장을 이뤘다.

출품작	출품작/NNG
3000편으로	3000/SN+편/NNB+으로/JKB
시작했던	시작/NNG+하/XSV+았/EP+던/ETM
2008년과	2008/SN+년/NNB+과/JKB
비교하면	비교/NNG+하/XSV+면/EC
커다란	커다랗/VA+ㄴ/ETM
양적	양/NNG+적/XSN
성장을	성장/NNG+을/JKO
이뤘다.	이루/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.208.4.3
출품작 규모 등으로 볼 때 종전 아시아 지역 대표 광고제였던 애드페스트(AD FEST), 스파익스 아시아(SPIKES ASIA) 등을 넘어섰다.

출품작	출품작/NNG
규모	규모/NNG
등으로	등/NNB+으로/JKB
볼	보/VV+ㄹ/ETM
때	때/NNG
종전	종전/NNG
아시아	아시아/NNP
지역	지역/NNG
대표	대표/NNG
광고제였던	광고제/NNG+이/VCP+었/EP+던/ETM
애드페스트(AD	애드페스트/NNG+(/SS+AD/SL
FEST),	FEST/SL+)/SS+,/SP
스파익스	스파익스/NNG
아시아(SPIKES	아시아/NNP+(/SS+SPIKES/SL
ASIA)	ASIA/SL+)/SS
등을	등/NNB+을/JKO
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.208.5.1
이의자 집행위원장은 "지난 10년간 부산국제광고제에서 수상한 작품들은 반짝이는 창의성으로 세계 광고계의 주목을 받아왔다"고 말했다.

이의자	이의자/NNP
집행위원장은	집행/NNG+위원장/NNG+은/JX
"지난	"/SS+지나/VV+ㄴ/ETM
10년간	10/SN+년/NNB+간/XSN
부산국제광고제에서	부산/NNP+국제/NNG+광고제/NNG+에서/JKB
수상한	수상/NNG+하/XSV+ㄴ/ETM
작품들은	작품/NNG+들/XSN+은/JX
반짝이는	반짝이/VV+는/ETM
창의성으로	창의/NNG+성/XSN+으로/JKB
세계	세계/NNG
