# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.361
metadata : {}


# id : NWRW1800000054.361.1.1
"나를 비판할 순 있지만 지지자를 비판하는 건 적폐"

"나를	"/SS+나/NP+를/JKO
비판할	비판/NNG+하/XSV+ㄹ/ETM
순	수/NNB+ㄴ/JX
있지만	있/VA+지만/EC
지지자를	지지자/NNG+를/JKO
비판하는	비판/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
적폐"	적폐/NNG+"/SS


# id : NWRW1800000054.361.2.1
안철수의 문재인 공격

안철수의	안철수/NNP+의/JKG
문재인	문재인/NNP
공격	공격/NNG


# id : NWRW1800000054.361.3.1
국민의당 안철수 후보는 10일 본지 인터뷰에서 민주당 문재인 후보를 향해 "자신을 지지하지 않는 모든 국민을 '적폐 세력'이라고 하고 있다"며 "그러면서 어떻게 국민을 통합하느냐"고 했다.

국민의당	국민의당/NNP
안철수	안철수/NNP
후보는	후보/NNG+는/JX
10일	10/SN+일/NNB
본지	본지/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
민주당	민주당/NNP
문재인	문재인/NNP
후보를	후보/NNG+를/JKO
향해	향하/VV+아/EC
"자신을	"/SS+자신/NNG+을/JKO
지지하지	지지/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
모든	모든/MMN
국민을	국민/NNG+을/JKO
'적폐	'/SS+적폐/NNG
세력'이라고	세력/NNG+'/SS+이라고/JKQ
하고	하/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"그러면서	"/SS+그러/VV+면서/EC
어떻게	어떻/VA+게/EC
통합하느냐"고	통합/NNG+하/XSV+느냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.361.3.2
안 후보는 문 후보가 자신을 '정권 연장 대리인'이라고 한 데 대해 "상대 정치인인 나를 비판할 수야 있지만 나를 지지하는 국민을 내놓고 비판하는 것은 심각한 문제"라며 "그런 사고 방식이야말로 적폐이자 청산 대상"이라고 말했다.

안	안/NNP
후보는	후보/NNG+는/JX
문	문/NNP
후보가	후보/NNG+가/JKS
자신을	자신/NNG+을/JKO
'정권	'/SS+정권/NNG
연장	연장/NNG
대리인'이라고	대리인/NNG+'/SS+이라고/JKQ
한	하/VV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
"상대	"/SS+상대/NNG
정치인인	정치인/NNG+이/VCP+ㄴ/ETM
나를	나/NP+를/JKO
비판할	비판/NNG+하/XSV+ㄹ/ETM
수야	수/NNB+야/JX
있지만	있/VA+지만/EC
지지하는	지지/NNG+하/XSV+는/ETM
국민을	국민/NNG+을/JKO
내놓고	내놓/VV+고/EC
비판하는	비판/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
심각한	심각하/VA+ㄴ/ETM
문제"라며	문제/NNG+"/SS+이/VCP+라며/EC
"그런	"/SS+그런/MMD
사고	사고/NNG
방식이야말로	방식/NNG+이야말로/JX
적폐이자	적폐/NNG+이/VCP+자/EC
청산	청산/NNG
대상"이라고	대상/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.361.4.1
