# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.43
metadata : {}


# id : NWRW1800000045.43.1.1
日경찰, 일가족 살해범 추적 ‘끝까지 간다’

日경찰,	日/SH+경찰/NNG+,/SP
일가족	일가족/NNG
살해범	살해범/NNG
추적	추적/NNG
‘끝까지	‘/SS+끝/NNG+까지/JX
간다’	가/VV+ㄴ다/EF+’/SS


# id : NWRW1800000045.43.2.1
14년째 수사… 공소시효도 폐지 1억8200만원 사상최고 현상금… 경관들 30일 사고현장 찾아 헌화

14년째	14/SN+년/NNB+째/XSN
수사…	수사/NNG+…/SE
공소시효도	공소/NNG+시효/NNG+도/JX
폐지	폐지/NNG
1억8200만원	1/SN+억/NR+8200/SN+만/NR+원/NNB
사상최고	사상/NNG+최고/NNG
현상금…	현상금/NNG+…/SE
경관들	경관/NNG+들/XSN
30일	30/SN+일/NNB
사고현장	사고/NNG+현장/NNG
찾아	찾/VV+아/EC
헌화	헌화/NNG


# id : NWRW1800000045.43.3.1
일본 사법당국이 공소시효까지 없애며 14년 동안 일가족 살해범을 쫓고 있다.

일본	일본/NNP
사법당국이	사법/NNG+당국/NNG+이/JKS
공소시효까지	공소/NNG+시효/NNG+까지/JX
없애며	없애/VV+며/EC
14년	14/SN+년/NNB
동안	동안/NNG
일가족	일가족/NNG
살해범을	살해범/NNG+을/JKO
쫓고	쫓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.43.3.2
사건이 발생한 때는 2000년 12월 31일 새벽.

사건이	사건/NNG+이/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
때는	때/NNG+는/JX
2000년	2000/SN+년/NNB
12월	12/SN+월/NNB
31일	31/SN+일/NNB
새벽.	새벽/NNG+./SF


# id : NWRW1800000045.43.3.3
도쿄(東京) 세타가야(世田谷) 구 가미소시가야(上祖師谷)의 한 단독주택에 강도가 침입해 부부와 아이 2명 등 4명의 일가족을 살해하고 달아났다.

도쿄(東京)	도쿄/NNP+(/SS+東京/SH+)/SS
세타가야(世田谷)	세타가야/NNP+(/SS+世田谷/SH+)/SS
구	구/NNG
가미소시가야(上祖師谷)의	가미소시가야/NNP+(/SS+上祖師谷/SH+)/SS+의/JKG
한	한/MMN
단독주택에	단독/NNG+주택/NNG+에/JKB
강도가	강도/NNG+가/JKS
침입해	침입/NNG+하/XSV+아/EC
부부와	부부/NNG+와/JC
아이	아이/NNG
2명	2/SN+명/NNB
등	등/NNB
4명의	4/SN+명/NNB+의/JKG
일가족을	일가족/NNG+을/JKO
살해하고	살해/NNG+하/XSV+고/EC
달아났다.	달아나/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.43.3.4
경시청은 혈흔조사를 통해 범인의 혈액형이 A형이며 키는 170cm 전후라는 것을 밝혀냈다.

경시청은	경시청/NNG+은/JX
혈흔조사를	혈흔/NNG+조사/NNG+를/JKO
통해	통하/VV+아/EC
범인의	범인/NNG+의/JKG
혈액형이	혈액/NNG+형/XSN+이/JKS
A형이며	A/SL+형/XSN+이/VCP+며/EC
키는	키/NNG+는/JX
170cm	170/SN+cm/SW
전후라는	전후/NNG+이/VCP+라는/ETM
것을	것/NNB+을/JKO
밝혀냈다.	밝혀내/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.43.3.5
현장에서 지문도 수십 개 나와 전과 대조를 해 본 결과 초범임이 판명됐다.

현장에서	현장/NNG+에서/JKB
지문도	지문/NNG+도/JX
수십	수십/NR
개	개/NNB
나와	나오/VV+아/EC
전과	전과/NNG
대조를	대조/NNG+를/JKO
해	하/VV+아/EC
본	보/VX+ㄴ/ETM
결과	결과/NNG
초범임이	초범/NNG+이/VCP+ㅁ/ETN+이/JKS
판명됐다.	판명/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.43.4.1
