# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.225
metadata : {}


# id : NWRW1800000041.225.1.1
[휴지통/단독]절도범 발견 금은방 女사장… “도둑 붙잡게 남자들 다나와”

[휴지통/단독]절도범	[/SS+휴지통/NNG+//SP+단독/NNG+]/SS+절도범/NNG
발견	발견/NNG
금은방	금은방/NNG
女사장…	女/SH+사장/NNG+…/SE
“도둑	“/SS+도둑/NNG
붙잡게	붙잡/VV+게/EC
남자들	남자/NNG+들/XSN
다나와”	다/MAG+나오/VV+아/EF+”/SS


# id : NWRW1800000041.225.2.1
인근 식당 뛰어가 SOS… 10대 잡아

인근	인근/NNG
식당	식당/NNG
뛰어가	뛰어가/VV+아/EC
SOS…	SOS/SL+…/SE
10대	10/SN+대/NNB
잡아	잡/VV+아/EF


# id : NWRW1800000041.225.3.1
“여기 혹시 수상한 사람 안 왔나요?”

“여기	“/SS+여기/NP
혹시	혹시/MAG
수상한	수상/NNG+하/XSV+ㄴ/ETM
사람	사람/NNG
안	안/MAG
왔나요?”	오/VV+았/EP+나/EF+요/JX+?/SF+”/SS


# id : NWRW1800000041.225.4.1
8일 오후 1시 40분경.

8일	8/SN+일/NNB
오후	오후/NNG
1시	1/SN+시/NNB
40분경.	40/SN+분/NNB+경/XSN+./SF


# id : NWRW1800000041.225.4.2
서울 종암경찰서 월곡지구대 경찰들이 성북구의 한 금은방에 찾아와 물었다.

서울	서울/NNP
종암경찰서	종암경찰서/NNP
월곡지구대	월곡지구대/NNP
경찰들이	경찰/NNG+들/XSN+이/JKS
성북구의	성북구/NNP+의/JKG
한	한/MMN
금은방에	금은방/NNG+에/JKB
찾아와	찾아오/VV+아/EC
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.225.4.3
금은방 사장 송모 씨(46·여)는 갑자기 한 남성의 얼굴이 떠올랐다.

금은방	금은방/NNG
사장	사장/NNG
송모	송/NNP+모/NP
씨(46·여)는	씨/NNB+(/SS+46/SN+·/SP+여/NNG+)/SS+는/JX
갑자기	갑자기/MAG
한	한/MMN
남성의	남성/NNG+의/JKG
얼굴이	얼굴/NNG+이/JKS
떠올랐다.	떠오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.225.4.4
30분 전쯤 고객 6명과 대화를 나눌 때 자꾸 주변을 기웃거리던 남성이었다.

30분	30/SN+분/NNB
전쯤	전/NNG+쯤/XSN
고객	고객/NNG
6명과	6/SN+명/NNB+과/JKB
대화를	대화/NNG+를/JKO
나눌	나누/VV+ㄹ/ETM
때	때/NNG
자꾸	자꾸/MAG
