# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.71
metadata : {}


# id : NWRW1800000045.71.1.1
[신문과 놀자!/주니어를 위한 사설 따라잡기]다친 어린이 내버려둔 학원엔 ‘세림이법’ 없었다

[신문과	[/SS+신문/NNG+과/JKB
놀자!/주니어를	놀/VV+자/EF+!/SF+//SP+주니어/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
사설	사설/NNG
따라잡기]다친	따라잡/VV+기/ETN+]/SS+다치/VV+ㄴ/ETM
어린이	어린이/NNG
내버려둔	내버리/VV+어/EC+두/VX+ㄴ/ETM
학원엔	학원/NNG+에/JKB+ㄴ/JX
‘세림이법’	‘/SS+세림이/NNP+법/NNG+’/SS
없었다	없/VA+었/EP+다/EF


# id : NWRW1800000045.71.2.1
《 달리던 태권도학원 차량의 문이 열리는 바람에 여섯 살짜리 Y 양이 떨어져 숨지는 사고가 일어났다.

《	《/SS
달리던	달리/VV+던/ETM
태권도학원	태권도/NNG+학원/NNG
차량의	차량/NNG+의/JKG
문이	문/NNG+이/JKS
열리는	열리/VV+는/ETM
바람에	바람/NNB+에/JKB
여섯	여섯/NR
살짜리	살/NNB+짜리/XSN
Y	Y/SL
양이	양/NNB+이/JKS
떨어져	떨어지/VV+어/EC
숨지는	숨지/VV+는/ETM
사고가	사고/NNG+가/JKS
일어났다.	일어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.71.2.2
지난달 30일 경기 용인시에서 한 태권도장의 관장인 김모 씨는 자기가 운전하던 승합차 뒷문이 열리면서 Y 양이 튕겨 나가자 다친 어린이를 다시 차에 태우고 태권도장으로 돌아가 119에 신고했다.

지난달	지난달/NNG
30일	30/SN+일/NNB
경기	경기/NNP
용인시에서	용인시/NNP+에서/JKB
한	한/MMN
태권도장의	태권도장/NNG+의/JKG
관장인	관장/NNG+이/VCP+ㄴ/ETM
김모	김/NNP+모/NP
씨는	씨/NNB+는/JX
자기가	자기/NP+가/JKS
운전하던	운전/NNG+하/XSV+던/ETM
승합차	승합차/NNG
뒷문이	뒷문/NNG+이/JKS
열리면서	열리/VV+면서/EC
Y	Y/SL
양이	양/NNB+이/JKS
튕겨	튕기/VV+어/EC
나가자	나가/VV+자/EC
다친	다치/VV+ㄴ/ETM
어린이를	어린이/NNG+를/JKO
다시	다시/MAG
차에	차/NNG+에/JKB
태우고	태우/VV+고/EC
태권도장으로	태권도장/NNG+으로/JKB
돌아가	돌아가/VV+아/EC
119에	119/SN+에/JKB
신고했다.	신고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.71.2.3
올해 1월부터 시행된 어린이 통학차량의 안전 관련 법률인 ‘세림이법’에 따르면 통학차량에 탄 어린이들은 반드시 안전띠를 매야 하고 차에 타고 내릴 때는 운전자가 내려 안전을 확인하도록 돼 있다.

올해	올해/NNG
1월부터	1/SN+월/NNB+부터/JX
시행된	시행/NNG+되/XSV+ㄴ/ETM
어린이	어린이/NNG
통학차량의	통학/NNG+차량/NNG+의/JKG
안전	안전/NNG
관련	관련/NNG
법률인	법률/NNG+이/VCP+ㄴ/ETM
‘세림이법’에	‘/SS+세림이/NNP+법/NNG+’/SS+에/JKB
따르면	따르/VV+면/EC
통학차량에	통학/NNG+차량/NNG+에/JKB
탄	타/VV+ㄴ/ETM
어린이들은	어린이/NNG+들/XSN+은/JX
반드시	반드시/MAG
안전띠를	안전띠/NNG+를/JKO
매야	매/VV+어야/EC
하고	하/VX+고/EC
차에	차/NNG+에/JKB
타고	타/VV+고/EC
내릴	내리/VV+ㄹ/ETM
때는	때/NNG+는/JX
운전자가	운전자/NNG+가/JKS
내려	내리/VV+어/EC
안전을	안전/NNG+을/JKO
확인하도록	확인/NNG+하/XSV+도록/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.71.2.4
그러나 사고 차량에 탄 원생 8명은 모두 안전띠를 매지 않았다.

그러나	그러나/MAJ
사고	사고/NNG
차량에	차량/NNG+에/JKB
탄	타/VV+ㄴ/ETM
원생	원생/NNG
8명은	8/SN+명/NNB+은/JX
모두	모두/MAG
안전띠를	안전띠/NNG+를/JKO
매지	매/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.71.2.5
같이 타고 있던 어린이들을 태권도학원에 먼저 보내느라 다친 Y 양을 26분이나 내버려둔 것이다.

같이	같이/MAG
타고	타/VV+고/EC
있던	있/VX+던/ETM
어린이들을	어린이/NNG+들/XSN+을/JKO
태권도학원에	태권도/NNG+학원/NNG+에/JKB
먼저	먼저/MAG
보내느라	보내/VV+느라/EC
다친	다치/VV+ㄴ/ETM
Y	Y/SL
양을	양/NNB+을/JKO
26분이나	26/SN+분/NNB+이나/JX
내버려둔	내버리/VV+어/EC+두/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.71.3.1
지난달에도 4세 남자 어린이가 자신이 내린 어린이집 통학버스에 치여 숨졌다.

지난달에도	지난달/NNG+에/JKB+도/JX
4세	4/SN+세/NNB
남자	남자/NNG
어린이가	어린이/NNG+가/JKS
자신이	자신/NNG+이/JKS
내린	내리/VV+ㄴ/ETM
어린이집	어린이집/NNG
통학버스에	통학/NNG+버스/NNG+에/JKB
치여	치이/VV+어/EC
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.71.3.2
또 통학버스가 갑자기 멈추면서 보육교사가 안고 있던 두 살배기가 머리를 다쳐 목숨을 잃는 안타까운 일도 있었다.

또	또/MAG
통학버스가	통학/NNG+버스/NNG+가/JKS
갑자기	갑자기/MAG
멈추면서	멈추/VV+면서/EC
보육교사가	보육/NNG+교사/NNG+가/JKS
안고	안/VV+고/EC
있던	있/VX+던/ETM
두	두/MMN
살배기가	살/NNB+배기/XSN+가/JKS
머리를	머리/NNG+를/JKO
다쳐	다치/VV+어/EC
목숨을	목숨/NNG+을/JKO
잃는	잃/VV+는/ETM
안타까운	안타깝/VA+ㄴ/ETM
일도	일/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000045.71.3.3
사고가 이렇게 자주 일어나는데도 ‘세림이법’에서 학원, 체육시설 등의 15인승 이하 차량에 대해 ‘운전자가 아닌 보호자와 차를 함께 타도록 하는 규정’을 2년간 유예(일을 진행하는 데 날짜나 시간을 미룸)한 것은 법률을 만드는 데서 저지른 매우 큰 잘못이다.

사고가	사고/NNG+가/JKS
이렇게	이렇/VA+게/EC
자주	자주/MAG
일어나는데도	일어나/VV+는데/EC+도/JX
‘세림이법’에서	‘/SS+세림이/NNP+법/NNG+’/SS+에서/JKB
학원,	학원/NNG+,/SP
체육시설	체육/NNG+시설/NNG
등의	등/NNB+의/JKG
15인승	15인승/NNG
이하	이하/NNG
차량에	차량/NNG+에/JKB
대해	대하/VV+아/EC
‘운전자가	‘/SS+운전자/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
보호자와	보호자/NNG+와/JKB
차를	차/NNG+를/JKO
함께	함께/MAG
타도록	타/VV+도록/EC
하는	하/VX+는/ETM
규정’을	규정/NNG+’/SS+을/JKO
2년간	2/SN+년/NNB+간/XSN
유예(일을	유예/NNG+(/SS+일/NNG+을/JKO
진행하는	진행/NNG+하/XSV+는/ETM
데	데/NNB
날짜나	날짜/NNG+나/JC
시간을	시간/NNG+을/JKO
미룸)한	미루/VV+ㅁ/ETN+)/SS+하/VV+ㄴ/ETM
것은	것/NNB+은/JX
법률을	법률/NNG+을/JKO
만드는	만들/VV+는/ETM
데서	데/NNB+서/JKB
저지른	저지르/VV+ㄴ/ETM
매우	매우/MAG
큰	크/VA+ㄴ/ETM
잘못이다.	잘못/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.71.4.1
사고 위험이 높은 작은 학원들의 차량이 안전 사각지대(관심이나 영향이 미치지 못하는 구역)에 놓여 있다.

사고	사고/NNG
위험이	위험/NNG+이/JKS
높은	높/VA+은/ETM
작은	작/VA+은/ETM
학원들의	학원/NNG+들/XSN+의/JKG
차량이	차량/NNG+이/JKS
안전	안전/NNG
사각지대(관심이나	사각지대/NNG+(/SS+관심/NNG+이나/JC
영향이	영향/NNG+이/JKS
미치지	미치/VV+지/EC
못하는	못하/VX+는/ETM
구역)에	구역/NNG+)/SS+에/JKB
놓여	놓이/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.71.4.2
솜방망이 처벌도 보완해야 한다.

솜방망이	솜방망이/NNG
처벌도	처벌/NNG+도/JX
보완해야	보완/NNG+하/XSV+아야/EC
