# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.285
metadata : {}


# id : NWRW1800000054.285.1.1
[특파원 리포트] 아베 총리만 더 세졌다

[특파원	[/SS+특파원/NNG
리포트]	리포트/NNG+]/SS
아베	아베/NNP
총리만	총리/NNG+만/JX
더	더/MAG
세졌다	세/VA+어/EC+지/VX+었/EP+다/EF


# id : NWRW1800000054.285.2.1
아베 신조 일본 총리가 부산 소녀상 문제로 일시 귀국시켰던 일본 대사를 이번 주 한국에 돌려보낸다고 한다.

아베	아베/NNP
신조	신조/NNP
일본	일본/NNP
총리가	총리/NNG+가/JKS
부산	부산/NNP
소녀상	소녀상/NNG
문제로	문제/NNG+로/JKB
일시	일시/NNG
귀국시켰던	귀국/NNG+시키/XSV+었/EP+던/ETM
대사를	대사/NNG+를/JKO
이번	이번/NNG
주	주/NNG
한국에	한국/NNP+에/JKB
돌려보낸다고	돌려보내/VV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.285.2.2
문제는 그걸로 이번 일이 끝나는 게 아니라는 점이다.

문제는	문제/NNG+는/JX
그걸로	그거/NP+ㄹ로/JKB
이번	이번/NNG
일이	일/NNG+이/JKS
끝나는	끝나/VV+는/ETM
게	거/NNB+이/JKC
아니라는	아니/VCN+라는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.285.2.3
대선 중에도, 새 정권 출범 후에도 소녀상과 위안부 합의가 계속 새로 논란이 될 가능성이 크다.

대선	대선/NNG
중에도,	중/NNB+에/JKB+도/JX+,/SP
새	새/MMA
정권	정권/NNG
출범	출범/NNG
후에도	후/NNG+에/JKB+도/JX
소녀상과	소녀상/NNG+과/JC
위안부	위안부/NNG
합의가	합의/NNG+가/JKS
계속	계속/MAG
새로	새로/MAG
논란이	논란/NNG+이/JKC
될	되/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000054.285.2.4
길게 보면 이번 파문의 출발점은 6년 전인 2011년이었다.

길게	길/VA+게/EC
보면	보/VV+면/EC
이번	이번/NNG
파문의	파문/NNG+의/JKG
출발점은	출발점/NNG+은/JX
6년	6/SN+년/NNB
전인	전/NNG+이/VCP+ㄴ/ETM
2011년이었다.	2011/SN+년/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.285.3.1
그해 12월 14일 우리는 1000번째 수요 집회를 맞아 서울 종로구청 앞에 첫 번째 소녀상을 세웠다.

그해	그해/NNG
12월	12/SN+월/NNB
14일	14/SN+일/NNB
우리는	우리/NP+는/JX
1000번째	1000/SN+번/NNB+째/XSN
수요	수요/NNG
집회를	집회/NNG+를/JKO
맞아	맞/VV+아/EC
서울	서울/NNP
종로구청	종로구청/NNP
앞에	앞/NNG+에/JKB
첫	첫/MMN
번째	번/NNB+째/XSN
소녀상을	소녀상/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.285.3.2
보수 정부가 길을 터줬다.

보수	보수/NNG
정부가	정부/NNG+가/JKS
길을	길/NNG+을/JKO
터줬다.	트/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.285.3.3
우리나라 법에는 '도로에 공작물을 세울 수 없다'고 쓰여 있다.

우리나라	우리나라/NNG
법에는	법/NNG+에/JKB+는/JX
'도로에	'/SS+도로/NNG+에/JKB
공작물을	공작물/NNG+을/JKO
세울	세우/VV+ㄹ/ETM
수	수/NNB
없다'고	없/VA+다/EF+'/SS+고/JKQ
쓰여	쓰이/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.285.3.4
이명박 정부가 '국가사업에 관계된 건 예외일 수 있다'는 다른 조항을 찾아 구청의 협조를 끌어냈다.

이명박	이명박/NNP
정부가	정부/NNG+가/JKS
'국가사업에	'/SS+국가사업/NNG+에/JKB
관계된	관계/NNG+되/XSV+ㄴ/ETM
건	거/NNB+ㄴ/JX
예외일	예외/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있다'는	있/VA+다/EF+'/SS+는/ETM
다른	다른/MMD
조항을	조항/NNG+을/JKO
찾아	찾/VV+아/EC
구청의	구청/NNG+의/JKG
협조를	협조/NNG+를/JKO
끌어냈다.	끌어내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.285.4.1
일본 우익이 끓었지만 국제사회는 우리 얘기에 더 귀를 기울였다.

일본	일본/NNP
우익이	우익/NNG+이/JKS
끓었지만	끓/VV+었/EP+지만/EC
국제사회는	국제/NNG+사회/NNG+는/JX
우리	우리/NP
얘기에	얘기/NNG+에/JKB
더	더/MAG
귀를	귀/NNG+를/JKO
기울였다.	기울이/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.285.4.2
이듬해 상징적인 순간이 세 차례 왔다.

이듬해	이듬해/NNG
상징적인	상징/NNG+적/XSN+이/VCP+ㄴ/ETM
순간이	순간/NNG+이/JKS
세	세/MMN
차례	차례/NNG
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.285.4.3
첫째는 2012년 6월 힐러리 클린턴 당시 미 국무장관이 '위안부' 용어를 쓰는 부하에게 "성 노예(sex slave)라고 하라"고 했을 때다.

첫째는	첫째/NR+는/JX
2012년	2012/SN+년/NNB
6월	6/SN+월/NNB
힐러리	힐러리/NNP
클린턴	클린턴/NNP
당시	당시/NNG
미	미/NNP
국무장관이	국무/NNG+장관/NNG+이/JKS
'위안부'	'/SS+위안부/NNG+'/SS
용어를	용어/NNG+를/JKO
쓰는	쓰/VV+는/ETM
부하에게	부하/NNG+에게/JKB
"성	"/SS+성/NNG
노예(sex	노예/NNG+(/SS+sex/SL
slave)라고	slave/SL+)/SS+이/VCP+라고/EC
하라"고	하/VV+라/EF+"/SS+고/JKQ
했을	하/VV+았/EP+을/ETM
때다.	때/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.285.4.4
우리는 그때 큰 틀에서 일본을 이겼다.

우리는	우리/NP+는/JX
그때	그때/NNG
큰	크/VA+ㄴ/ETM
틀에서	틀/NNG+에서/JKB
일본을	일본/NNP+을/JKO
이겼다.	이기/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.285.4.5
하지만 지금 우리가 더 깊이 곱씹어야 할 건 그 뒤의 두 순간이다.

하지만	하지만/MAJ
지금	지금/MAG
우리가	우리/NP+가/JKS
더	더/MAG
깊이	깊이/MAG
곱씹어야	곱씹/VV+어야/EC
할	하/VX+ㄹ/ETM
건	거/NNB+ㄴ/JX
그	그/MMD
뒤의	뒤/NNG+의/JKG
두	두/MMN
순간이다.	순간/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.285.4.6
두 달 뒤 이명박 대통령이 독도에 발을 딛고, 넉 달 뒤 아베 총리가 재집권했다.

두	두/MMN
달	달/NNB
뒤	뒤/NNG
이명박	이명박/NNP
대통령이	대통령/NNG+이/JKS
독도에	독도/NNP+에/JKB
발을	발/NNG+을/JKO
딛고,	딛/VV+고/EC+,/SP
넉	넉/MMN
아베	아베/NNP
총리가	총리/NNG+가/JKS
재집권했다.	재/XPN+집권/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.285.5.1
MB는 외교·안보 참모가 사임해 청와대에 정무 라인밖에 없을 때 독도에 갔다.

MB는	MB/SL+는/JX
외교·안보	외교/NNG+·/SP+안보/NNG
참모가	참모/NNG+가/JKS
사임해	사임/NNG+하/XSV+아/EC
청와대에	청와대/NNP+에/JKB
정무	정무/NNG
라인밖에	라인/NNG+밖에/JX
없을	없/VA+을/ETM
때	때/NNG
독도에	독도/NNP+에/JKB
갔다.	가/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.285.5.2
