# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.253
metadata : {}


# id : NWRW1800000045.253.1.1
한화 로저스 190만달러 재계약… 2016 연봉왕

한화	한화/NNP
로저스	로저스/NNP
190만달러	190/SN+만/NR+달러/NNB
재계약…	재/XPN+계약/NNG+…/SE
2016	2016/SN
연봉왕	연봉/NNG+왕/NNG


# id : NWRW1800000045.253.2.1
ML, 티켓파워 센 타자가 연봉 많아… 한국은 반대로 빅 10중 투수가 7명 구원투수가 선발투수보다 더 받기도

ML,	ML/SL+,/SP
티켓파워	티켓/NNG+파워/NNG
센	세/VA+ㄴ/ETM
타자가	타자/NNG+가/JKS
연봉	연봉/NNG
많아…	많/VA+아/EF+…/SE
한국은	한국/NNP+은/JX
반대로	반대/NNG+로/JKB
빅	빅/NNG
10중	10/SN+중/NNB
투수가	투수/NNG+가/JKS
7명	7/SN+명/NNB
구원투수가	구원/NNG+투수/NNG+가/JKS
선발투수보다	선발/NNG+투수/NNG+보다/JKB
더	더/MAG
받기도	받/VV+기/ETN+도/JX


# id : NWRW1800000045.253.3.1
“야구는 스포츠라고 하기엔 너무 비즈니스적이고, 비즈니스라고 하기엔 너무 스포츠적이다.”(필립 리글리)

“야구는	“/SS+야구/NNG+는/JX
스포츠라고	스포츠/NNG+이/VCP+라고/EC
하기엔	하/VV+기/ETN+에/JKB+ㄴ/JX
너무	너무/MAG
비즈니스적이고,	비즈니스/NNG+적/XSN+이/VCP+고/EC+,/SP
비즈니스라고	비즈니스/NNG+이/VCP+라고/EC
스포츠적이다.”(필립	스포츠/NNG+적/XSN+이/VCP+다/EF+./SF+”/SS+(/SS+필립/NNP
리글리)	리글리/NNP+)/SS


# id : NWRW1800000045.253.4.1
메이저리그에서 자유계약선수(FA)를 영입할 때 가장 높게 평가하는 건 ‘티켓 파워’다.

메이저리그에서	메이저리그/NNG+에서/JKB
자유계약선수(FA)를	자유/NNG+계약/NNG+선수/NNG+(/SS+FA/SL+)/SS+를/JKO
영입할	영입/NNG+하/XSV+ㄹ/ETM
때	때/NNG
가장	가장/MAG
높게	높/VA+게/EC
평가하는	평가/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
‘티켓	‘/SS+티켓/NNG
파워’다.	파워/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000045.253.4.2
미네소타가 한국 시장을 노리고 박병호(29)에게 투자한 것과 달리 테임즈(29)에게 관심을 보이는 구단이 없는 이유가 바로 티켓 파워 차이 때문이다.

미네소타가	미네소타/NNP+가/JKS
한국	한국/NNP
시장을	시장/NNG+을/JKO
노리고	노리/VV+고/EC
박병호(29)에게	박병호/NNP+(/SS+29/SN+)/SS+에게/JKB
투자한	투자/NNG+하/XSV+ㄴ/ETM
것과	것/NNB+과/JKB
달리	달리/MAG
테임즈(29)에게	테임즈/NNP+(/SS+29/SN+)/SS+에게/JKB
관심을	관심/NNG+을/JKO
보이는	보이/VV+는/ETM
구단이	구단/NNG+이/JKS
없는	없/VA+는/ETM
이유가	이유/NNG+가/JKS
바로	바로/MAG
티켓	티켓/NNG
파워	파워/NNG
차이	차이/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.253.4.3
그래서 메이저리그에서는 제아무리 기량이 뛰어난 투수라도 매일 경기에 출전할 수 있는 타자들 몸값을 넘어서기 어렵다.

그래서	그래서/MAJ
메이저리그에서는	메이저리그/NNG+에서/JKB+는/JX
제아무리	제아무리/MAG
기량이	기량/NNG+이/JKS
뛰어난	뛰어나/VA+ㄴ/ETM
투수라도	투수/NNG+이/VCP+라도/EC
매일	매일/MAG
경기에	경기/NNG+에/JKB
출전할	출전/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
타자들	타자/NNG+들/XSN
몸값을	몸값/NNG+을/JKO
넘어서기	넘어서/VV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000045.253.4.4
실제로 역대 메이저리그 최고액 계약 사례 10명 중에서 투수는 두 명밖에 없다.

실제로	실제로/MAG
역대	역대/NNG
메이저리그	메이저리그/NNG
최고액	최고액/NNG
계약	계약/NNG
사례	사례/NNG
10명	10/SN+명/NNB
중에서	중/NNB+에서/JKB
투수는	투수/NNG+는/JX
두	두/MMN
명밖에	명/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000045.253.4.5
순위도 8, 9위다.

순위도	순위/NNG+도/JX
8,	8/SN+,/SP
9위다.	9/SN+위/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.253.5.1
그나마 보스턴이 2일 왼손 투수 데이비드 프라이스(30)와 역대 최고 투수 몸값인 2억1700만 달러(약 2525억8800만 원)에 FA 계약을 맺어 두 명으로 늘어났다.

그나마	그나마/MAG
보스턴이	보스턴/NNP+이/JKS
2일	2/SN+일/NNB
왼손	왼손/NNG
투수	투수/NNG
데이비드	데이비드/NNP
프라이스(30)와	프라이스/NNP+(/SS+30/SN+)/SS+와/JC
역대	역대/NNG
최고	최고/NNG
몸값인	몸값/NNG+이/VCP+ㄴ/ETM
2억1700만	2/SN+억/NR+1700/SN+만/NR
달러(약	달러/NNB+(/SS+약/MMA
2525억8800만	2525/SN+억/NR+8800/SN+만/NR
원)에	원/NNB+)/SS+에/JKB
FA	FA/SL
