# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.81
metadata : {}


# id : NWRW1800000044.81.1.1
아프간대선 부정의혹에 결과발표 연기

아프간대선	아프간/NNP+대선/NNG
부정의혹에	부정/NNG+의혹/NNG+에/JKB
결과발표	결과/NNG+발표/NNG
연기	연기/NNG


# id : NWRW1800000044.81.2.1
[한겨레] 1차투표서 앞선 압둘라 후보

[한겨레]	[/SS+한겨레/NNP+]/SS
1차투표서	1/SN+차/NNB+투표/NNG+서/JKB
앞선	앞서/VV+ㄴ/ETM
압둘라	압둘라/NNP
후보	후보/NNG


# id : NWRW1800000044.81.3.1
선관위 개입 녹음테이프 공개

선관위	선관위/NNG
개입	개입/NNG
녹음테이프	녹음테이프/NNG
공개	공개/NNG


# id : NWRW1800000044.81.4.1
표 매수 암시·직원 교체 담겨

표	표/NNG
매수	매수/NNG
암시·직원	암시/NNG+·/SP+직원/NNG
교체	교체/NNG
담겨	담기/VV+어/EF


# id : NWRW1800000044.81.5.1
“양을 비우지 말고 가득 채워.”

“양을	“/SS+양/NNG+을/JKO
비우지	비우/VV+지/EC
말고	말/VX+고/EC
가득	가득/MAG
채워.”	채우/VV+어/EF+./SF+”/SS


# id : NWRW1800000044.81.6.1
아프가니스탄 대선이 선거 부정 의혹으로 얼룩지고 있다.

아프가니스탄	아프가니스탄/NNP
대선이	대선/NNG+이/JKS
선거	선거/NNG
부정	부정/NNG
의혹으로	의혹/NNG+으로/JKB
얼룩지고	얼룩지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.81.6.2
유력 후보인 압둘라 압둘라 전 외무장관 쪽은 22일 결선 투표 상대인 아슈라프 가니 전 재무장관 쪽이 부정을 저질렀다고 주장하며 약 13분짜리 녹음테이프를 폭로했다.

유력	유력/NNG
후보인	후보/NNG+이/VCP+ㄴ/ETM
압둘라	압둘라/NNP
전	전/MMD
외무장관	외무/NNG+장관/NNG
쪽은	쪽/NNB+은/JX
22일	22/SN+일/NNB
결선	결선/NNG
투표	투표/NNG
상대인	상대/NNG+이/VCP+ㄴ/ETM
아슈라프	아슈라프/NNP
가니	가니/NNP
재무장관	재무/NNG+장관/NNG
쪽이	쪽/NNB+이/JKS
부정을	부정/NNG+을/JKO
저질렀다고	저지르/VV+었/EP+다고/EC
주장하며	주장/NNG+하/XSV+며/EC
약	약/MMA
13분짜리	13/SN+분/NNB+짜리/XSN
녹음테이프를	녹음테이프/NNG+를/JKO
폭로했다.	폭로/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.81.6.3
녹음테이프는 지아울하크 아마르힐 중앙선거관리위원회 사무국장으로 추정되는 인물이 지역 선관위 직원에게 가니 후보를 위해 선거 부정을 저지르라고 지시하는 내용을 담고 있다.

녹음테이프는	녹음테이프/NNG+는/JX
지아울하크	지아울하크/NNP
아마르힐	아마르힐/NNP
중앙선거관리위원회	중앙/NNG+선거/NNG+관리/NNG+위원회/NNG
사무국장으로	사무국장/NNG+으로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
인물이	인물/NNG+이/JKS
지역	지역/NNG
선관위	선관위/NNG
직원에게	직원/NNG+에게/JKB
가니	가니/NNP
후보를	후보/NNG+를/JKO
위해	위하/VV+아/EC
선거	선거/NNG
부정을	부정/NNG+을/JKO
저지르라고	저지르/VV+라고/EC
지시하는	지시/NNG+하/XSV+는/ETM
내용을	내용/NNG+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.81.6.4
압둘라 후보 쪽은 대화에서 ‘양’은 투표함을 뜻한다고 주장했다.

압둘라	압둘라/NNP
후보	후보/NNG
쪽은	쪽/NNB+은/JX
대화에서	대화/NNG+에서/JKB
‘양’은	‘/SS+양/NNG+’/SS+은/JX
투표함을	투표함/NNG+을/JKO
뜻한다고	뜻/NNG+하/XSV+ㄴ다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.81.6.5
<가디언>은 이 녹음테이프에 한 남성이 “요즘 양과 염소 값이 치솟고 있다”고 말한 내용도 들어 있다고 전했다.

<가디언>은	</SS+가디언/NNP+>/SS+은/JX
이	이/MMD
녹음테이프에	녹음테이프/NNG+에/JKB
한	한/MMN
남성이	남성/NNG+이/JKS
“요즘	“/SS+요즘/NNG
양과	양/NNG+과/JC
염소	염소/NNG
값이	값/NNG+이/JKS
치솟고	치솟/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
내용도	내용/NNG+도/JX
들어	들/VV+어/EC
있다고	있/VX+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.81.6.6
표 매수를 뜻하는 것으로 보인다.

표	표/NNG
매수를	매수/NNG+를/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.81.7.1
또 아마르힐 사무국장으로 추정되는 인물이 북서부 지역인 파리아브주의 선관위 관리에게 “직원들을 모두 해고한 뒤 파슈툰족과 우즈베크족 출신으로 바꿔라”고 말한 내용도 들어 있다.

또	또/MAG
아마르힐	아마르힐/NNP
사무국장으로	사무국장/NNG+으로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
인물이	인물/NNG+이/JKS
북서부	북서부/NNG
지역인	지역/NNG+이/VCP+ㄴ/ETM
파리아브주의	파리아브주/NNP+의/JKG
선관위	선관위/NNG
관리에게	관리/NNG+에게/JKB
“직원들을	“/SS+직원/NNG+들/XSN+을/JKO
모두	모두/MAG
해고한	해고/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
파슈툰족과	파슈툰족/NNP+과/JC
우즈베크족	우즈베크족/NNP
출신으로	출신/NNG+으로/JKB
바꿔라”고	바꾸/VV+어라/EF+”/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
내용도	내용/NNG+도/JX
들어	들/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.81.7.2
가니 후보는 아프간 최대 부족인 파슈툰족 출신이고, 가니 후보의 러닝메이트인 압둘 라시드 도스툼은 우즈베크족 군벌 출신이다.

가니	가니/NNP
후보는	후보/NNG+는/JX
아프간	아프간/NNP
최대	최대/NNG
부족인	부족/NNG+이/VCP+ㄴ/ETM
파슈툰족	파슈툰족/NNP
출신이고,	출신/NNG+이/VCP+고/EC+,/SP
후보의	후보/NNG+의/JKG
러닝메이트인	러닝메이트/NNG+이/VCP+ㄴ/ETM
압둘	압둘/NNP
라시드	라시드/NNP
도스툼은	도스툼/NNP+은/JX
우즈베크족	우즈베크족/NNP
군벌	군벌/NNG
출신이다.	출신/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.81.7.3
반면, 압둘라 후보는 파슈툰족과 타지크족 혼혈로 타지크족 사이에서 더 단단한 지지 기반을 갖고 있다.

반면,	반면/NNG+,/SP
압둘라	압둘라/NNP
후보는	후보/NNG+는/JX
파슈툰족과	파슈툰족/NNP+과/JC
타지크족	타지크족/NNP
혼혈로	혼혈/NNG+로/JKB
사이에서	사이/NNG+에서/JKB
더	더/MAG
단단한	단단하/VA+ㄴ/ETM
지지	지지/NNG
기반을	기반/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.81.8.1
압둘라 후보 쪽은 녹음테이프를 어떻게 입수했는지는 밝히지 않았고, 테이프의 진위 여부도 확인되지 않았다.

압둘라	압둘라/NNP
후보	후보/NNG
쪽은	쪽/NNB+은/JX
녹음테이프를	녹음테이프/NNG+를/JKO
어떻게	어떻/VA+게/EC
입수했는지는	입수/NNG+하/XSV+았/EP+는지/EF+는/JX
밝히지	밝히/VV+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
테이프의	테이프/NNG+의/JKG
진위	진위/NNG
여부도	여부/NNG+도/JX
확인되지	확인/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.81.8.2
아마르힐 사무국장은 23일 선거 개입 의혹을 부인하면서도 “국가의 이익을 위해” 사임하겠다고 밝혔다.

아마르힐	아마르힐/NNP
사무국장은	사무국장/NNG+은/JX
23일	23/SN+일/NNB
선거	선거/NNG
개입	개입/NNG
의혹을	의혹/NNG+을/JKO
부인하면서도	부인/NNG+하/XSV+면서/EC+도/JX
“국가의	“/SS+국가/NNG+의/JKG
이익을	이익/NNG+을/JKO
위해”	위하/VV+아/EC+”/SS
사임하겠다고	사임/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.81.9.1
