# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.207
metadata : {}


# id : NWRW1800000030.207.1.1
아듀! 피터팬 김병철

아듀!	아듀/NNG+!/SF
피터팬	피터팬/NNP
김병철	김병철/NNP


# id : NWRW1800000030.207.2.1
•프로농구 마지막 원년 멤버 은퇴

•프로농구	•/SW+프로/NNG+농구/NNG
마지막	마지막/NNG
원년	원년/NNG
멤버	멤버/NNG
은퇴	은퇴/NNG


# id : NWRW1800000030.207.3.1
프로농구의 마지막 원년 멤버인 김병철(38·오리온스)이 코트를 떠난다.

프로농구의	프로/NNG+농구/NNG+의/JKG
마지막	마지막/NNG
원년	원년/NNG
멤버인	멤버/NNG+이/VCP+ㄴ/ETM
김병철(38·오리온스)이	김병철/NNP+(/SS+38/SN+·/SP+오리온스/NNP+)/SS+이/JKS
코트를	코트/NNG+를/JKO
떠난다.	떠나/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.207.3.2
용산고·고려대를 졸업하고 1997시즌 오리온스에서 프로 데뷔를 한 그는 상무에서 뛴 2년을 빼고 13시즌 내내 연고지 대구를 대표하는 스타였다.

용산고·고려대를	용산고/NNP+·/SP+고려대/NNP+를/JKO
졸업하고	졸업/NNG+하/XSV+고/EC
1997시즌	1997/SN+시즌/NNG
오리온스에서	오리온스/NNP+에서/JKB
프로	프로/NNG
데뷔를	데뷔/NNG+를/JKO
한	하/VV+ㄴ/ETM
그는	그/NP+는/JX
상무에서	상무/NNP+에서/JKB
뛴	뛰/VV+ㄴ/ETM
2년을	2/SN+년/NNB+을/JKO
빼고	빼/VV+고/EC
13시즌	13/SN+시즌/NNG
내내	내내/MAG
연고지	연고지/NNG
대구를	대구/NNP+를/JKO
대표하는	대표/NNG+하/XSV+는/ETM
스타였다.	스타/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.207.3.3
10시즌 이상 뛴 KBL 원년 멤버 중에 팀을 옮기지 않은 유일한 선수이기도 하다.

10시즌	10/SN+시즌/NNG
이상	이상/NNG
뛴	뛰/VV+ㄴ/ETM
KBL	KBL/SL
원년	원년/NNG
멤버	멤버/NNG
중에	중/NNB+에/JKB
팀을	팀/NNG+을/JKO
옮기지	옮기/VV+지/EC
않은	않/VX+은/ETM
유일한	유일/NNG+하/XSA+ㄴ/ETM
선수이기도	선수/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000030.207.4.1
김병철은 KBL을 대표하는 슈팅가드였다.

김병철은	김병철/NNP+은/JX
KBL을	KBL/SL+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
슈팅가드였다.	슈팅/NNG+가드/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.207.4.2
통산 경기당 평균 12.3득점, 2.1리바운드, 2.9어시스트를 기록했다.

통산	통산/NNG
경기당	경기/NNG+당/XSN
평균	평균/NNG
12.3득점,	12/SN+./SP+3/SN+득점/NNG+,/SP
2.1리바운드,	2/SN+./SP+1/SN+리바운드/NNG+,/SP
2.9어시스트를	2/SN+./SP+9/SN+어시스트/NNG+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.207.4.3
2001~2002시즌 때는 가드 김승현과 호흡을 맞춰 오리온스의 정규리그·챔피언전 통합 우승을 이끌었다.

2001~2002시즌	2001/SN+~/SO+2002/SN+시즌/NNG
때는	때/NNG+는/JX
가드	가드/NNG
김승현과	김승현/NNP+과/JKB
호흡을	호흡/NNG+을/JKO
맞춰	맞추/VV+어/EC
오리온스의	오리온스/NNP+의/JKG
정규리그·챔피언전	정규/NNG+리그/NNG+·/SP+챔피언전/NNG
통합	통합/NNG
우승을	우승/NNG+을/JKO
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.207.4.4
당시 김승현은 정규리그 최우수선수와 신인상을 휩쓰는 첫 선수로 이름을 올리며 단숨에 수퍼스타로 떠올랐다.

당시	당시/NNG
김승현은	김승현/NNP+은/JX
정규리그	정규/NNG+리그/NNG
최우수선수와	최/XPN+우수/NNG+선수/NNG+와/JC
신인상을	신인상/NNG+을/JKO
휩쓰는	휩쓸/VV+는/ETM
첫	첫/MMN
선수로	선수/NNG+로/JKB
이름을	이름/NNG+을/JKO
올리며	올리/VV+며/EC
단숨에	단숨에/MAG
수퍼스타로	수퍼스타/NNG+로/JKB
떠올랐다.	떠오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.207.4.5
김병철은 2002~2003시즌 정규리그 최우수선수에 오르며 팀의 정규리그 2연속 우승에 앞장섰다.

김병철은	김병철/NNP+은/JX
