# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.312
metadata : {}


# id : NWRW1800000026.312.1.1
83년째 트럭 생산… 기술력 아무도 못따라와;'국내 점유율 2위'볼보트럭 로젠베르크 아시아 총괄 사장

83년째	83/SN+년/NNB+째/XSN
트럭	트럭/NNG
생산…	생산/NNG+…/SE
기술력	기술력/NNG
아무도	아무/NP+도/JX
못따라와;'국내	못/MAG+따라오/VV+아/EC+;/SW+'/SS+국내/NNG
점유율	점유/NNG+율/XSN
2위'볼보트럭	2/SN+위/NNB+'/SS+볼보트럭/NNP
로젠베르크	로젠베르크/NNP
아시아	아시아/NNP
총괄	총괄/NNG
사장	사장/NNG


# id : NWRW1800000026.312.2.1
볼보트럭의 요아킴 로젠베르크(Rosenberg) 아시아총괄 사장은 지난 8일 경기도 동탄에서 열린 볼보 신형 덤프트럭·트랙터 출시 행사에서 "볼보트럭이 한국 대형트럭 시장에서 현대차에 이어 점유율 2위라는 놀라운 성과를 내는 이유는 볼보트럭의 축적된 기술력과 노하우를 경쟁사들이 쉽게 따라올 수 없기 때문"이라고 설명했다.

볼보트럭의	볼보트럭/NNP+의/JKG
요아킴	요아킴/NNP
로젠베르크(Rosenberg)	로젠베르크/NNP+(/SS+Rosenberg/SL+)/SS
아시아총괄	아시아/NNP+총괄/NNG
사장은	사장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
8일	8/SN+일/NNB
경기도	경기도/NNP
동탄에서	동탄/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
볼보	볼보/NNP
신형	신형/NNG
덤프트럭·트랙터	덤프트럭/NNG+·/SP+트랙터/NNG
출시	출시/NNG
행사에서	행사/NNG+에서/JKB
"볼보트럭이	"/SS+볼보트럭/NNP+이/JKS
한국	한국/NNP
대형트럭	대형/NNG+트럭/NNG
시장에서	시장/NNG+에서/JKB
현대차에	현대차/NNP+에/JKB
이어	잇/VV+어/EC
점유율	점유/NNG+율/XSN
2위라는	2/SN+위/NNB+이/VCP+라는/ETM
놀라운	놀랍/VA+ㄴ/ETM
성과를	성과/NNG+를/JKO
내는	내/VV+는/ETM
이유는	이유/NNG+는/JX
축적된	축적/NNG+되/XSV+ㄴ/ETM
기술력과	기술력/NNG+과/JC
노하우를	노하우/NNG+를/JKO
경쟁사들이	경쟁사/NNG+들/XSN+이/JKS
쉽게	쉽/VA+게/EC
따라올	따라오/VV+ㄹ/ETM
수	수/NNB
없기	없/VA+기/ETN
때문"이라고	때문/NNB+"/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.312.3.1
올 1~8월 사이에 누적으로 20t 이상 덤프트럭·트랙터의 한국 시장 점유율 순위는 현대차(1262대), 볼보트럭(625대), 스카니아(573대), 벤츠(410대), 타타대우(186대), 이베코(115대), 만(144대)순.

올	올/NNG
1~8월	1/SN+~/SO+8/SN+월/NNB
사이에	사이/NNG+에/JKB
누적으로	누적/NNG+으로/JKB
20t	20/SN+t/SW
이상	이상/NNG
덤프트럭·트랙터의	덤프트럭/NNG+·/SP+트랙터/NNG+의/JKG
한국	한국/NNP
시장	시장/NNG
점유율	점유/NNG+율/XSN
순위는	순위/NNG+는/JX
현대차(1262대),	현대차/NNP+(/SS+1262/SN+대/NNB+)/SS+,/SP
볼보트럭(625대),	볼보트럭/NNP+(/SS+625/SN+대/NNB+)/SS+,/SP
스카니아(573대),	스카니아/NNP+(/SS+573/SN+대/NNB+)/SS+,/SP
벤츠(410대),	벤츠/NNP+(/SS+410/SN+대/NNB+)/SS+,/SP
타타대우(186대),	타타대우/NNP+(/SS+186/SN+대/NNB+)/SS+,/SP
이베코(115대),	이베코/NNP+(/SS+115/SN+대/NNB+)/SS+,/SP
