# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.97
metadata : {}


# id : NWRW1800000026.97.1.1
'형만한 아우' 허재가 이긴 수싸움;KCC, 4강PO 첫 판서 KT 잡아… 모비스도 동부에 1승

'형만한	'/SS+형/NNG+만/JX+하/VA+ㄴ/ETM
아우'	아우/NNG+'/SS
허재가	허재/NNP+가/JKS
이긴	이기/VV+ㄴ/ETM
수싸움;KCC,	수/NNG+싸움/NNG+;/SW+KCC/SL+,/SP
4강PO	4/SN+강/NNB+PO/SL
첫	첫/MMN
판서	판/NNB+서/JKB
KT	KT/SL
잡아…	잡/VV+아/EC+…/SE
모비스도	모비스/NNP+도/JX
동부에	동부/NNP+에/JKB
1승	1/SN+승/NNB


# id : NWRW1800000026.97.2.1
남자 프로농구 4강 플레이오프에서 격돌한 울산 모비스의 유재학, 부산 KT의 전창진, 전주 KCC의 허재, 원주 동부의 강동희 감독은 현역 시절 소속팀 등에서 한솥밥을 먹으며 '호형호제'했던 사이다.

남자	남자/NNG
프로농구	프로/NNG+농구/NNG
4강	4/SN+강/NNB
플레이오프에서	플레이오프/NNG+에서/JKB
격돌한	격돌/NNG+하/XSV+ㄴ/ETM
울산	울산/NNP
모비스의	모비스/NNP+의/JKG
유재학,	유재학/NNP+,/SP
부산	부산/NNP
KT의	KT/SL+의/JKG
전창진,	전창진/NNP+,/SP
전주	전주/NNP
KCC의	KCC/SL+의/JKG
허재,	허재/NNP+,/SP
원주	원주/NNP
동부의	동부/NNP+의/JKG
강동희	강동희/NNP
감독은	감독/NNG+은/JX
현역	현역/NNG
시절	시절/NNG
소속팀	소속/NNG+팀/NNG
등에서	등/NNB+에서/JKB
한솥밥을	한솥밥/NNG+을/JKO
먹으며	먹/VV+으며/EC
'호형호제'했던	'/SS+호형호제/NNG+'/SS+하/VV+았/EP+던/ETM
사이다.	사이/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.97.2.2
상대를 누구보다 잘 아는 이들의 포스트 시즌 첫 맞대결은 지략싸움에서 승부가 갈렸다.

상대를	상대/NNG+를/JKO
누구보다	누구/NP+보다/JKB
잘	잘/MAG
아는	알/VV+는/ETM
이들의	이/NP+들/XSN+의/JKG
포스트	포스트/NNG
시즌	시즌/NNG
첫	첫/MMN
맞대결은	맞대결/NNG+은/JX
지략싸움에서	지략/NNG+싸움/NNG+에서/JKB
승부가	승부/NNG+가/JKS
갈렸다.	갈리/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.97.3.1
21일 부산 KT와 전주 KCC의 4강 플레이오프 1차전에서 허재 KCC 감독이 KT 전창진 감독에게 판정승을 거두면서 95대89로 승리했다.

21일	21/SN+일/NNB
부산	부산/NNP
KT와	KT/SL+와/JC
전주	전주/NNP
KCC의	KCC/SL+의/JKG
4강	4/SN+강/NNB
플레이오프	플레이오프/NNG
1차전에서	1/SN+차전/NNB+에서/JKB
허재	허재/NNP
KCC	KCC/SL
감독이	감독/NNG+이/JKS
KT	KT/SL
전창진	전창진/NNP
감독에게	감독/NNG+에게/JKB
판정승을	판정승/NNG+을/JKO
거두면서	거두/VV+면서/EC
95대89로	95/SN+대/NNB+89/SN+로/JKB
승리했다.	승리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.97.4.1
하승진의 부상 결장으로 높이의 위력이 반감된 KCC의 허 감독은 초반부터 KT가 가장 자신 있어 하는 외곽포로 맞불을 놨다.

하승진의	하승진/NNP+의/JKG
부상	부상/NNG
결장으로	결장/NNG+으로/JKB
높이의	높이/NNG+의/JKG
위력이	위력/NNG+이/JKS
반감된	반감/NNG+되/XSV+ㄴ/ETM
KCC의	KCC/SL+의/JKG
허	허/NNP
감독은	감독/NNG+은/JX
초반부터	초반/NNG+부터/JX
KT가	KT/SL+가/JKS
가장	가장/MAG
자신	자신/NNG
있어	있/VA+어/EC
하는	하/VX+는/ETM
외곽포로	외곽/NNG+포/NNG+로/JKB
맞불을	맞불/NNG+을/JKO
놨다.	놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.97.4.2
KT가 게임 리더인 전태풍에게 2명의 수비를 붙일 것으로 예상해, 찬스가 나면 다른 선수들에게 공격적인 슛을 주문한 게 효과를 봤다.

KT가	KT/SL+가/JKS
게임	게임/NNG
리더인	리더/NNG+이/VCP+ㄴ/ETM
전태풍에게	전태풍/NNP+에게/JKB
2명의	2/SN+명/NNB+의/JKG
수비를	수비/NNG+를/JKO
붙일	붙이/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상해,	예상/NNG+하/XSV+아/EC+,/SP
찬스가	찬스/NNG+가/JKS
나면	나/VV+면/EC
다른	다른/MMD
선수들에게	선수/NNG+들/XSN+에게/JKB
공격적인	공격/NNG+적/XSN+이/VCP+ㄴ/ETM
슛을	슛/NNG+을/JKO
주문한	주문/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
효과를	효과/NNG+를/JKO
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.97.4.3
