# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.220
metadata : {}


# id : NWRW1800000038.220.1.1
原電폐기물 처리장, 10년만에 또 공론화

原電폐기물	原電/SH+폐기물/NNG
처리장,	처리장/NNG+,/SP
10년만에	10/SN+년/NNB+만/NNB+에/JKB
또	또/MAG
공론화	공론/NNG+화/XSN


# id : NWRW1800000038.220.2.1
사용후핵연료 공론委 출범… 10년 전 후보지역 반발로 포기, 2016년 공간 부족해 건설시급

사용후핵연료	사용/NNG+후/NNG+핵연료/NNG
공론委	공론/NNG+委/SH
출범…	출범/NNG+…/SE
10년	10/SN+년/NNB
전	전/NNG
후보지역	후보/NNG+지역/NNG
반발로	반발/NNG+로/JKB
포기,	포기/NNG+,/SP
2016년	2016/SN+년/NNB
공간	공간/NNG
부족해	부족/NNG+하/XSA+아/EC
건설시급	건설/NNG+시급/XR


# id : NWRW1800000038.220.3.1
방사성폐기물처분장(이하 방폐장) 건설이 10년 만에 다시 공론화된다.

방사성폐기물처분장(이하	방사/NNG+성/XSN+폐기물/NNG+처분장/NNG+(/SS+이하/NNG
방폐장)	방폐장/NNG+)/SS
건설이	건설/NNG+이/JKS
10년	10/SN+년/NNB
만에	만/NNB+에/JKB
다시	다시/MAG
공론화된다.	공론/NNG+화/XSN+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.220.3.2
방폐장은 원전(原電)을 가동하면 나오는 방사능이 매우 강한 사용후핵연료(고준위 폐기물)와 원전 내에서 쓰인 작업복, 장비 등 중·저준위 폐기물을 처분하는 시설이다.

방폐장은	방폐장/NNG+은/JX
원전(原電)을	원전/NNG+(/SS+原電/SH+)/SS+을/JKO
가동하면	가동/NNG+하/XSV+면/EC
나오는	나오/VV+는/ETM
방사능이	방사능/NNG+이/JKS
매우	매우/MAG
강한	강하/VA+ㄴ/ETM
사용후핵연료(고준위	사용/NNG+후/NNG+핵연료/NNG+(/SS+고/XPN+준위/NNG
폐기물)와	폐기물/NNG+)/SS+와/JC
원전	원전/NNG
내에서	내/NNB+에서/JKB
쓰인	쓰이/VV+ㄴ/ETM
작업복,	작업복/NNG+,/SP
장비	장비/NNG
등	등/NNB
중·저준위	중/NNG+·/SP+저/XPN+준위/NNG
폐기물을	폐기물/NNG+을/JKO
처분하는	처분/NNG+하/XSV+는/ETM
시설이다.	시설/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.220.4.1
산업통상자원부는 30일 서울 서초구 반포동 JW메리어트호텔에서 '사용후핵연료 공론화위원회' 출범식을 열고 본격적인 활동을 시작한다고 밝혔다.

산업통상자원부는	산업/NNG+통상/NNG+자원부/NNG+는/JX
30일	30/SN+일/NNB
서울	서울/NNP
서초구	서초구/NNP
반포동	반포동/NNP
JW메리어트호텔에서	JW메리어트호텔/NNP+에서/JKB
'사용후핵연료	'/SS+사용/NNG+후/NNG+핵연료/NNG
공론화위원회'	공론/NNG+화/XSN+위원회/NNG+'/SS
출범식을	출범식/NNG+을/JKO
열고	열/VV+고/EC
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
활동을	활동/NNG+을/JKO
시작한다고	시작/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.220.4.2
공론화위원회는 사용후핵연료를 앞으로 어떤 방식으로 관리할지 국민과 이해관계자, 전문가들로부터 의견을 받아 논의하는 산업부 장관 자문기구다.

공론화위원회는	공론/NNG+화/XSN+위원회/NNG+는/JX
사용후핵연료를	사용/NNG+후/NNG+핵연료/NNG+를/JKO
앞으로	앞/NNG+으로/JKB
어떤	어떤/MMD
방식으로	방식/NNG+으로/JKB
관리할지	관리/NNG+하/XSV+ㄹ지/EF
국민과	국민/NNG+과/JC
이해관계자,	이해관계자/NNG+,/SP
전문가들로부터	전문가/NNG+들/XSN+로부터/JKB
의견을	의견/NNG+을/JKO
받아	받/VV+아/EC
논의하는	논의/NNG+하/XSV+는/ETM
산업부	산업부/NNG
장관	장관/NNG
자문기구다.	자문/NNG+기구/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.220.4.3
대학교수 등 7명, 시민사회단체 몫 3명, 원전 지역 대표 5명 등 모두 15명으로 구성됐다.

대학교수	대학교수/NNG
등	등/NNB
7명,	7/SN+명/NNB+,/SP
시민사회단체	시민/NNG+사회단체/NNG
몫	몫/NNG
3명,	3/SN+명/NNB+,/SP
원전	원전/NNG
지역	지역/NNG
대표	대표/NNG
5명	5/SN+명/NNB
모두	모두/MAG
15명으로	15/SN+명/NNB+으로/JKB
구성됐다.	구성/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.220.4.4
위원회가 내년 말까지 여러 대안을 논의한 권고안을 제출하면 정부는 이를 토대로 대책을 세우기로 했다.

위원회가	위원회/NNG+가/JKS
내년	내년/NNG
말까지	말/NNB+까지/JX
여러	여러/MMN
대안을	대안/NNG+을/JKO
논의한	논의/NNG+하/XSV+ㄴ/ETM
권고안을	권고안/NNG+을/JKO
제출하면	제출/NNG+하/XSV+면/EC
정부는	정부/NNG+는/JX
이를	이/NP+를/JKO
토대로	토대/NNG+로/JKB
대책을	대책/NNG+을/JKO
세우기로	세우/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.220.5.1
위원회가 논의할 대상은 고준위 폐기물인 사용후핵연료 처리 문제다.

위원회가	위원회/NNG+가/JKS
논의할	논의/NNG+하/XSV+ㄹ/ETM
대상은	대상/NNG+은/JX
고준위	고/XPN+준위/NNG
폐기물인	폐기물/NNG+이/VCP+ㄴ/ETM
사용후핵연료	사용/NNG+후/NNG+핵연료/NNG
처리	처리/NNG
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.220.5.2
중·저준위 폐기물은 2008년부터 건설 중인 경주 방폐장에 묻을 예정이라 이번 논의에서 제외됐다.

중·저준위	중/NNG+·/SP+저/XPN+준위/NNG
폐기물은	폐기물/NNG+은/JX
2008년부터	2008/SN+년/NNB+부터/JX
건설	건설/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
경주	경주/NNP
방폐장에	방폐장/NNG+에/JKB
묻을	묻/VV+을/ETM
예정이라	예정/NNG+이/VCP+라/EC
이번	이번/NNG
논의에서	논의/NNG+에서/JKB
제외됐다.	제외/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.220.5.3
정부는 1990년대 초 충남 태안 안면도, 2003년 전북 부안을 방폐장 후보지로 선정했다가 지역 주민의 반발로 해당 지역 방폐장 건설을 포기했다.

정부는	정부/NNG+는/JX
1990년대	1990/SN+년대/NNB
초	초/NNB
충남	충남/NNP
태안	태안/NNP
안면도,	안면도/NNP+,/SP
2003년	2003/SN+년/NNB
전북	전북/NNP
부안을	부안/NNP+을/JKO
방폐장	방폐장/NNG
후보지로	후보지/NNG+로/JKB
선정했다가	선정/NNG+하/XSV+았/EP+다가/EC
지역	지역/NNG
주민의	주민/NNG+의/JKG
반발로	반발/NNG+로/JKB
해당	해당/NNG
건설을	건설/NNG+을/JKO
포기했다.	포기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.220.5.4
공론화 과정에선 경주 방폐장처럼 특정 지역에 모으는 집중식으로 건설할지, 현재 원전이 있는 부지마다 시설을 짓는 분산식을 선택할지가 논의의 핵심이 될 것으로 보인다.

공론화	공론/NNG+화/XSN
과정에선	과정/NNG+에서/JKB+ㄴ/JX
경주	경주/NNP
방폐장처럼	방폐장/NNG+처럼/JKB
특정	특정/NNG
지역에	지역/NNG+에/JKB
모으는	모으/VV+는/ETM
집중식으로	집중식/NNG+으로/JKB
건설할지,	건설/NNG+하/XSV+ㄹ지/EF+,/SP
현재	현재/MAG
원전이	원전/NNG+이/JKS
있는	있/VA+는/ETM
부지마다	부지/NNG+마다/JX
시설을	시설/NNG+을/JKO
짓는	짓/VV+는/ETM
분산식을	분산식/NNG+을/JKO
선택할지가	선택/NNG+하/XSV+ㄹ지/EF+가/JKS
논의의	논의/NNG+의/JKG
핵심이	핵심/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.220.6.1
사용후핵연료 공론화는 올해 출범한 박근혜 정부가 국정과제로 선정한 사안이다.

사용후핵연료	사용/NNG+후/NNG+핵연료/NNG
공론화는	공론/NNG+화/XSN+는/JX
올해	올해/NNG
출범한	출범/NNG+하/XSV+ㄴ/ETM
박근혜	박근혜/NNP
정부가	정부/NNG+가/JKS
국정과제로	국정/NNG+과제/NNG+로/JKB
선정한	선정/NNG+하/XSV+ㄴ/ETM
사안이다.	사안/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.220.6.2
해마다 국내 23기 원전에서 나오는 사용후핵연료의 양은 750t에 이른다.

해마다	해마다/MAG
국내	국내/NNG
23기	23/SN+기/NNG
원전에서	원전/NNG+에서/JKB
나오는	나오/VV+는/ETM
사용후핵연료의	사용/NNG+후/NNG+핵연료/NNG+의/JKG
양은	양/NNG+은/JX
750t에	750/SN+t/SW+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.220.6.3
원전마다 임시저장 공간이 빠르면 2016년부터 가득 차고, 대책을 세우더라도 2024년 이후엔 해결책이 없는 실정이다.

원전마다	원전/NNG+마다/JX
임시저장	임시/NNG+저장/NNG
공간이	공간/NNG+이/JKS
빠르면	빠르/VA+면/EC
2016년부터	2016/SN+년/NNB+부터/JX
가득	가득/MAG
차고,	차/VV+고/EC+,/SP
대책을	대책/NNG+을/JKO
세우더라도	세우/VV+더라도/EC
2024년	2024/SN+년/NNB
이후엔	이후/NNG+에/JKB+ㄴ/JX
해결책이	해결책/NNG+이/JKS
없는	없/VA+는/ETM
실정이다.	실정/NNG+이/VCP+다/EF+./SF


