# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.384
metadata : {}


# id : NWRW1800000038.384.1.1
민주, 국정원 國調 서명운동에 '촛불' 참여도 검토

민주,	민주/NNP+,/SP
국정원	국정원/NNG
國調	國調/SH
서명운동에	서명/NNG+운동/NNG+에/JKB
'촛불'	'/SS+촛불/NNG+'/SS
참여도	참여/NNG+도/JX
검토	검토/NNG


# id : NWRW1800000038.384.2.1
긴급회의 발언 11명 모두 "場外투쟁"… 강경 기류로 전환

긴급회의	긴급회의/NNG
발언	발언/NNG
11명	11/SN+명/NNB
모두	모두/MAG
"場外투쟁"…	"/SS+場外/SH+투쟁/NNG+"/SS+…/SE
강경	강경/NNG
기류로	기류/NNG+로/JKB
전환	전환/NNG


# id : NWRW1800000038.384.3.1
국정원 선거 개입 의혹 사건에 대한 국정조사를 놓고 민주당 내 기류가 초강경 쪽으로 흐르고 있다.

국정원	국정원/NNG
선거	선거/NNG
개입	개입/NNG
의혹	의혹/NNG
사건에	사건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국정조사를	국정/NNG+조사/NNG+를/JKO
놓고	놓/VV+고/EC
민주당	민주당/NNP
내	내/NNB
기류가	기류/NNG+가/JKS
초강경	초/XPN+강경/NNG
쪽으로	쪽/NNB+으로/JKB
흐르고	흐르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.384.3.2
일요일인 23일 서울 영등포 당사에서 열린 국회의원·전국지역위원장 긴급 연석회의에서는 당장 장외(場外) 투쟁에 나서야 한다는 강경 목소리 일색이었다.

일요일인	일요일/NNG+이/VCP+ㄴ/ETM
23일	23/SN+일/NNB
서울	서울/NNP
영등포	영등포/NNP
당사에서	당사/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
국회의원·전국지역위원장	국회/NNG+의원/NNG+·/SP+전국/NNG+지역/NNG+위원장/NNG
긴급	긴급/NNG
연석회의에서는	연석회의/NNG+에서/JKB+는/JX
당장	당장/NNG
장외(場外)	장외/NNG+(/SS+場外/SH+)/SS
투쟁에	투쟁/NNG+에/JKB
나서야	나서/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
강경	강경/NNG
목소리	목소리/NNG
일색이었다.	일색/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.384.4.1
◇강성 목소리가 장악

◇강성	◇/SW+강성/NNG
목소리가	목소리/NNG+가/JKS
장악	장악/NNG


# id : NWRW1800000038.384.5.1
이날 연석회의에는 국회의원 80여명과 원외 지역위원장 40여명 및 당직자 등 당 관계자 300여명이 참석했다.

이날	이날/NNG
연석회의에는	연석회의/NNG+에/JKB+는/JX
국회의원	국회/NNG+의원/NNG
80여명과	80/SN+여/XSN+명/NNB+과/JKB
원외	원외/NNG
지역위원장	지역/NNG+위원장/NNG
40여명	40/SN+여/XSN+명/NNB
및	및/MAG
당직자	당직자/NNG
등	등/NNB
당	당/NNG
관계자	관계자/NNG
300여명이	300/SN+여/XSN+명/NNB+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.384.5.2
발언자는 14명이었다.

발언자는	발언자/NNG+는/JX
14명이었다.	14/SN+명/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.384.5.3
이 중 인사말을 한 김한길 대표와 전병헌 원내대표, 경과보고를 한 신경민 '국정원 특위' 위원장 등 3명을 제외한 11명이 장외로 나가자고 했다.

이	이/MMD
중	중/NNB
인사말을	인사말/NNG+을/JKO
한	하/VV+ㄴ/ETM
김한길	김한길/NNP
대표와	대표/NNG+와/JKB
전병헌	전병헌/NNP
원내대표,	원내/NNG+대표/NNG+,/SP
