# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.180
metadata : {}


# id : NWRW1800000054.180.1.1
'梨大 부정입학' 정유라에 영장

'梨大	'/SS+梨大/SH
부정입학'	부정/NNG+입학/NNG+'/SS
정유라에	정유라/NNP+에/JKB
영장	영장/NNG


# id : NWRW1800000054.180.2.1
오늘이나 내일 구속 여부 결정

오늘이나	오늘/NNG+이나/JC
내일	내일/NNG
구속	구속/NNG
여부	여부/NNG
결정	결정/NNG


# id : NWRW1800000054.180.3.1
검찰 특별수사본부는 1일 체육특기생으로 이화여대에 부정 입학하고, 학점과 출석 등 학사 특혜를 받은 혐의(업무방해) 등으로 최순실씨의 딸 정유라(21)씨에 대해 구속영장을 청구했다.

검찰	검찰/NNG
특별수사본부는	특별/NNG+수사본부/NNG+는/JX
1일	1/SN+일/NNB
체육특기생으로	체육/NNG+특기/NNG+생/XSN+으로/JKB
이화여대에	이화여대/NNP+에/JKB
부정	부정/NNG
입학하고,	입학/NNG+하/XSV+고/EC+,/SP
학점과	학점/NNG+과/JC
출석	출석/NNG
등	등/NNB
학사	학사/NNG
특혜를	특혜/NNG+를/JKO
받은	받/VV+은/ETM
혐의(업무방해)	혐의/NNG+(/SS+업무/NNG+방해/NNG+)/SS
등으로	등/NNB+으로/JKB
최순실씨의	최순실/NNP+씨/NNB+의/JKG
딸	딸/NNG
정유라(21)씨에	정유라/NNP+(/SS+21/SN+)/SS+씨/NNB+에/JKB
대해	대하/VV+아/EC
구속영장을	구속/NNG+영장/NNG+을/JKO
청구했다.	청구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.180.3.2
정씨의 구속 여부는 2일 또는 3일 영장실질심사를 거친 뒤 결정된다.

정씨의	정/NNP+씨/NNB+의/JKG
구속	구속/NNG
여부는	여부/NNG+는/JX
2일	2/SN+일/NNB
또는	또는/MAG
3일	3/SN+일/NNB
영장실질심사를	영장/NNG+실질/NNG+심사/NNG+를/JKO
거친	거치/VV+ㄴ/ETM
뒤	뒤/NNG
결정된다.	결정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.180.4.1
검찰에 따르면, 정씨는 지난 2015년 3월 이대에 부정 입학하고, 학교에 가지 않고도 학점과 출석 등 학사 특혜를 받은 혐의를 받고 있다.

검찰에	검찰/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
정씨는	정/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
2015년	2015/SN+년/NNB
3월	3/SN+월/NNB
이대에	이대/NNP+에/JKB
부정	부정/NNG
입학하고,	입학/NNG+하/XSV+고/EC+,/SP
학교에	학교/NNG+에/JKB
가지	가/VV+지/EC
않고도	않/VX+고/EC+도/JX
학점과	학점/NNG+과/JC
출석	출석/NNG
등	등/NNB
학사	학사/NNG
특혜를	특혜/NNG+를/JKO
받은	받/VV+은/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.180.4.2
이에 대해 정씨는 31일 인천공항에서 "어머니가 (면접을 볼 때 아시안게임 금메달을) 들고 가서 입학사정관 하는 분한테 여쭤보라고 해서 가지고 간 것"이라고 했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
정씨는	정/NNP+씨/NNB+는/JX
31일	31/SN+일/NNB
인천공항에서	인천공항/NNP+에서/JKB
"어머니가	"/SS+어머니/NNG+가/JKS
(면접을	(/SS+면접/NNG+을/JKO
볼	보/VV+ㄹ/ETM
때	때/NNG
아시안게임	아시안/NNP+게임/NNG
금메달을)	금메달/NNG+을/JKO+)/SS
들고	들/VV+고/EC
가서	가/VV+아서/EC
입학사정관	입학/NNG+사정관/NNG
하는	하/VV+는/ETM
분한테	분/NNB+한테/JKB
여쭤보라고	여쭈/VV+어/EC+보/VX+라고/EC
해서	하/VV+아서/EC
가지고	가지/VV+고/EC
간	가/VV+ㄴ/ETM
