# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.309
metadata : {}


# id : NWRW1800000044.309.1.1
[싱크탱크 시각] 남북대화 ‘자신감’ 잃은 박근혜 정부 / 김보근

[싱크탱크	[/SS+싱크탱크/NNG
시각]	시각/NNG+]/SS
남북대화	남북/NNP+대화/NNG
‘자신감’	‘/SS+자신감/NNG+’/SS
잃은	잃/VV+은/ETM
박근혜	박근혜/NNP
정부	정부/NNG
/	//SP
김보근	김보근/NNP


# id : NWRW1800000044.309.2.1
[한겨레] “우리 북반부 사람이 남조선에 가서 볼 것은 아무것도 없을 것입니다.

[한겨레]	[/SS+한겨레/NNP+]/SS
“우리	“/SS+우리/NP
북반부	북반부/NNG
사람이	사람/NNG+이/JKS
남조선에	남조선/NNP+에/JKB
가서	가/VV+아서/EC
볼	보/VV+ㄹ/ETM
것은	것/NNB+은/JX
아무것도	아무것/NNG+도/JX
없을	없/VA+을/ETM
것입니다.	것/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000044.309.2.2
그러나 남조선 사람이 북조선에 오면 우리 사업의 정당성을 알게 될 것입니다.”

그러나	그러나/MAJ
남조선	남조선/NNP
사람이	사람/NNG+이/JKS
북조선에	북조선/NNP+에/JKB
오면	오/VV+면/EC
우리	우리/NP
사업의	사업/NNG+의/JKG
정당성을	정당성/NNG+을/JKO
알게	알/VV+게/EC
될	되/VV+ㄹ/ETM
것입니다.”	것/NNB+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000044.309.3.1
고 김일성 주석이 1954년 12월 남북교류와 관련해 한 발언이다.

고	고/MMA
김일성	김일성/NNP
주석이	주석/NNG+이/JKS
1954년	1954/SN+년/NNB
12월	12/SN+월/NNB
남북교류와	남북/NNP+교류/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
한	하/VV+ㄴ/ETM
발언이다.	발언/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.309.3.2
당시 김 주석은 “남조선의 체육단이나 예술단을 보내려면 보내라.

당시	당시/NNG
김	김/NNP
주석은	주석/NNG+은/JX
“남조선의	“/SS+남조선/NNP+의/JKG
체육단이나	체육단/NNG+이나/JC
예술단을	예술단/NNG+을/JKO
보내려면	보내/VV+려면/EC
보내라.	보내/VV+어라/EF+./SF


# id : NWRW1800000044.309.3.3
우리도 보낼 수 있다”면서 체육교류 등에 강한 자신감을 내비쳤다.

우리도	우리/NP+도/JX
보낼	보내/VV+ㄹ/ETM
수	수/NNB
있다”면서	있/VA+다/EF+”/SS+면서/EC
체육교류	체육/NNG+교류/NNG
등에	등/NNB+에/JKB
강한	강하/VA+ㄴ/ETM
자신감을	자신감/NNG+을/JKO
내비쳤다.	내비치/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.309.4.1
9월 인천 아시아경기대회에 북쪽 선수단과 응원단의 참석 문제를 논의한 지난 17일 남북 실무회담 결렬 소식은 ‘박근혜 정부의 자신감’ 문제를 생각하게 만든다.

9월	9/SN+월/NNB
인천	인천/NNP
아시아경기대회에	아시아/NNP+경기/NNG+대회/NNG+에/JKB
북쪽	북쪽/NNG
선수단과	선수단/NNG+과/JC
응원단의	응원단/NNG+의/JKG
참석	참석/NNG
문제를	문제/NNG+를/JKO
논의한	논의/NNG+하/XSV+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
17일	17/SN+일/NNB
남북	남북/NNP
실무회담	실무/NNG+회담/NNG
결렬	결렬/NNG
소식은	소식/NNG+은/JX
‘박근혜	‘/SS+박근혜/NNP
정부의	정부/NNG+의/JKG
자신감’	자신감/NNG+’/SS
생각하게	생각/NNG+하/XSV+게/EC
만든다.	만들/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.309.4.2
결렬된 회담 내용이 ‘박근혜 정부가 60년 전 김일성의 발언조차 극복할 자신감도 없는 모양이구나’ 하는 씁쓸함을 남겼기 때문이다.

