# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.329
metadata : {}


# id : NWRW1800000028.329.1.1
풍도와 조어도

풍도와	풍도/NNP+와/JC
조어도	조어도/NNP


# id : NWRW1800000028.329.2.1
인천항에서 난지도행 정기여객선을 타고 남쪽으로 2시간 반 정도 내려가면 조그만 섬 풍도가 있다.

인천항에서	인천항/NNP+에서/JKB
난지도행	난지도행/NNG
정기여객선을	정기/NNG+여객선/NNG+을/JKO
타고	타/VV+고/EC
남쪽으로	남쪽/NNG+으로/JKB
2시간	2/SN+시간/NNB
반	반/NNG
정도	정도/NNG
내려가면	내려가/VV+면/EC
조그만	조그맣/VA+ㄴ/ETM
섬	섬/NNG
풍도가	풍도/NNP+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.329.2.2
지금은 야생화 군락지와 낚시터로 유명하지만 청일전쟁의 시발점인 풍도해전이 벌어졌던 역사의 현장이다.

지금은	지금/NNG+은/JX
야생화	야생화/NNG
군락지와	군락지/NNG+와/JC
낚시터로	낚시터/NNG+로/JKB
유명하지만	유명/NNG+하/XSA+지만/EC
청일전쟁의	청일/NNP+전쟁/NNG+의/JKG
시발점인	시발점/NNG+이/VCP+ㄴ/ETM
풍도해전이	풍도/NNP+해전/NNG+이/JKS
벌어졌던	벌어지/VV+었/EP+던/ETM
역사의	역사/NNG+의/JKG
현장이다.	현장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.329.2.3
1894년 7월25일 아침 나니와호 등 일본 순양함 3척이 풍도 앞바다를 지나 조선으로 향하던 청국 군함과 영국 상선을 선전포고도 없이 격파했다.

1894년	1894/SN+년/NNB
7월25일	7/SN+월/NNB+25/SN+일/NNB
아침	아침/NNG
나니와호	나니와호/NNG
등	등/NNB
일본	일본/NNP
순양함	순양함/NNG
3척이	3/SN+척/NNB+이/JKS
풍도	풍도/NNP
앞바다를	앞바다/NNG+를/JKO
지나	지나/VV+아/EC
조선으로	조선/NNP+으로/JKB
향하던	향하/VV+던/ETM
청국	청국/NNP
군함과	군함/NNG+과/JC
영국	영국/NNP
상선을	상선/NNG+을/JKO
선전포고도	선전/NNG+포고/NNG+도/JX
없이	없이/MAG
격파했다.	격파/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.329.2.4
일본은 이 풍도해전 승리를 계기로 동북아 패권을 장악하고 조선 병탄을 본격화하게 된다.

일본은	일본/NNP+은/JX
이	이/MMD
풍도해전	풍도/NNP+해전/NNG
승리를	승리/NNG+를/JKO
계기로	계기/NNG+로/JKB
동북아	동북아/NNP
패권을	패권/NNG+을/JKO
장악하고	장악/NNG+하/XSV+고/EC
조선	조선/NNP
병탄을	병탄/NNG+을/JKO
본격화하게	본격/NNG+화/XSN+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.329.3.1
청일전쟁에서 승승장구하던 일본은 1895년 1월 대만 등과 함께 댜오위다오(조어도·일본명 센카쿠열도)를 점령해 일본령에 편입했다.

청일전쟁에서	청일/NNP+전쟁/NNG+에서/JKB
승승장구하던	승승장구/NNG+하/XSV+던/ETM
일본은	일본/NNP+은/JX
1895년	1895/SN+년/NNB
1월	1/SN+월/NNB
대만	대만/NNP
등과	등/NNB+과/JKB
함께	함께/MAG
댜오위다오(조어도·일본명	댜오위다오/NNP+(/SS+조어도/NNP+·/SP+일본/NNP+명/NNG
센카쿠열도)를	센카쿠열도/NNP+)/SS+를/JKO
점령해	점령/NNG+하/XSV+아/EC
일본령에	일본령/NNG+에/JKB
편입했다.	편입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.329.3.2
2차 세계대전에서 패배한 일본은 대만은 중국에 반환했지만 조어도는 아직까지 분쟁지역으로 남아 있다.

2차	2/SN+차/NNB
세계대전에서	세계/NNG+대전/NNG+에서/JKB
패배한	패배/NNG+하/XSV+ㄴ/ETM
일본은	일본/NNP+은/JX
대만은	대만/NNP+은/JX
중국에	중국/NNP+에/JKB
반환했지만	반환/NNG+하/XSV+았/EP+지만/EC
조어도는	조어도/NNP+는/JX
아직까지	아직/MAG+까지/JX
