# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.4
metadata : {}


# id : NWRW1800000026.4.1.1
[수도권Ⅱ] [지방의회 레이다] 6·2지방선거때 '교육의원'도 새로 뽑는다 외

[수도권Ⅱ]	[/SS+수도/NNG+권/XSN+Ⅱ/SW+]/SS
[지방의회	[/SS+지방/NNG+의회/NNG
레이다]	레이다/NNG+]/SS
6·2지방선거때	6/SN+·/SP+2/SN+지방/NNG+선거/NNG+때/NNG
'교육의원'도	'/SS+교육/NNG+의원/NNG+'/SS+도/JX
새로	새로/MAG
뽑는다	뽑/VV+는다/EF
외	외/NNB


# id : NWRW1800000026.4.2.1
6·2지방선거때 '교육의원'도 새로 뽑는다

6·2지방선거때	6/SN+·/SP+2/SN+지방/NNG+선거/NNG+때/NNG
'교육의원'도	'/SS+교육/NNG+의원/NNG+'/SS+도/JX
새로	새로/MAG
뽑는다	뽑/VV+는다/EF


# id : NWRW1800000026.4.3.1
교육위원 대체… 후보자격·선출방식은 미정

교육위원	교육/NNG+위원/NNG
대체…	대체/NNG+…/SE
후보자격·선출방식은	후보/NNG+자격/NNG+·/SP+선출/NNG+방식/NNG+은/JX
미정	미정/NNG


# id : NWRW1800000026.4.4.1
오는 6월 2일 실시되는 제5회 전국동시 지방선거에서 유권자들은 모두 8장의 투표용지를 받게 된다.

오는	오/VV+는/ETM
6월	6/SN+월/NNB
2일	2/SN+일/NNB
실시되는	실시/NNG+되/XSV+는/ETM
제5회	제/XPN+5/SN+회/NNB
전국동시	전국/NNG+동시/NNG
지방선거에서	지방/NNG+선거/NNG+에서/JKB
유권자들은	유권자/NNG+들/XSN+은/JX
모두	모두/MAG
8장의	8/SN+장/NNB+의/JKG
투표용지를	투표용지/NNG+를/JKO
받게	받/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.4.4.2
이 가운데 6장은 후보 개인을 직접 선택하는 경기도지사, 시장·군수, 경기도의원, 시·군의원과 정당에 투표하는 비례대표 경기도의원과 시·군의원을 선출하는 용지로 이전 선거와 차이가 없다.

이	이/MMD
가운데	가운데/NNG
6장은	6/SN+장/NNB+은/JX
후보	후보/NNG
개인을	개인/NNG+을/JKO
직접	직접/MAG
선택하는	선택/NNG+하/XSV+는/ETM
경기도지사,	경기/NNP+도지사/NNG+,/SP
시장·군수,	시장/NNG+·/SP+군수/NNG+,/SP
경기도의원,	경기도/NNP+의원/NNG+,/SP
시·군의원과	시/NNG+·/SP+군/NNG+의원/NNG+과/JC
정당에	정당/NNG+에/JKB
투표하는	투표/NNG+하/XSV+는/ETM
비례대표	비례/NNG+대표/NNG
경기도의원과	경기도/NNP+의원/NNG+과/JC
시·군의원을	시/NNG+·/SP+군/NNG+의원/NNG+을/JKO
선출하는	선출/NNG+하/XSV+는/ETM
용지로	용지/NNG+로/JKB
이전	이전/NNG
선거와	선거/NNG+와/JKB
차이가	차이/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000026.4.4.3
그러나 이번에는 교육감과 교육의원도 추가된다.

그러나	그러나/MAJ
이번에는	이번/NNG+에/JKB+는/JX
교육감과	교육감/NNG+과/JC
교육의원도	교육/NNG+의원/NNG+도/JX
추가된다.	추가/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.4.5.1
특히 교육의원(敎育議員)은 처음 선출하는 자리로, 이미 작년에 직선으로 선출한 경기도교육감에 이어 주민 직선제가 도입된다.

특히	특히/MAG
교육의원(敎育議員)은	교육/NNG+의원/NNG+(/SS+敎育議員/SH+)/SS+은/JX
처음	처음/NNG
선출하는	선출/NNG+하/XSV+는/ETM
자리로,	자리/NNG+로/JKB+,/SP
이미	이미/MAG
작년에	작년/NNG+에/JKB
직선으로	직선/NNG+으로/JKB
선출한	선출/NNG+하/XSV+ㄴ/ETM
경기도교육감에	경기도/NNP+교육감/NNG+에/JKB
이어	잇/VV+어/EC
주민	주민/NNG
직선제가	직선/NNG+제/XSN+가/JKS
도입된다.	도입/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.4.5.2
현재 경기도교육청과 경기도교육감에 대응하는 기구로 구성돼 있는 경기도교육위원회의 교육위원(敎育委員)은 학교운영위원회에서 간접선거로 선출했다.

현재	현재/MAG
경기도교육청과	경기도교육청/NNP+과/JC
경기도교육감에	경기도/NNP+교육감/NNG+에/JKB
대응하는	대응/NNG+하/XSV+는/ETM
기구로	기구/NNG+로/JKB
구성돼	구성/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
경기도교육위원회의	경기도교육위원회/NNP+의/JKG
교육위원(敎育委員)은	교육/NNG+위원/NNG+(/SS+敎育委員/SH+)/SS+은/JX
학교운영위원회에서	학교/NNG+운영/NNG+위원회/NNG+에서/JKB
간접선거로	간접/NNG+선거/NNG+로/JKB
선출했다.	선출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.4.5.3
경기도교육위원회는 경기도의회 심의에 앞서 교육 관련 조례안이나 예산안을 심의·의결하는 사전 심사기구이다.

경기도교육위원회는	경기도교육위원회/NNP+는/JX
경기도의회	경기도의회/NNP
심의에	심의/NNG+에/JKB
앞서	앞서/VV+어/EC
교육	교육/NNG
관련	관련/NNG
조례안이나	조례안/NNG+이나/JC
예산안을	예산안/NNG+을/JKO
심의·의결하는	심의/NNG+·/SP+의결/NNG+하/XSV+는/ETM
사전	사전/NNG
심사기구이다.	심사/NNG+기구/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.4.6.1
그러나 이번 선거로 경기도교육위원회는 폐지되고 지방의회에 통합되며, 새로 선출되는 교육의원은 경기도의원의 지위를 갖게 된다.

그러나	그러나/MAJ
이번	이번/NNG
선거로	선거/NNG+로/JKB
경기도교육위원회는	경기도교육위원회/NNP+는/JX
폐지되고	폐지/NNG+되/XSV+고/EC
지방의회에	지방/NNG+의회/NNG+에/JKB
통합되며,	통합/NNG+되/XSV+며/EC+,/SP
새로	새로/MAG
선출되는	선출/NNG+되/XSV+는/ETM
교육의원은	교육/NNG+의원/NNG+은/JX
경기도의원의	경기도/NNP+의원/NNG+의/JKG
지위를	지위/NNG+를/JKO
갖게	갖/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.4.6.2
교육의원들은 전원 경기도의회 산하 상임위원회인 교육위원회에 배치된다.

교육의원들은	교육/NNG+의원/NNG+들/XSN+은/JX
전원	전원/NNG
경기도의회	경기도의회/NNP
산하	산하/NNG
상임위원회인	상임/NNG+위원회/NNG+이/VCP+ㄴ/ETM
교육위원회에	교육/NNG+위원회/NNG+에/JKB
배치된다.	배치/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.4.6.3
교육위원회 의원 정수는 13명으로 교육의원이 과반수인 7명, 일반의원 6명으로 구성될 예정이다.

교육위원회	교육/NNG+위원회/NNG
의원	의원/NNG
정수는	정수/NNG+는/JX
13명으로	13/SN+명/NNB+으로/JKB
교육의원이	교육/NNG+의원/NNG+이/JKS
과반수인	과반수/NNG+이/VCP+ㄴ/ETM
7명,	7/SN+명/NNB+,/SP
일반의원	일반/NNG+의원/NNG
6명으로	6/SN+명/NNB+으로/JKB
구성될	구성/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.4.6.4
경기도지역에서는 7개 권역으로 나눠 교육의원을 선출할 전망이다.

경기도지역에서는	경기도/NNP+지역/NNG+에서/JKB+는/JX
7개	7/SN+개/NNB
권역으로	권역/NNG+으로/JKB
나눠	나누/VV+어/EC
교육의원을	교육/NNG+의원/NNG+을/JKO
선출할	선출/NNG+하/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.4.7.1
그러나 관련 규정을 담고 있는 지방교육자치법 개정을 두고 최근 국회에서 논란이 벌어지고 있다.

그러나	그러나/MAJ
관련	관련/NNG
규정을	규정/NNG+을/JKO
담고	담/VV+고/EC
있는	있/VX+는/ETM
지방교육자치법	지방/NNG+교육/NNG+자치법/NNG
개정을	개정/NNG+을/JKO
두고	두/VV+고/EC
최근	최근/NNG
국회에서	국회/NNG+에서/JKB
논란이	논란/NNG+이/JKS
벌어지고	벌어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.4.7.2
