# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.66
metadata : {}


# id : NWRW1800000049.66.1.1
[에너지 Innovation]에너지저장장치-전기차 배터리 글로벌 시장 선도

[에너지	[/SS+에너지/NNG
Innovation]에너지저장장치-전기차	Innovation/SL+]/SS+에너지/NNG+저장/NNG+장치/NNG+-/SO+전기/NNG+차/NNG
배터리	배터리/NNG
글로벌	글로벌/NNG
시장	시장/NNG
선도	선도/NNG


# id : NWRW1800000049.66.2.1
LG화학은 차세대 신성장동력을 발굴하고 집중 육성하기 위해 연구개발(R&D)부문에 대한 투자를 강화해오고 있다.

LG화학은	LG화학/NNP+은/JX
차세대	차세대/NNG
신성장동력을	신/XPN+성장/NNG+동력/NNG+을/JKO
발굴하고	발굴/NNG+하/XSV+고/EC
집중	집중/NNG
육성하기	육성/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
연구개발(R&D)부문에	연구/NNG+개발/NNG+(/SS+R/SL+&/SW+D/SL+)/SS+부문/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
투자를	투자/NNG+를/JKO
강화해오고	강화/NNG+하/XSV+아/EC+오/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.66.2.2
지난해 6000억 원 규모였던 연간 R&D 투자금액을 2018년까지 9000억 원 수준으로 50% 이상 늘리고, R&D 인력도 3100명 수준에서 2018년까지 4100명 이상으로 늘릴 계획이다.

지난해	지난해/NNG
6000억	6000/SN+억/NR
원	원/NNB
규모였던	규모/NNG+이/VCP+었/EP+던/ETM
연간	연간/NNG
R&D	R/SL+&/SW+D/SL
투자금액을	투자/NNG+금액/NNG+을/JKO
2018년까지	2018/SN+년/NNB+까지/JX
9000억	9000/SN+억/NR
수준으로	수준/NNG+으로/JKB
50%	50/SN+%/SW
이상	이상/NNG
늘리고,	늘리/VV+고/EC+,/SP
인력도	인력/NNG+도/JX
3100명	3100/SN+명/NNB
수준에서	수준/NNG+에서/JKB
4100명	4100/SN+명/NNB
이상으로	이상/NNG+으로/JKB
늘릴	늘리/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


