# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.100
metadata : {}


# id : NWRW1800000041.100.1.1
건국대, 외부 연구비 수주액, 2013년 1000억원 넘어

건국대,	건국대/NNP+,/SP
외부	외부/NNG
연구비	연구비/NNG
수주액,	수주액/NNG+,/SP
2013년	2013/SN+년/NNB
1000억원	1000/SN+억/NR+원/NNB
넘어	넘/VV+어/EF


# id : NWRW1800000041.100.2.1
[대학·기업 살리는 산학협력]

[대학·기업	[/SS+대학/NNG+·/SP+기업/NNG
살리는	살리/VV+는/ETM
산학협력]	산학/NNG+협력/NNG+]/SS


# id : NWRW1800000041.100.3.1
건국대는 학교의 뛰어난 연구역량을 바탕으로 기업과 국내외 연구소, 공공기관 등과 폭넓은 산학협력 네트워크를 구축해 연구력과 실용화라는 두 마리 토끼를 잡은 산학협력의 선도 모델이다.

건국대는	건국대/NNP+는/JX
학교의	학교/NNG+의/JKG
뛰어난	뛰어나/VA+ㄴ/ETM
연구역량을	연구/NNG+역량/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
기업과	기업/NNG+과/JC
국내외	국내외/NNG
연구소,	연구소/NNG+,/SP
공공기관	공공/NNG+기관/NNG
등과	등/NNB+과/JKB
폭넓은	폭넓/VA+은/ETM
산학협력	산학/NNG+협력/NNG
네트워크를	네트워크/NNG+를/JKO
구축해	구축/NNG+하/XSV+아/EC
연구력과	연구력/NNG+과/JC
실용화라는	실용/NNG+화/XSN+이/VCP+라는/ETM
두	두/MMN
마리	마리/NNB
토끼를	토끼/NNG+를/JKO
잡은	잡/VV+은/ETM
산학협력의	산학/NNG+협력/NNG+의/JKG
선도	선도/NNG
모델이다.	모델/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.100.3.2
최근 10년간 국내 대학가에서 가장 역동적인 발전을 보여준 비결도 신지식을 만들어내는 데 그치지 않고 이를 산학연계를 통해 확산시킨 데 있다.

최근	최근/NNG
10년간	10/SN+년/NNB+간/XSN
국내	국내/NNG
대학가에서	대학가/NNG+에서/JKB
가장	가장/MAG
역동적인	역동/NNG+적/XSN+이/VCP+ㄴ/ETM
발전을	발전/NNG+을/JKO
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
비결도	비결/NNG+도/JX
신지식을	신/XPN+지식/NNG+을/JKO
만들어내는	만들/VV+어/EC+내/VX+는/ETM
데	데/NNB
그치지	그치/VV+지/EC
않고	않/VX+고/EC
이를	이/NP+를/JKO
산학연계를	산학/NNG+연계/NNG+를/JKO
통해	통하/VV+아/EC
확산시킨	확산/NNG+시키/XSV+ㄴ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.100.4.1
건국대는 연구성과를 극대화하고 산학협력을 활성화하기 위해 연구자 중심의 프로그램을 강화하고 있다.

건국대는	건국대/NNP+는/JX
연구성과를	연구/NNG+성과/NNG+를/JKO
극대화하고	극대/NNG+화/XSN+하/XSV+고/EC
산학협력을	산학/NNG+협력/NNG+을/JKO
활성화하기	활성/NNG+화/XSN+하/XSV+기/ETN
위해	위하/VV+아/EC
연구자	연구자/NNG
중심의	중심/NNG+의/JKG
프로그램을	프로그램/NNG+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.100.4.2
그 결과 외부 연구비 수주액이 비약적으로 늘어 2013년 1000억 원을 넘어섰고, 기술이전 수입으로 9억6000만 원을 거둬들였다.

그	그/MMD
결과	결과/NNG
외부	외부/NNG
연구비	연구비/NNG
수주액이	수주액/NNG+이/JKS
비약적으로	비약/NNG+적/XSN+으로/JKB
늘어	늘/VV+어/EC
2013년	2013/SN+년/NNB
1000억	1000/SN+억/NR
원을	원/NNB+을/JKO
넘어섰고,	넘어서/VV+었/EP+고/EC+,/SP
기술이전	기술/NNG+이전/NNG
수입으로	수입/NNG+으로/JKB
9억6000만	9/SN+억/NR+6000/SN+만/NR
거둬들였다.	거둬들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.100.4.3
2009년부터 5년간 특허출원도 1579건이나 냈다.

2009년부터	2009/SN+년/NNB+부터/JX
5년간	5/SN+년/NNB+간/XSN
특허출원도	특허/NNG+출원/NNG+도/JX
1579건이나	1579/SN+건/NNB+이나/JX
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.100.4.4
2013년 기술이전료 수입에서 과학기술교수 1인당 767만 원으로 9위, 지식재산권 등록 4위를 차지해 연구실적이 좋은 대학이라는 명성을 입증했다.

2013년	2013/SN+년/NNB
기술이전료	기술/NNG+이전료/NNG
수입에서	수입/NNG+에서/JKB
과학기술교수	과학/NNG+기술/NNG+교수/NNG
1인당	1/SN+인/NNG+당/XSN
767만	767/SN+만/NR
원으로	원/NNB+으로/JKB
9위,	9/SN+위/NNB+,/SP
지식재산권	지식/NNG+재산/NNG+권/XSN
등록	등록/NNG
4위를	4/SN+위/NNB+를/JKO
차지해	차지/NNG+하/XSV+아/EC
연구실적이	연구/NNG+실적/NNG+이/JKS
좋은	좋/VA+은/ETM
대학이라는	대학/NNG+이/VCP+라는/ETM
명성을	명성/NNG+을/JKO
입증했다.	입증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.100.4.5
올해는 10월 현재 28건의 기술이전계약이 체결돼 약 4억 원의 기술료 수입을 올렸다.

올해는	올해/NNG+는/JX
10월	10/SN+월/NNB
현재	현재/MAG
28건의	28/SN+건/NNB+의/JKG
기술이전계약이	기술/NNG+이전/NNG+계약/NNG+이/JKS
체결돼	체결/NNG+되/XSV+어/EC
약	약/MMA
4억	4/SN+억/NR
원의	원/NNB+의/JKG
기술료	기술료/NNG
수입을	수입/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.100.4.6
연말까지 50여 건의 기술이전계약과 10억 원 이상의 기술료 수입을 기대하고 있다.

연말까지	연말/NNG+까지/JX
50여	50/SN+여/XSN
건의	건/NNB+의/JKG
기술이전계약과	기술/NNG+이전/NNG+계약/NNG+과/JC
10억	10/SN+억/NR
원	원/NNB
이상의	이상/NNG+의/JKG
기술료	기술료/NNG
수입을	수입/NNG+을/JKO
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.100.5.1
건국대는 전통적으로 강한 바이오생명공학 분야와 농축산, 수의학, 의생명과학 분야 외에도 항공우주공학, 첨단메모리소자, 신소재융합기술 분야를 중심으로 산학협력의 폭을 넓히고 있다.

건국대는	건국대/NNP+는/JX
전통적으로	전통/NNG+적/XSN+으로/JKB
강한	강하/VA+ㄴ/ETM
바이오생명공학	바이오/NNG+생명/NNG+공학/NNG
분야와	분야/NNG+와/JC
농축산,	농축산/NNG+,/SP
수의학,	수의학/NNG+,/SP
의생명과학	의생명/NNG+과학/NNG
분야	분야/NNG
외에도	외/NNB+에/JKB+도/JX
항공우주공학,	항공/NNG+우주/NNG+공학/NNG+,/SP
첨단메모리소자,	첨단/NNG+메모리/NNG+소자/NNG+,/SP
신소재융합기술	신/XPN+소재/NNG+융합/NNG+기술/NNG
분야를	분야/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
산학협력의	산학/NNG+협력/NNG+의/JKG
폭을	폭/NNG+을/JKO
넓히고	넓히/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.100.6.1
건국대의 장점인 연구력 기반 산학협력의 대표적인 사례는 수의과대학의 기술을 토대로 동물용 백신 연구개발(R&D) 센터 설립을 추진하는 것이다.

건국대의	건국대/NNP+의/JKG
장점인	장점/NNG+이/VCP+ㄴ/ETM
연구력	연구력/NNG
기반	기반/NNG
산학협력의	산학/NNG+협력/NNG+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
사례는	사례/NNG+는/JX
수의과대학의	수의과/NNG+대학/NNG+의/JKG
기술을	기술/NNG+을/JKO
토대로	토대/NNG+로/JKB
동물용	동물/NNG+용/XSN
백신	백신/NNG
연구개발(R&D)	연구/NNG+개발/NNG+(/SS+R/SL+&/SW+D/SL+)/SS
센터	센터/NNG
설립을	설립/NNG+을/JKO
추진하는	추진/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.100.7.1
수의과대학의 송창선 교수가 닭의 전염성 기관지염 예방백신인 ‘K2백신’ 특허기술을 지속적으로 발전시키고 상용화하면서 기술이전과 수익을 늘린 것이 밑거름이다.

수의과대학의	수의과/NNG+대학/NNG+의/JKG
송창선	송창선/NNP
교수가	교수/NNG+가/JKS
닭의	닭/NNG+의/JKG
전염성	전염/NNG+성/XSN
기관지염	기관지염/NNG
예방백신인	예방/NNG+백신/NNG+이/VCP+ㄴ/ETM
‘K2백신’	‘/SS+K/SL+2/SN+백신/NNG+’/SS
특허기술을	특허/NNG+기술/NNG+을/JKO
지속적으로	지속/NNG+적/XSN+으로/JKB
발전시키고	발전/NNG+시키/XSV+고/EC
상용화하면서	상용/NNG+화/XSN+하/XSV+면서/EC
기술이전과	기술/NNG+이전/NNG+과/JC
수익을	수익/NNG+을/JKO
늘린	늘리/VV+ㄴ/ETM
것이	것/NNB+이/JKS
밑거름이다.	밑거름/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.100.7.2
올해 개량한 K2 백신 기술은 당장 초기 선급기술료 형태로만 6억 원의 수익을 올릴 것으로 전망된다.

올해	올해/NNG
개량한	개량/NNG+하/XSV+ㄴ/ETM
K2	K/SL+2/SN
백신	백신/NNG
기술은	기술/NNG+은/JX
당장	당장/NNG
초기	초기/NNG
선급기술료	선급/NNG+기술료/NNG
형태로만	형태/NNG+로/JKB+만/JX
6억	6/SN+억/NR
원의	원/NNB+의/JKG
수익을	수익/NNG+을/JKO
올릴	올리/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.100.8.1
건국대 관계자는 “의생명과학 연구력에서 교수 1인당 논문 건수 기준 세계 2위를 기록한 역량을 기반으로 세계 10위권 동물용 백신 R&D센터를 구축해 국내 최초의 동물용 백신 분야 기술지주회사 자회사를 설립할 계획”이라고 말했다.

건국대	건국대/NNP
관계자는	관계자/NNG+는/JX
“의생명과학	“/SS+의생명/NNG+과학/NNG
연구력에서	연구력/NNG+에서/JKB
교수	교수/NNG
1인당	1/SN+인/NNG+당/XSN
논문	논문/NNG
건수	건수/NNG
기준	기준/NNG
세계	세계/NNG
2위를	2/SN+위/NNB+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
역량을	역량/NNG+을/JKO
기반으로	기반/NNG+으로/JKB
10위권	10/SN+위/NNB+권/XSN
동물용	동물/NNG+용/XSN
백신	백신/NNG
R&D센터를	R/SL+&/SW+D/SL+센터/NNG+를/JKO
구축해	구축/NNG+하/XSV+아/EC
국내	국내/NNG
최초의	최초/NNG+의/JKG
분야	분야/NNG
기술지주회사	기술/NNG+지주/NNG+회사/NNG
자회사를	자회사/NNG+를/JKO
설립할	설립/NNG+하/XSV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.100.9.1
건국대는 변리사와 기술거래사, 기술가치평가사 등의 전문인력을 활용해 수준 높은 특허 등록을 이끌어내는 전략도 쓰고 있다.

건국대는	건국대/NNP+는/JX
변리사와	변리사/NNG+와/JC
기술거래사,	기술/NNG+거래사/NNG+,/SP
기술가치평가사	기술/NNG+가치/NNG+평가사/NNG
등의	등/NNB+의/JKG
전문인력을	전문/NNG+인력/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
수준	수준/NNG
높은	높/VA+은/ETM
특허	특허/NNG
등록을	등록/NNG+을/JKO
이끌어내는	이끌/VV+어/EC+내/VX+는/ETM
전략도	전략/NNG+도/JX
쓰고	쓰/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.100.9.2
또 우수 기술에 대해서는 마케팅도 강화하는 추세다.

또	또/MAG
우수	우수/NNG
기술에	기술/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
마케팅도	마케팅/NNG+도/JX
강화하는	강화/NNG+하/XSV+는/ETM
추세다.	추세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.100.9.3
테크노페어, 기술설명회 등 매년 기술이전 행사를 열어 산학협력 기반을 확대하고 있다.

테크노페어,	테크노/NNG+페어/NNG+,/SP
기술설명회	기술/NNG+설명회/NNG
등	등/NNB
매년	매년/MAG
기술이전	기술/NNG+이전/NNG
