# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.374
metadata : {}


# id : NWRW1800000030.374.1.1
[충청] 도민참여예산제 부작용 없을까?

[충청]	[/SS+충청/NNP+]/SS
도민참여예산제	도민/NNG+참여/NNG+예산/NNG+제/XSN
부작용	부작용/NNG
없을까?	없/VA+을까/EF+?/SF


# id : NWRW1800000030.374.2.1
•충남도 이르면 6월 시행… 인기 영합한 편성 우려

•충남도	•/SW+충남/NNP+도/JX
이르면	이르/VA+면/EC
6월	6/SN+월/NNB
시행…	시행/NNG+…/SE
인기	인기/NNG
영합한	영합/NNG+하/XSV+ㄴ/ETM
편성	편성/NNG
우려	우려/NNG


# id : NWRW1800000030.374.3.1
안희정 충남지사의 주요 공약인 '도민참여예산제'가 이르면 6월부터 시행될 전망이다.

안희정	안희정/NNP
충남지사의	충남/NNP+지사/NNG+의/JKG
주요	주요/NNG
공약인	공약/NNG+이/VCP+ㄴ/ETM
'도민참여예산제'가	'/SS+도민/NNG+참여/NNG+예산/NNG+제/XSN+'/SS+가/JKS
이르면	이르/VA+면/EC
6월부터	6/SN+월/NNB+부터/JX
시행될	시행/NNG+되/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.374.3.2
하지만 충분한 사전준비 없이 시행될 경우 재정 악화 등 부작용만 초래할 것이란 우려가 커지고 있다.

하지만	하지만/MAJ
충분한	충분하/VA+ㄴ/ETM
사전준비	사전/NNG+준비/NNG
없이	없이/MAG
시행될	시행/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
재정	재정/NNG
악화	악화/NNG
등	등/NNB
부작용만	부작용/NNG+만/JX
초래할	초래/NNG+하/XSV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
우려가	우려/NNG+가/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.374.4.1
충남도에 따르면 최근 정책자문위원회 자치행정 분과위원회를 열고 도민참여예산제 시행을 위한 중심조직이 될 예산위원회 위원 100명 가운데 20명은 공모를 통해 모집하기로 했다.

충남도에	충남도/NNP+에/JKB
따르면	따르/VV+면/EC
최근	최근/MAG
정책자문위원회	정책/NNG+자문/NNG+위원회/NNG
자치행정	자치/NNG+행정/NNG
분과위원회를	분과/NNG+위원회/NNG+를/JKO
열고	열/VV+고/EC
도민참여예산제	도민/NNG+참여/NNG+예산/NNG+제/XSN
시행을	시행/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
중심조직이	중심/NNG+조직/NNG+이/JKC
될	되/VV+ㄹ/ETM
예산위원회	예산/NNG+위원회/NNG
위원	위원/NNG
100명	100/SN+명/NNB
가운데	가운데/NNG
20명은	20/SN+명/NNB+은/JX
공모를	공모/NNG+를/JKO
통해	통하/VV+아/EC
모집하기로	모집/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.374.4.2
나머지 80명은 도지사 추천 18명, 도의회 추천 20명, 16개 시장·군수 추천 42명 등으로 구성하기로 방침을 정했다.

나머지	나머지/NNG
80명은	80/SN+명/NNB+은/JX
도지사	도지사/NNG
추천	추천/NNG
18명,	18/SN+명/NNB+,/SP
도의회	도/NNG+의회/NNG
20명,	20/SN+명/NNB+,/SP
16개	16/SN+개/NNB
시장·군수	시장/NNG+·/SP+군수/NNG
42명	42/SN+명/NNB
등으로	등/NNB+으로/JKB
구성하기로	구성/NNG+하/XSV+기/ETN+로/JKB
방침을	방침/NNG+을/JKO
정했다.	정하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.374.4.3
도는 이 같은 내용을 담은 조례안에 대해 여론수렴을 거쳐 확정한 뒤 5월 도의회에 상정한다는 계획이다.

도는	도/NNG+는/JX
이	이/NP
같은	같/VA+은/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
조례안에	조례안/NNG+에/JKB
대해	대하/VV+아/EC
여론수렴을	여론/NNG+수렴/NNG+을/JKO
거쳐	거치/VV+어/EC
확정한	확정/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
5월	5/SN+월/NNB
도의회에	도/NNG+의회/NNG+에/JKB
상정한다는	상정/NNG+하/XSV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.374.5.1
예산위원회의 참여범위는 특별회계와 기금을 제외한 일반회계(3조5800억원 규모)에 국한되며, 실질적으로는 경직성 경비를 제외한 도 자율편성예산 범위(3000억원 내외)에서 예산편성 논의에 참여하게 될 것이라는 게 도의 설명이다.

예산위원회의	예산/NNG+위원회/NNG+의/JKG
참여범위는	참여/NNG+범위/NNG+는/JX
특별회계와	특별/NNG+회계/NNG+와/JC
기금을	기금/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
일반회계(3조5800억원	일반/NNG+회계/NNG+(/SS+3/SN+조/NR+5800/SN+억/NR+원/NNB
규모)에	규모/NNG+)/SS+에/JKB
국한되며,	국한/NNG+되/XSV+며/EC+,/SP
실질적으로는	실질/NNG+적/XSN+으로/JKB+는/JX
경직성	경직/NNG+성/XSN
경비를	경비/NNG+를/JKO
도	도/NNG
자율편성예산	자율/NNG+편성/NNG+예산/NNG
범위(3000억원	범위/NNG+(/SS+3000/SN+억/NR+원/NNB
내외)에서	내외/NNG+)/SS+에서/JKB
예산편성	예산/NNG+편성/NNG
논의에	논의/NNG+에/JKB
참여하게	참여/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
게	거/NNB+이/JKS
도의	도/NNG+의/JKG
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.374.5.2
도는 예산편성 및 운영 관련 정보를 제공하기 위해 '예산학교(가칭)'를 예산위원회가 구성된 이후 운영할 계획이며 7월 중 재정 운영 및 도민참여예산제 등을 자세히 소개하는 전용 홈페이지도 구축할 방침이다.

도는	도/NNG+는/JX
예산편성	예산/NNG+편성/NNG
및	및/MAG
운영	운영/NNG
관련	관련/NNG
정보를	정보/NNG+를/JKO
제공하기	제공/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
'예산학교(가칭)'를	'/SS+예산/NNG+학교/NNG+(/SS+가칭/NNG+)/SS+'/SS+를/JKO
예산위원회가	예산/NNG+위원회/NNG+가/JKS
구성된	구성/NNG+되/XSV+ㄴ/ETM
이후	이후/NNG
운영할	운영/NNG+하/XSV+ㄹ/ETM
계획이며	계획/NNG+이/VCP+며/EC
7월	7/SN+월/NNB
중	중/NNB
재정	재정/NNG
도민참여예산제	도민/NNG+참여/NNG+예산/NNG+제/XSN
등을	등/NNB+을/JKO
자세히	자세히/MAG
소개하는	소개/NNG+하/XSV+는/ETM
전용	전용/NNG
홈페이지도	홈페이지/NNG+도/JX
구축할	구축/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.374.6.1
하지만 체계적인 준비 없이 주민참여예산제를 시행하면 부작용이 클 것이란 지적이다.

하지만	하지만/MAJ
체계적인	체계/NNG+적/XSN+이/VCP+ㄴ/ETM
준비	준비/NNG
없이	없이/MAG
주민참여예산제를	주민/NNG+참여/NNG+예산/NNG+제/XSN+를/JKO
시행하면	시행/NNG+하/XSV+면/EC
부작용이	부작용/NNG+이/JKS
클	크/VA+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
지적이다.	지적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.374.6.2
예산 편성은 중장기적인 시각과 전문성이 요구되는데 여론에 휘말려 근시안적으로 편성될 경우 가뜩이나 취약한 지자체 재정 부담만 가중시키고 예산의 비효율적 집행 및 낭비를 초래하기 때문이다.

예산	예산/NNG
편성은	편성/NNG+은/JX
중장기적인	중장기/NNG+적/XSN+이/VCP+ㄴ/ETM
시각과	시각/NNG+과/JC
전문성이	전문/NNG+성/XSN+이/JKS
요구되는데	요구/NNG+되/XSV+는데/EC
여론에	여론/NNG+에/JKB
휘말려	휘말리/VV+어/EC
근시안적으로	근시안/NNG+적/XSN+으로/JKB
편성될	편성/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
가뜩이나	가뜩이나/MAG
취약한	취약/NNG+하/XSA+ㄴ/ETM
지자체	지자체/NNG
재정	재정/NNG
부담만	부담/NNG+만/JX
가중시키고	가중/NNG+시키/XSV+고/EC
예산의	예산/NNG+의/JKG
비효율적	비/XPN+효율/NNG+적/XSN
집행	집행/NNG
및	및/MAG
낭비를	낭비/NNG+를/JKO
초래하기	초래/NNG+하/XSV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.374.6.3
도는 예산 편성은 도 집행부가 최종 결정한다고 하지만 예산위원회의 결정사항을 번복하기는 부담스러울 수밖에 없다는 이유에서다.

도는	도/NNG+는/JX
예산	예산/NNG
편성은	편성/NNG+은/JX
도	도/NNG
집행부가	집행부/NNG+가/JKS
최종	최종/NNG
결정한다고	결정/NNG+하/XSV+ㄴ다고/EC
하지만	하/VV+지만/EC
예산위원회의	예산/NNG+위원회/NNG+의/JKG
결정사항을	결정/NNG+사항/NNG+을/JKO
번복하기는	번복/NNG+하/XSV+기/ETN+는/JX
부담스러울	부담/NNG+스럽/XSA+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다는	없/VA+다는/ETM
이유에서다.	이유/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000030.374.7.1
육동일 충남대 자치행정학과 교수는 "서둘러 시행할 경우 자칫 인기에만 영합한 포퓰리즘으로 흐를 수 있다"며 "예산위원회의 대표성과 전문성을 높이고 합리적 예산편성을 위한 치밀한 준비와 신중한 접근이 요구된다"고 말했다.

육동일	육동일/NNP
충남대	충남대/NNP
자치행정학과	자치/NNG+행정학과/NNG
교수는	교수/NNG+는/JX
"서둘러	"/SS+서두르/VV+어/EC
시행할	시행/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
자칫	자칫/MAG
인기에만	인기/NNG+에/JKB+만/JX
영합한	영합/NNG+하/XSV+ㄴ/ETM
포퓰리즘으로	포퓰리즘/NNG+으로/JKB
흐를	흐르/VV+ㄹ/ETM
수	수/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
"예산위원회의	"/SS+예산/NNG+위원회/NNG+의/JKG
대표성과	대표/NNG+성/XSN+과/JC
전문성을	전문/NNG+성/XSN+을/JKO
높이고	높이/VV+고/EC
합리적	합리/NNG+적/XSN
예산편성을	예산/NNG+편성/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
치밀한	치밀하/VA+ㄴ/ETM
준비와	준비/NNG+와/JC
신중한	신중/NNG+하/XSA+ㄴ/ETM
접근이	접근/NNG+이/JKS
요구된다"고	요구/NNG+되/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


