# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.329
metadata : {}


# id : NWRW1800000046.329.1.1
[與黨은 '사드 의총' 갈등] "野, 잘못된 논리로 반대… 여당이 입 다물어야 하나"

[與黨은	[/SS+與黨/SH+은/JX
'사드	'/SS+사드/NNG
의총'	의총/NNG+'/SS
갈등]	갈등/NNG+]/SS
"野,	"/SS+野/SH+,/SP
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
논리로	논리/NNG+로/JKB
반대…	반대/NNG+…/SE
여당이	여당/NNG+이/JKS
입	입/NNG
다물어야	다물/VV+어야/EC
하나"	하/VX+나/EC+"/SS


# id : NWRW1800000046.329.2.1
유승민 원내대표, 의총 주장… "국가안보에 관련된 사안, 전략적 모호성 옳지 않아"

유승민	유승민/NNP
원내대표,	원내/NNG+대표/NNG+,/SP
의총	의총/NNG
주장…	주장/NNG+…/SE
"국가안보에	"/SS+국가/NNG+안보/NNG+에/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
사안,	사안/NNG+,/SP
전략적	전략/NNG+적/XSN
모호성	모호성/NNG
옳지	옳/VA+지/EC
않아"	않/VX+아/EF+"/SS


# id : NWRW1800000046.329.3.1
유승민〈사진〉 새누리당 원내대표는 19일 본지 전화 인터뷰에서 미국의 고(高)고도 미사일 방어 체계인 사드(THAAD) 배치 논란과 관련, "야당은 사드 배치에 대해 잘못된 논리로 반대하고 있는데 집권 여당이 입을 다물고 있는 건 말이 안 된다"고 했다.

유승민〈사진〉	유승민/NNP+〈/SS+사진/NNG+〉/SS
새누리당	새누리당/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
19일	19/SN+일/NNB
본지	본지/NNG
전화	전화/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
미국의	미국/NNP+의/JKG
고(高)고도	고/XPN+(/SS+高/SH+)/SS+고도/NNG
미사일	미사일/NNG
방어	방어/NNG
체계인	체계/NNG+이/VCP+ㄴ/ETM
사드(THAAD)	사드/NNG+(/SS+THAAD/SL+)/SS
배치	배치/NNG
논란과	논란/NNG+과/JKB
관련,	관련/NNG+,/SP
"야당은	"/SS+야당/NNG+은/JX
사드	사드/NNG
배치에	배치/NNG+에/JKB
대해	대하/VV+아/EC
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
논리로	논리/NNG+로/JKB
반대하고	반대/NNG+하/XSV+고/EC
