# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.355
metadata : {}


# id : NWRW1800000045.355.1.1
학생들 발열여부 매일 체크해야

학생들	학생/NNG+들/XSN
발열여부	발열/NNG+여부/NNG
매일	매일/MAG
체크해야	체크/NNG+하/XSV+아야/EC


# id : NWRW1800000045.355.2.1
[메르스, 이렇게 막아라/시민 행동수칙]교육 현장에서는 8일 전국 6개 시도 1790곳 휴업… 맞벌이 가정 자녀는 등교 가능

[메르스,	[/SS+메르스/NNG+,/SP
이렇게	이렇/VA+게/EC
막아라/시민	막/VV+아라/EF+//SP+시민/NNG
행동수칙]교육	행동/NNG+수칙/NNG+]/SS+교육/NNG
현장에서는	현장/NNG+에서/JKB+는/JX
8일	8/SN+일/NNB
전국	전국/NNG
6개	6/SN+개/NNB
시도	시도/NNG
1790곳	1790/SN+곳/NNG
휴업…	휴업/NNG+…/SE
맞벌이	맞벌이/NNG
가정	가정/NNG
자녀는	자녀/NNG+는/JX
등교	등교/NNG
가능	가능/NNG


# id : NWRW1800000045.355.3.1
메르스 확산 우려가 큰 서울과 경기의 일부 교육청에 8일부터 일괄 휴업령이 내려지면서 다른 시도에서도 일괄 휴업이 이어질지 관심이 쏠리고 있다.

메르스	메르스/NNG
확산	확산/NNG
우려가	우려/NNG+가/JKS
큰	크/VA+ㄴ/ETM
서울과	서울/NNP+과/JC
경기의	경기/NNG+의/JKG
일부	일부/NNG
교육청에	교육청/NNG+에/JKB
8일부터	8/SN+일/NNB+부터/JX
일괄	일괄/NNG
휴업령이	휴업령/NNG+이/JKS
내려지면서	내려지/VV+면서/EC
다른	다른/MMD
시도에서도	시도/NNG+에서/JKB+도/JX
휴업이	휴업/NNG+이/JKS
이어질지	이어지/VV+ㄹ지/EF
관심이	관심/NNG+이/JKS
쏠리고	쏠리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.355.3.2
일괄 휴업을 해도 교직원은 출근하기 때문에 학교가 쉬면 자녀를 돌볼 방법이 없는 맞벌이 가정 등은 원하면 자녀를 등교시킬 수 있다.

일괄	일괄/NNG
휴업을	휴업/NNG+을/JKO
해도	하/VV+아도/EC
교직원은	교직원/NNG+은/JX
출근하기	출근/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
학교가	학교/NNG+가/JKS
쉬면	쉬/VV+면/EC
자녀를	자녀/NNG+를/JKO
돌볼	돌보/VV+ㄹ/ETM
방법이	방법/NNG+이/JKS
없는	없/VA+는/ETM
맞벌이	맞벌이/NNG
가정	가정/NNG
등은	등/NNB+은/JX
원하면	원/NNG+하/XSV+면/EC
등교시킬	등교/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.355.4.1
주말을 기점으로 전국적으로 메르스가 더 번지고, 서울 경기 지역의 일괄 휴업까지 더해지면서 8일에 휴업을 하는 학교는 전국 6개 시도에서 약 1790곳으로 늘었다.

주말을	주말/NNG+을/JKO
기점으로	기점/NNG+으로/JKB
전국적으로	전국/NNG+적/XSN+으로/JKB
메르스가	메르스/NNG+가/JKS
더	더/MAG
번지고,	번지/VV+고/EC+,/SP
서울	서울/NNP
경기	경기/NNP
지역의	지역/NNG+의/JKG
일괄	일괄/NNG
휴업까지	휴업/NNG+까지/JX
더해지면서	더/MAG+하/XSV+아/EC+지/VX+면서/EC
8일에	8/SN+일/NNB+에/JKB
