# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.61
metadata : {}


# id : NWRW1800000054.61.1.1
"트럼프 시대… 희극에서 출발해 비극으로 가는 중"

"트럼프	"/SS+트럼프/NNP
시대…	시대/NNG+…/SE
희극에서	희극/NNG+에서/JKB
출발해	출발/NNG+하/XSV+아/EC
비극으로	비극/NNG+으로/JKB
가는	가/VV+는/ETM
중"	중/NNB+"/SS


# id : NWRW1800000054.61.2.1
오바마 추천 최고의 책 '운명과 분노' 작가 로런 그로프 인터뷰

오바마	오바마/NNP
추천	추천/NNG
최고의	최고/NNG+의/JKG
책	책/NNG
'운명과	'/SS+운명/NNG+과/JC
분노'	분노/NNG+'/SS
작가	작가/NNG
로런	로런/NNP
그로프	그로프/NNP
인터뷰	인터뷰/NNG


# id : NWRW1800000054.61.3.1
소설가 로런 그로프(Lauren Groff·39)는 당대 미국 문학에서 젊은 나이에도 '산문(散文)의 거장'(일간지 시카고 트리뷴)으로 꼽힌다.

소설가	소설가/NNG
로런	로런/NNP
그로프(Lauren	그로프/NNP+(/SS+Lauren/SL
Groff·39)는	Groff/SL+·/SP+39/SN+)/SS+는/JX
당대	당대/NNG
미국	미국/NNP
문학에서	문학/NNG+에서/JKB
젊은	젊/VA+은/ETM
나이에도	나이/NNG+에/JKB+도/JX
'산문(散文)의	'/SS+산문/NNG+(/SS+散文/SH+)/SS+의/JKG
거장'(일간지	거장/NNG+'/SS+(/SS+일간지/NNG
시카고	시카고/NNP
트리뷴)으로	트리뷴/NNP+)/SS+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.61.3.2
그로프는 2008년 작가 활동을 시작해 세 권의 장편과 한 권의 단편집을 냈다.

그로프는	그로프/NNP+는/JX
2008년	2008/SN+년/NNB
작가	작가/NNG
활동을	활동/NNG+을/JKO
시작해	시작/NNG+하/XSV+아/EC
세	세/MMN
권의	권/NNB+의/JKG
장편과	장편/NNG+과/JC
한	한/MMN
단편집을	단편집/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.61.3.3
두 번째 장편 '아르카디아'는 2012년 뉴욕 타임스가 선정한 올해의 책에 들어갔다.

두	두/MMN
번째	번/NNB+째/XSN
장편	장편/NNG
'아르카디아'는	'/SS+아르카디아/NNG+'/SS+는/JX
2012년	2012/SN+년/NNB
뉴욕	뉴욕/NNP
타임스가	타임스/NNP+가/JKS
선정한	선정/NNG+하/XSV+ㄴ/ETM
올해의	올해/NNG+의/JKG
책에	책/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.61.3.4
버락 오바마 전 미국 대통령이 2015년 그로프의 세 번째 장편 '운명과 분노'를 '올해 최고의 책'으로 추천해 화제가 됐다.

버락	버락/NNP
오바마	오바마/NNP
전	전/MMD
미국	미국/NNP
대통령이	대통령/NNG+이/JKS
2015년	2015/SN+년/NNB
그로프의	그로프/NNP+의/JKG
세	세/MMN
번째	번/NNB+째/XSN
장편	장편/NNG
'운명과	'/SS+운명/NNG+과/JC
분노'를	분노/NNG+'/SS+를/JKO
'올해	'/SS+올해/NNG
최고의	최고/NNG+의/JKG
책'으로	책/NNG+'/SS+으로/JKB
추천해	추천/NNG+하/XSV+아/EC
화제가	화제/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.61.4.1
당시 그로프는 트위터를 통해 "까무러쳤다가 깨어났다. 이제 은퇴해도 되겠다"고 기뻐했다.

당시	당시/NNG
그로프는	그로프/NNP+는/JX
트위터를	트위터/NNP+를/JKO
통해	통하/VV+아/EC
"까무러쳤다가	"/SS+까무러치/VV+었/EP+다가/EC
깨어났다.	깨어나/VV+았/EP+다/EF+./SF
이제	이제/MAG
은퇴해도	은퇴/NNG+하/XSV+아도/EC
되겠다"고	되/VV+겠/EP+다/EF+"/SS+고/JKQ
기뻐했다.	기뻐하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.61.4.2
'운명과 분노'는 부유층 남자와 빈곤층 여자의 결혼을 소재로 삼아 운명과 존재의 관계를 신화와 비극의 분위기 속에서 우아한 문체로 다루면서도 소득 양극화와 여성 혐오가 초래한 현실 문제를 조명했다.

'운명과	'/SS+운명/NNG+과/JC
분노'는	분노/NNG+'/SS+는/JX
부유층	부유/NNG+층/XSN
남자와	남자/NNG+와/JC
빈곤층	빈곤/NNG+층/XSN
여자의	여자/NNG+의/JKG
결혼을	결혼/NNG+을/JKO
소재로	소재/NNG+로/JKB
삼아	삼/VV+아/EC
운명과	운명/NNG+과/JC
존재의	존재/NNG+의/JKG
관계를	관계/NNG+를/JKO
신화와	신화/NNG+와/JC
비극의	비극/NNG+의/JKG
분위기	분위기/NNG
속에서	속/NNG+에서/JKB
우아한	우아하/VA+ㄴ/ETM
문체로	문체/NNG+로/JKB
다루면서도	다루/VV+면서/EC+도/JX
소득	소득/NNG
양극화와	양극/NNG+화/XSN+와/JC
여성	여성/NNG
혐오가	혐오/NNG+가/JKS
초래한	초래/NNG+하/XSV+ㄴ/ETM
현실	현실/NNG
문제를	문제/NNG+를/JKO
조명했다.	조명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.61.4.3
최근 '운명과 분노'(정연희 옮김·문학동네) 국내 출간을 맞아 그로프를 이메일로 인터뷰했다.

최근	최근/NNG
'운명과	'/SS+운명/NNG+과/JC
분노'(정연희	분노/NNG+'/SS+(/SS+정연희/NNP
옮김·문학동네)	옮기/VV+ㅁ/ETN+·/SP+문학동네/NNP+)/SS
국내	국내/NNG
출간을	출간/NNG+을/JKO
맞아	맞/VV+아/EC
그로프를	그로프/NNP+를/JKO
이메일로	이메일/NNG+로/JKB
인터뷰했다.	인터뷰/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.61.5.1
―오바마 전 대통령이 '운명과 분노'를 좋아한 까닭은 무엇이라고 생각하나.

―오바마	―/SS+오바마/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
'운명과	'/SS+운명/NNG+과/JC
분노'를	분노/NNG+'/SS+를/JKO
좋아한	좋아하/VA+ㄴ/ETM
까닭은	까닭/NNG+은/JX
무엇이라고	무엇/NP+이/VCP+라고/EC
생각하나.	생각/NNG+하/XSV+나/EF+./SF


# id : NWRW1800000054.61.5.2
오바마를 만난 적이 있나.

오바마를	오바마/NNP+를/JKO
만난	만나/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있나.	있/VA+나/EF+./SF


# id : NWRW1800000054.61.6.1
"슬프게도 (그를 매우 좋아하지만) 그럴 기회는 없었다.

"슬프게도	"/SS+슬프/VA+게/EC+도/JX
(그를	(/SS+그/NP+를/JKO
매우	매우/MAG
좋아하지만)	좋아하/VV+지만/EC+)/SS
그럴	그러/VV+ㄹ/ETM
기회는	기회/NNG+는/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.61.6.2
정말 고맙게도 그는 내게 친필 편지를 보내줬다.

정말	정말/MAG
고맙게도	고맙/VA+게/EC+도/JX
그는	그/NP+는/JX
내게	나/NP+에게/JKB
친필	친필/NNG
편지를	편지/NNG+를/JKO
보내줬다.	보내/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.61.6.3
마틸드(소설의 여주인공)가 아주 흥미롭고 독특한 인물이라고 언급했다."

