# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.350
metadata : {}


# id : NWRW1800000052.350.1.1
한-이란, 42조 규모 경제협력 합의

한-이란,	한/NNP+-/SO+이란/NNP+,/SP
42조	42/SN+조/NR
규모	규모/NNG
경제협력	경제/NNG+협력/NNG
합의	합의/NNG


# id : NWRW1800000052.350.2.1
양국 정상 공동성명 채택

양국	양국/NNG
정상	정상/NNG
공동성명	공동/NNG+성명/NNG
채택	채택/NNG


# id : NWRW1800000052.350.3.1
로하니 “한반도 어떤 핵개발도 반대”

로하니	로하니/NNP
“한반도	“/SS+한반도/NNP
어떤	어떤/MMD
핵개발도	핵/NNG+개발/NNG+도/JX
반대”	반대/NNG+”/SS


# id : NWRW1800000052.350.4.1
박근혜 대통령과 하산 로하니 이란 대통령은 2일(현지시각) 이란 테헤란의 사다바드 대통령궁에서 정상회담을 열어 한반도 비핵화에 대한 공감대를 확인했다.

박근혜	박근혜/NNP
대통령과	대통령/NNG+과/JC
하산	하산/NNP
로하니	로하니/NNP
이란	이란/NNP
대통령은	대통령/NNG+은/JX
2일(현지시각)	2/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
테헤란의	테헤란/NNP+의/JKG
사다바드	사다바드/NNP
대통령궁에서	대통령/NNG+궁/NNG+에서/JKB
정상회담을	정상/NNG+회담/NNG+을/JKO
열어	열/VV+어/EC
한반도	한반도/NNP
비핵화에	비핵/NNG+화/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
공감대를	공감대/NNG+를/JKO
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.350.4.2
또 이번 정상회담을 계기로 경제 분야 59건을 포함해 모두 66건의 양해각서가 체결됐고, 371억달러(약 42조원) 규모의 주요 프로젝트 수주가 가시화됐다.

또	또/MAG
이번	이번/NNG
정상회담을	정상/NNG+회담/NNG+을/JKO
계기로	계기/NNG+로/JKB
경제	경제/NNG
분야	분야/NNG
59건을	59/SN+건/NNB+을/JKO
포함해	포함/NNG+하/XSV+아/EC
모두	모두/MAG
66건의	66/SN+건/NNB+의/JKG
양해각서가	양해/NNG+각서/NNG+가/JKS
체결됐고,	체결/NNG+되/XSV+었/EP+고/EC+,/SP
371억달러(약	371/SN+억/NR+달러/NNB+(/SS+약/MMA
42조원)	42/SN+조/NR+원/NNB+)/SS
규모의	규모/NNG+의/JKG
주요	주요/NNG
프로젝트	프로젝트/NNG
수주가	수주/NNG+가/JKS
가시화됐다.	가시/NNG+화/XSN+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.350.4.3
1962년 한-이란 수교 이후 양국 정상이 만난 것은 이번이 처음이다.

1962년	1962/SN+년/NNB
한-이란	한/NNP+-/SO+이란/NNP
수교	수교/NNG
이후	이후/NNG
양국	양국/NNG
정상이	정상/NNG+이/JKS
