# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.387
metadata : {}


# id : NWRW1800000028.387.1.1
국방부, 남북군사실무회담 거절

국방부,	국방부/NNG+,/SP
남북군사실무회담	남북/NNP+군사/NNG+실무/NNG+회담/NNG
거절	거절/NNG


# id : NWRW1800000028.387.2.1
국방부가 북한쪽의 남북군사실무회담 개최 제의를 천안함 사건에 대한 책임있는 조처와 구체적인 회담 의제 제시 등을 요구하며 거부한 것으로 밝혀졌다.

국방부가	국방부/NNG+가/JKS
북한쪽의	북한/NNP+쪽/NNB+의/JKG
남북군사실무회담	남북/NNP+군사/NNG+실무/NNG+회담/NNG
개최	개최/NNG
제의를	제의/NNG+를/JKO
천안함	천안함/NNP
사건에	사건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
책임있는	책임/NNG+있/VA+는/ETM
조처와	조처/NNG+와/JC
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
회담	회담/NNG
의제	의제/NNG
제시	제시/NNG
등을	등/NNB+을/JKO
요구하며	요구/NNG+하/XSV+며/EC
거부한	거부/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.387.2.2
그동안 실무접촉 과정에서 이견이 드러나 회담 개최가 무산된 적은 많았지만, 북쪽의 회담 제의 자체를 남쪽이 거부한 것은 이례적인 일이다.

그동안	그동안/NNG
실무접촉	실무/NNG+접촉/NNG
과정에서	과정/NNG+에서/JKB
이견이	이견/NNG+이/JKS
드러나	드러나/VV+아/EC
회담	회담/NNG
개최가	개최/NNG+가/JKS
무산된	무산/NNG+되/XSV+ㄴ/ETM
적은	적/NNB+은/JX
많았지만,	많/VA+았/EP+지만/EC+,/SP
북쪽의	북쪽/NNG+의/JKG
제의	제의/NNG
자체를	자체/NNG+를/JKO
남쪽이	남쪽/NNG+이/JKS
거부한	거부/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이례적인	이례/NNG+적/XSN+이/VCP+ㄴ/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.387.3.1
문상균 국방부 북한정책과장은 29일 북한의 실무회담 개최 제의에 대해 “(천안함 사건에 대한) 북쪽의 입장과 태도가 변하지 않은 상황에서 군사실무회담 개최는 의미가 없다는 것을 강조하는 전통문을 지난 28일 오전 북쪽에 보냈다”고 밝혔다.

문상균	문상균/NNP
국방부	국방부/NNG
북한정책과장은	북한/NNP+정책과장/NNG+은/JX
29일	29/SN+일/NNB
북한의	북한/NNP+의/JKG
실무회담	실무/NNG+회담/NNG
개최	개최/NNG
제의에	제의/NNG+에/JKB
대해	대하/VV+아/EC
“(천안함	“/SS+(/SS+천안함/NNP
사건에	사건/NNG+에/JKB
대한)	대하/VV+ㄴ/ETM+)/SS
북쪽의	북쪽/NNG+의/JKG
입장과	입장/NNG+과/JC
태도가	태도/NNG+가/JKS
변하지	변하/VV+지/EC
않은	않/VX+은/ETM
상황에서	상황/NNG+에서/JKB
군사실무회담	군사/NNG+실무/NNG+회담/NNG
개최는	개최/NNG+는/JX
의미가	의미/NNG+가/JKS
없다는	없/VA+다는/ETM
것을	것/NNB+을/JKO
강조하는	강조/NNG+하/XSV+는/ETM
전통문을	전통문/NNG+을/JKO
지난	지나/VV+ㄴ/ETM
28일	28/SN+일/NNB
오전	오전/NNG
북쪽에	북쪽/NNG+에/JKB
보냈다”고	보내/VV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.387.3.2
앞서 북쪽은 지난 19일 남북 장성급군사회담 수석대표 명의로 ‘군사적 현안 논의’를 위한 실무회담을 10월22일 개최하자고 남쪽에 제의했다.

앞서	앞서/MAG
북쪽은	북쪽/NNG+은/JX
지난	지나/VV+ㄴ/ETM
19일	19/SN+일/NNB
남북	남북/NNP
장성급군사회담	장성급/NNG+군사/NNG+회담/NNG
수석대표	수석대표/NNG
명의로	명의/NNG+로/JKB
‘군사적	‘/SS+군사/NNG+적/XSN
현안	현안/NNG
논의’를	논의/NNG+’/SS+를/JKO
위한	위하/VV+ㄴ/ETM
실무회담을	실무/NNG+회담/NNG+을/JKO
10월22일	10/SN+월/NNB+22/SN+일/NNB
개최하자고	개최/NNG+하/XSV+자고/EC
남쪽에	남쪽/NNG+에/JKB
제의했다.	제의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.387.3.3
그러나 국방부는 북쪽의 <조선중앙통신>이 이날 보도를 한 뒤에야 뒤늦게 이러한 사실을 공개했다.

그러나	그러나/MAJ
국방부는	국방부/NNG+는/JX
북쪽의	북쪽/NNG+의/JKG
<조선중앙통신>이	</SS+조선중앙통신/NNP+>/SS+이/JKS
이날	이날/NNG
보도를	보도/NNG+를/JKO
한	하/VV+ㄴ/ETM
뒤에야	뒤/NNG+에/JKB+야/JX
뒤늦게	뒤늦/VA+게/EC
이러한	이러하/VA+ㄴ/ETM
사실을	사실/NNG+을/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.387.4.1
문상균 과장은 북쪽의 회담 제의를 거부한 배경에 대해 “북쪽은 구체적인 회담 의제를 분명하게 밝히지 않은 채, 천안함 사건에 대한 책임을 우리쪽에 전가하는 전통문을 보내왔다”며 “과거에는 북쪽이 회담하자고 하면 회담장에 나가서야 의제가 무엇인지 알았는데 이런 잘못된 회담 관행을 바로잡자는 취지에서 회담 제안을 거절했다”고 말했다.

문상균	문상균/NNP
과장은	과장/NNG+은/JX
북쪽의	북쪽/NNG+의/JKG
회담	회담/NNG
제의를	제의/NNG+를/JKO
거부한	거부/NNG+하/XSV+ㄴ/ETM
배경에	배경/NNG+에/JKB
대해	대하/VV+아/EC
“북쪽은	“/SS+북쪽/NNG+은/JX
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
의제를	의제/NNG+를/JKO
분명하게	분명/MAG+하/XSA+게/EC
밝히지	밝히/VV+지/EC
않은	않/VX+은/ETM
채,	채/NNB+,/SP
천안함	천안함/NNP
사건에	사건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
책임을	책임/NNG+을/JKO
우리쪽에	우리/NP+쪽/NNB+에/JKB
전가하는	전가/NNG+하/XSV+는/ETM
전통문을	전통문/NNG+을/JKO
보내왔다”며	보내오/VV+았/EP+다/EF+”/SS+며/EC
“과거에는	“/SS+과거/NNG+에/JKB+는/JX
북쪽이	북쪽/NNG+이/JKS
회담하자고	회담/NNG+하/XSV+자고/EC
하면	하/VV+면/EC
회담장에	회담장/NNG+에/JKB
나가서야	나가/VV+아서/EC+야/JX
의제가	의제/NNG+가/JKS
무엇인지	무엇/NP+이/VCP+ㄴ지/EC
알았는데	알/VV+았/EP+는데/EC
이런	이런/MMD
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
관행을	관행/NNG+을/JKO
바로잡자는	바로잡/VV+자는/ETM
취지에서	취지/NNG+에서/JKB
제안을	제안/NNG+을/JKO
거절했다”고	거절/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.387.5.1
남쪽의 회담 거부에 대해 <조선중앙통신>은 이날 북쪽 군사회담 대표단 대변인이 “대화 거절로 초래되는 북남(남북) 관계의 파국적 후과(결과)가 얼마나 큰 것인가를 통감하게 될 것”이라고 밝혔다고 전했다.

남쪽의	남쪽/NNG+의/JKG
회담	회담/NNG
거부에	거부/NNG+에/JKB
대해	대하/VV+아/EC
<조선중앙통신>은	</SS+조선중앙통신/NNP+>/SS+은/JX
이날	이날/NNG
북쪽	북쪽/NNG
군사회담	군사/NNG+회담/NNG
대표단	대표단/NNG
대변인이	대변인/NNG+이/JKS
“대화	“/SS+대화/NNG
거절로	거절/NNG+로/JKB
초래되는	초래/NNG+되/XSV+는/ETM
북남(남북)	북남/NNP+(/SS+남북/NNP+)/SS
관계의	관계/NNG+의/JKG
파국적	파국/NNG+적/XSN
후과(결과)가	후과/NNG+(/SS+결과/NNG+)/SS+가/JKS
얼마나	얼마나/MAG
큰	크/VA+ㄴ/ETM
것인가를	것/NNB+이/VCP+ㄴ가/EF+를/JKO
통감하게	통감/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다고	밝히/VV+었/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.387.5.2
대변인은 또 “쌍방 합의이행을 공공연히 회피하는 남쪽의 무모한 도발 행위에 대해 우리 군대는 무자비한 물리적 대응으로 처리해 나갈 것”이라고 덧붙였다.

대변인은	대변인/NNG+은/JX
또	또/MAG
“쌍방	“/SS+쌍방/NNG
합의이행을	합의/NNG+이행/NNG+을/JKO
공공연히	공공연히/MAG
회피하는	회피/NNG+하/XSV+는/ETM
남쪽의	남쪽/NNG+의/JKG
무모한	무모/NNG+하/XSA+ㄴ/ETM
도발	도발/NNG
행위에	행위/NNG+에/JKB
대해	대하/VV+아/EC
우리	우리/NP
군대는	군대/NNG+는/JX
무자비한	무/XPN+자비/NNG+하/XSA+ㄴ/ETM
물리적	물리/NNG+적/XSN
대응으로	대응/NNG+으로/JKB
처리해	처리/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


