# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.345
metadata : {}


# id : NWRW1800000041.345.1.1
2015년초 바다밑 1만km ‘韓流 아우토반’ 뚫린다

2015년초	2015/SN+년/NNB+초/NNB
바다밑	바다/NNG+밑/NNG
1만km	1/SN+만/NR+km/SW
‘韓流	‘/SS+韓流/SH
아우토반’	아우토반/NNP+’/SS
뚫린다	뚫리/VV+ㄴ다/EF


# id : NWRW1800000041.345.2.1
KT, 9월 부산에 종합관제센터 열고 운영준비 본격화

KT,	KT/SL+,/SP
9월	9/SN+월/NNB
부산에	부산/NNP+에/JKB
종합관제센터	종합/NNG+관제/NNG+센터/NNG
열고	열/VV+고/EC
운영준비	운영/NNG+준비/NNG
본격화	본격/NNG+화/XSN


# id : NWRW1800000041.345.3.1
중국과 동남아시아, 남미 등의 한류 팬들은 국내 팬들과 거의 동시에 한국 아이돌 가수의 새 뮤직비디오를 감상할 수 있다.

중국과	중국/NNP+과/JC
동남아시아,	동남아시아/NNP+,/SP
남미	남미/NNP
등의	등/NNB+의/JKG
한류	한류/NNG
팬들은	팬/NNG+들/XSN+은/JX
국내	국내/NNG
팬들과	팬/NNG+들/XSN+과/JKB
거의	거의/MAG
동시에	동시/NNG+에/JKB
한국	한국/NNP
아이돌	아이돌/NNG
가수의	가수/NNG+의/JKG
새	새/MMA
뮤직비디오를	뮤직비디오/NNG+를/JKO
감상할	감상/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.345.3.2
국경 없이 접속 가능한 인터넷 덕분이다.

국경	국경/NNG
없이	없이/MAG
접속	접속/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
인터넷	인터넷/NNG
덕분이다.	덕분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.345.3.3
하지만 손에 잡히지 않는 이런 디지털 콘텐츠들도 실제로는 먼 길을 빠른 속도로 이동한 끝에 소비자에게 도달된다.

하지만	하지만/MAJ
손에	손/NNG+에/JKB
잡히지	잡히/VV+지/EC
않는	않/VX+는/ETM
이런	이런/MMD
디지털	디지털/NNG
콘텐츠들도	콘텐츠/NNG+들/XSN+도/JX
실제로는	실제로/MAG+는/JX
먼	멀/VA+ㄴ/ETM
길을	길/NNG+을/JKO
빠른	빠르/VA+ㄴ/ETM
속도로	속도/NNG+로/JKB
이동한	이동/NNG+하/XSV+ㄴ/ETM
끝에	끝/NNG+에/JKB
소비자에게	소비자/NNG+에게/JKB
도달된다.	도달/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.345.3.4
디지털 상품들이 오가는 ‘도로’는 심해에 구축된 해저케이블이다.

디지털	디지털/NNG
상품들이	상품/NNG+들/XSN+이/JKS
오가는	오가/VV+는/ETM
‘도로’는	‘/SS+도로/NNG+’/SS+는/JX
심해에	심해/NNG+에/JKB
구축된	구축/NNG+되/XSV+ㄴ/ETM
해저케이블이다.	해저/NNG+케이블/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.345.4.1
동아시아 지역에 1만 km의 ‘고속도로’가 새롭게 뚫려 국제 인터넷 속도가 훨씬 빨라진다.

동아시아	동아시아/NNP
지역에	지역/NNG+에/JKB
1만	1/SN+만/NR
km의	km/SW+의/JKG
‘고속도로’가	‘/SS+고속/NNG+도로/NNG+’/SS+가/JKS
새롭게	새롭/VA+게/EC
뚫려	뚫리/VV+어/EC
국제	국제/NNG
인터넷	인터넷/NNG
속도가	속도/NNG+가/JKS
훨씬	훨씬/MAG
빨라진다.	빠르/VA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.345.4.2
KT는 자사를 포함한 9개국 13개 통신사가 공동 구축한 ‘APG(Asia Pacific Gateway) 해저 광케이블’이 2015년 초 개통된다고 2일 밝혔다.

KT는	KT/SL+는/JX
자사를	자사/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
9개국	9/SN+개국/NNB
13개	13/SN+개/NNB
통신사가	통신사/NNG+가/JKS
공동	공동/NNG
구축한	구축/NNG+하/XSV+ㄴ/ETM
‘APG(Asia	‘/SS+APG/SL+(/SS+Asia/SL
Pacific	Pacific/SL
Gateway)	Gateway/SL+)/SS
해저	해저/NNG
광케이블’이	광케이블/NNG+’/SS+이/JKS
2015년	2015/SN+년/NNB
초	초/NNB
개통된다고	개통/NNG+되/XSV+ㄴ다고/EC
2일	2/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.345.4.3
개통에 앞서 APG 해저케이블의 관리와 운용을 맡는 종합관제센터(NOC)는 이달 부산에서 문을 열고 본격적인 운영 준비에 들어간다.

개통에	개통/NNG+에/JKB
앞서	앞서/VV+어/EC
APG	APG/SL
해저케이블의	해저/NNG+케이블/NNG+의/JKG
관리와	관리/NNG+와/JC
