# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.409
metadata : {}


# id : NWRW1800000040.409.1.1
“북, 추가 핵실험 가능성…핵탄두 소형화 달성 못해”

“북,	“/SS+북/NNP+,/SP
추가	추가/NNG
핵실험	핵/NNG+실험/NNG
가능성…핵탄두	가능/NNG+성/XSN+…/SE+핵탄두/NNG
소형화	소형/NNG+화/XSN
달성	달성/NNG
못해”	못/MAG+하/VV+아/EF+”/SS


# id : NWRW1800000040.409.2.1
리빈 칭화대 교수 주장

리빈	리빈/NNP
칭화대	칭화대/NNP
교수	교수/NNG
주장	주장/NNG


# id : NWRW1800000040.409.3.1
북 ‘소형화 주장’과 달라

북	북/NNG
‘소형화	‘/SS+소형/NNG+화/XSN
주장’과	주장/NNG+’/SS+과/JC
달라	다르/VA+아/EF


# id : NWRW1800000040.409.4.1
중국의 핵 전문가가 25일 “북한이 핵탄두 소형화를 위해 적어도 한 차례 이상 추가 핵실험을 할 가능성이 있다”고 주장했다.

중국의	중국/NNP+의/JKG
핵	핵/NNG
전문가가	전문가/NNG+가/JKS
25일	25/SN+일/NNB
“북한이	“/SS+북한/NNP+이/JKS
핵탄두	핵탄두/NNG
소형화를	소형/NNG+화/XSN+를/JKO
위해	위하/VV+아/EC
적어도	적어도/MAG
한	한/MMN
차례	차례/NNG
이상	이상/NNG
추가	추가/NNG
핵실험을	핵/NNG+실험/NNG+을/JKO
할	하/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.409.5.1
물리학자 겸 핵통제 전문가인 리빈 중국 칭화대 교수는 이날 아산정책연구원이 주최한 국제학술회의 ‘제1회 아산 북한회의’에서 “북한이 핵탄두 소형화는 아직 달성하지 못했지만 2차, 3차 핵실험을 거치면서 관련 기술은 상당히 발전시켰을 것”이라며 이렇게 말했다.

물리학자	물리학자/NNG
겸	겸/NNB
핵통제	핵/NNG+통제/NNG
전문가인	전문가/NNG+이/VCP+ㄴ/ETM
리빈	리빈/NNP
중국	중국/NNP
칭화대	칭화대/NNP
교수는	교수/NNG+는/JX
이날	이날/NNG
아산정책연구원이	아산정책연구원/NNP+이/JKS
주최한	주최/NNG+하/XSV+ㄴ/ETM
국제학술회의	국제/NNG+학술회의/NNG
‘제1회	‘/SS+제/XPN+1/SN+회/NNB
아산	아산/NNP
북한회의’에서	북한/NNP+회의/NNG+’/SS+에서/JKB
“북한이	“/SS+북한/NNP+이/JKS
핵탄두	핵탄두/NNG
소형화는	소형/NNG+화/XSN+는/JX
아직	아직/MAG
달성하지	달성/NNG+하/XSV+지/EC
못했지만	못하/VX+았/EP+지만/EC
2차,	2/SN+차/NNB+,/SP
3차	3/SN+차/NNB
핵실험을	핵/NNG+실험/NNG+을/JKO
거치면서	거치/VV+면서/EC
관련	관련/NNG
기술은	기술/NNG+은/JX
상당히	상당히/MAG
발전시켰을	발전/NNG+시키/XSV+었/EP+을/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.409.6.1
이런 평가는 올해 2월 3차 핵실험 뒤 “핵무기의 소형화, 경량화, 다종화를 달성했다”고 주장해온 북한의 입장과 다른 것이다.

이런	이런/MMD
평가는	평가/NNG+는/JX
올해	올해/NNG
2월	2/SN+월/NNB
3차	3/SN+차/NNB
핵실험	핵/NNG+실험/NNG
뒤	뒤/NNG
“핵무기의	“/SS+핵무기/NNG+의/JKG
소형화,	소형/NNG+화/XSN+,/SP
경량화,	경량/NNG+화/XSN+,/SP
다종화를	다종/NNG+화/XSN+를/JKO
달성했다”고	달성/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
주장해온	주장/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
북한의	북한/NNP+의/JKG
입장과	입장/NNG+과/JKB
다른	다르/VA+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.409.6.2
핵탄두의 소형화, 경량화는 핵을 미사일에 탑재하기 위해 필수적인 기술이다.

핵탄두의	핵탄두/NNG+의/JKG
소형화,	소형/NNG+화/XSN+,/SP
경량화는	경량/NNG+화/XSN+는/JX
핵을	핵/NNG+을/JKO
미사일에	미사일/NNG+에/JKB
탑재하기	탑재/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
필수적인	필수/NNG+적/XSN+이/VCP+ㄴ/ETM
기술이다.	기술/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.409.6.3
통상 핵탄두의 무게를 1t 이하로 줄여 소형화에 성공할 경우 핵무기를 탄도미사일의 사거리 범위까지 날려보낼 수 있기 때문에, 핵탄두 소형화는 군사 전략적 의미가 크다.

통상	통상/NNG
핵탄두의	핵탄두/NNG+의/JKG
무게를	무게/NNG+를/JKO
1t	1/SN+t/SW
이하로	이하/NNG+로/JKB
줄여	줄이/VV+어/EC
소형화에	소형/NNG+화/XSN+에/JKB
성공할	성공/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
핵무기를	핵무기/NNG+를/JKO
탄도미사일의	탄도/NNG+미사일/NNG+의/JKG
사거리	사거리/NNG
범위까지	범위/NNG+까지/JX
날려보낼	날리/VV+어/EC+보내/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
핵탄두	핵탄두/NNG
소형화는	소형/NNG+화/XSN+는/JX
군사	군사/NNG
전략적	전략/NNG+적/XSN
의미가	의미/NNG+가/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000040.409.7.1
리빈 교수는 “북한은 국제사회의 여건상 여러 차례 핵실험을 하기 어렵다고 보고 처음부터 소형 핵탄두 기폭 장치를 이용해 실험했으나 성공하지 못한 것으로 보인다”며 “첫 실험에서 정상 위력을 얻지 못해 2차, 3차 핵실험에서는 기폭 장치를 더 크게 만들어 위력을 키웠고 그래서 핵탄두도 커진 것 같다”고 분석했다.

리빈	리빈/NNP
교수는	교수/NNG+는/JX
“북한은	“/SS+북한/NNP+은/JX
국제사회의	국제/NNG+사회/NNG+의/JKG
여건상	여건/NNG+상/XSN
여러	여러/MMN
차례	차례/NNG
핵실험을	핵/NNG+실험/NNG+을/JKO
하기	하/VV+기/ETN
어렵다고	어렵/VA+다고/EC
보고	보/VV+고/EC
처음부터	처음/NNG+부터/JX
소형	소형/NNG
핵탄두	핵탄두/NNG
기폭	기폭/NNG
장치를	장치/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
실험했으나	실험/NNG+하/XSV+았/EP+으나/EC
성공하지	성공/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”며	보이/VV+ㄴ다/EF+”/SS+며/EC
“첫	“/SS+첫/MMN
실험에서	실험/NNG+에서/JKB
정상	정상/NNG
위력을	위력/NNG+을/JKO
얻지	얻/VV+지/EC
못해	못하/VX+아/EC
2차,	2/SN+차/NNB+,/SP
3차	3/SN+차/NNB
핵실험에서는	핵/NNG+실험/NNG+에서/JKB+는/JX
더	더/MAG
크게	크/VA+게/EC
만들어	만들/VV+어/EC
키웠고	키우/VV+었/EP+고/EC
그래서	그래서/MAJ
핵탄두도	핵탄두/NNG+도/JX
커진	커지/VV+ㄴ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.409.7.2
그는 “통상 핵 보유국들은 핵실험을 거듭하면서 기폭 장치의 크기를 줄이며 소형화하는데 북한은 이와 반대되는 전략을 택한 것 같다”고 말했다.

그는	그/NP+는/JX
“통상	“/SS+통상/MAG
핵	핵/NNG
보유국들은	보유국/NNG+들/XSN+은/JX
핵실험을	핵/NNG+실험/NNG+을/JKO
거듭하면서	거듭/MAG+하/XSV+면서/EC
기폭	기폭/NNG
장치의	장치/NNG+의/JKG
크기를	크기/NNG+를/JKO
줄이며	줄이/VV+며/EC
소형화하는데	소형/NNG+화/XSN+하/XSV+는데/EC
북한은	북한/NNP+은/JX
이와	이/NP+와/JKB
반대되는	반대/NNG+되/XSV+는/ETM
전략을	전략/NNG+을/JKO
택한	택하/VV+ㄴ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.409.8.1
리빈 교수는 “우라늄의 경우 플루토늄보다 임계 질량이 크기 때문에 소형화에 어려움이 있다”며 “따라서 북한은 3차 핵실험에서 소형화에 유리한 플루토늄을 사용한 것 같으며 앞으로 소형화를 달성하기 위해 플루토늄을 이용한 핵실험을 적어도 한차례 이상 할 것으로 생각한다”고 말했다.

리빈	리빈/NNP
교수는	교수/NNG+는/JX
“우라늄의	“/SS+우라늄/NNG+의/JKG
경우	경우/NNG
플루토늄보다	플루토늄/NNG+보다/JKB
임계	임계/NNG
질량이	질량/NNG+이/JKS
크기	크/VA+기/ETN
때문에	때문/NNB+에/JKB
소형화에	소형/NNG+화/XSN+에/JKB
어려움이	어려움/NNG+이/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“따라서	“/SS+따라서/MAJ
북한은	북한/NNP+은/JX
3차	3/SN+차/NNB
핵실험에서	핵/NNG+실험/NNG+에서/JKB
유리한	유리/NNG+하/XSA+ㄴ/ETM
