# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.381
metadata : {}


# id : NWRW1800000046.381.1.1
의원들의 브레이크 없는 '수퍼甲 횡포'

의원들의	의원/NNG+들/XSN+의/JKG
브레이크	브레이크/NNG
없는	없/VA+는/ETM
'수퍼甲	'/SS+수퍼/NNG+甲/SH
횡포'	횡포/NNG+'/SS


# id : NWRW1800000046.381.2.1
"국회의 솜방망이 징계도 원인… 윤리委 외부인력 강화해야"

"국회의	"/SS+국회/NNG+의/JKG
솜방망이	솜방망이/NNG
징계도	징계/NNG+도/JX
원인…	원인/NNG+…/SE
윤리委	윤리/NNG+委/SH
외부인력	외부/NNG+인력/NNG
강화해야"	강화/NNG+하/XSV+아야/EC+"/SS


# id : NWRW1800000046.381.3.1
새정치민주연합 윤후덕 의원의 자녀 취업 청탁 의혹을 계기로 기업과 공공 기관, 지방자치단체 등을 상대로 한 국회의원들의 '수퍼 갑(甲)질' 논란이 다시 커지고 있다.

새정치민주연합	새정치민주연합/NNP
윤후덕	윤후덕/NNP
의원의	의원/NNG+의/JKG
자녀	자녀/NNG
취업	취업/NNG
청탁	청탁/NNG
의혹을	의혹/NNG+을/JKO
계기로	계기/NNG+로/JKB
기업과	기업/NNG+과/JC
공공	공공/NNG
기관,	기관/NNG+,/SP
지방자치단체	지방/NNG+자치/NNG+단체/NNG
등을	등/NNB+을/JKO
상대로	상대/NNG+로/JKB
한	하/VV+ㄴ/ETM
국회의원들의	국회/NNG+의원/NNG+들/XSN+의/JKG
'수퍼	'/SS+수퍼/NNG
갑(甲)질'	갑/NNG+(/SS+甲/SH+)/SS+질/XSN+'/SS
논란이	논란/NNG+이/JKS
다시	다시/MAG
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.381.3.2
최근 무소속 심학봉 의원의 성폭행 논란, 무소속 박기춘 의원의 뇌물 수수 등 각종 비위 사건이 드러났지만 이는 '빙산의 일각'일 뿐이라는 지적이다.

최근	최근/NNG
무소속	무/XPN+소속/NNG
심학봉	심학봉/NNP
의원의	의원/NNG+의/JKG
성폭행	성폭행/NNG
논란,	논란/NNG+,/SP
박기춘	박기춘/NNP
뇌물	뇌물/NNG
수수	수수/NNG
등	등/NNB
각종	각종/NNG
비위	비위/NNG
사건이	사건/NNG+이/JKS
드러났지만	드러나/VV+았/EP+지만/EC
이는	이/NP+는/JX
'빙산의	'/SS+빙산/NNG+의/JKG
일각'일	일각/NNG+'/SS+이/VCP+ㄹ/ETM
뿐이라는	뿐/NNB+이/VCP+라는/ETM
지적이다.	지적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.381.4.1
수도권에 공장을 둔 A사 관계자는 올해 초 한 국회의원으로부터 "지역구에 있는 경로당 보일러가 낡았는데 새것으로 바꿔달라"는 전화를 받았다.

수도권에	수도/NNG+권/XSN+에/JKB
공장을	공장/NNG+을/JKO
둔	두/VV+ㄴ/ETM
A사	A/SL+사/NNG
관계자는	관계자/NNG+는/JX
올해	올해/NNG
초	초/NNB
한	한/MMN
국회의원으로부터	국회/NNG+의원/NNG+으로부터/JKB
"지역구에	"/SS+지역구/NNG+에/JKB
있는	있/VA+는/ETM
경로당	경로당/NNG
보일러가	보일러/NNG+가/JKS
낡았는데	낡/VV+았/EP+는데/EC
새것으로	새것/NNG+으로/JKB
바꿔달라"는	바꾸/VV+어/EC+달/VX+라/EF+"/SS+는/ETM
전화를	전화/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.381.4.2
해당 의원은 공장 관련 규제를 담당하는 국회 상임위 소속이다.

