# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.27
metadata : {}


# id : NWRW1800000032.27.1.1
3가구 중 1가구, 이자부담 연 85만원 늘었다

3가구	3/SN+가구/NNG
중	중/NNB
1가구,	1/SN+가구/NNG+,/SP
이자부담	이자/NNG+부담/NNG
연	연/NNG
85만원	85/SN+만/NR+원/NNB
늘었다	늘/VV+었/EP+다/EF


# id : NWRW1800000032.27.2.1
1년새 기준금리 1.25%p↑…순금융부채 가구 부담↑저소득층·자영업자 등 가처분소득 감소 타격 더 커

1년새	1/SN+년/NNB+새/NNG
기준금리	기준/NNG+금리/NNG
1.25%p↑…순금융부채	1/SN+./SP+25/SN+%p/SW+↑/SW+…/SE+순금융/NNG+부채/NNG
가구	가구/NNG
부담↑저소득층·자영업자	부담/NNG+↑/SW+저/XPN+소득/NNG+층/XSN+·/SP+자영업자/NNG
등	등/NNB
가처분소득	가/XPN+처분/NNG+소득/NNG
감소	감소/NNG
타격	타격/NNG
더	더/MAG
커	크/VA+어/EF


# id : NWRW1800000032.27.3.1
대기업에 다니는 정아무개(40)씨는 지난 10일 한국은행이 기준금리를 0.25%포인트 또 올렸다는 소식에 가슴이 답답해졌다.

대기업에	대/XPN+기업/NNG+에/JKB
다니는	다니/VV+는/ETM
정아무개(40)씨는	정/NNP+아무개/NP+(/SS+40/SN+)/SS+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
10일	10/SN+일/NNB
한국은행이	한국은행/NNP+이/JKS
기준금리를	기준/NNG+금리/NNG+를/JKO
0.25%포인트	0/SN+./SP+25/SN+%/SW+포인트/NNG
또	또/MAG
올렸다는	올리/VV+었/EP+다는/ETM
소식에	소식/NNG+에/JKB
가슴이	가슴/NNG+이/JKS
답답해졌다.	답답하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000032.27.3.2
이자가 또 늘어나게 되는 탓이다.

이자가	이자/NNG+가/JKS
또	또/MAG
늘어나게	늘어나/VV+게/EC
되는	되/VV+는/ETM
탓이다.	탓/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.27.4.1
정씨는 지난해 초 새 아파트에 입주하면서 은행에서 담보대출로 2억7000만원을 빌렸다.

정씨는	정/NNP+씨/NNB+는/JX
지난해	지난해/NNG
초	초/NNB
새	새/MMA
아파트에	아파트/NNG+에/JKB
입주하면서	입주/NNG+하/XSV+면서/EC
은행에서	은행/NNG+에서/JKB
담보대출로	담보/NNG+대출/NNG+로/JKB
2억7000만원을	2/SN+억/NR+7000/SN+만/NR+원/NNB+을/JKO
빌렸다.	빌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.27.4.2
당시 금리는 4.3% 수준이었지만 기준금리가 오르면서 올 초엔 은행 대출금리도 4.8%로 뛰었다.

당시	당시/NNG
금리는	금리/NNG+는/JX
4.3%	4/SN+./SP+3/SN+%/SW
수준이었지만	수준/NNG+이/VCP+었/EP+지만/EC
기준금리가	기준/NNG+금리/NNG+가/JKS
오르면서	오르/VV+면서/EC
올	올/NNG
초엔	초/NNB+에/JKB+ㄴ/JX
은행	은행/NNG
대출금리도	대출/NNG+금리/NNG+도/JX
