# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.345
metadata : {}


# id : NWRW1800000052.345.1.1
“일반적 군투입과는 달라 긴급사태 신속 대응 필요”…‘대테러특공대 민간투입’ 정부해명도 아리송

“일반적	“/SS+일반/NNG+적/XSN
군투입과는	군/NNG+투입/NNG+과/JKB+는/JX
달라	다르/VA+아/EC
긴급사태	긴급/NNG+사태/NNG
신속	신속/NNG
대응	대응/NNG
필요”…‘대테러특공대	필요/NNG+”/SS+…/SE+‘/SS+대테러/NNG+특공대/NNG
민간투입’	민간/NNG+투입/NNG+’/SS
정부해명도	정부/NNG+해명/NNG+도/JX
아리송	아리송/XR


# id : NWRW1800000052.345.2.1
‘테러방지법 시행령’ 논란

‘테러방지법	‘/SS+테러/NNG+방지법/NNG
시행령’	시행령/NNG+’/SS
논란	논란/NNG


# id : NWRW1800000052.345.3.1
국무조정실, 위헌소지 비판에 대응

국무조정실,	국무/NNG+조정실/NNG+,/SP
위헌소지	위헌/NNG+소지/NNG
비판에	비판/NNG+에/JKB
대응	대응/NNG


# id : NWRW1800000052.345.4.1
“대책본부장 지휘는 다층 통제장치”

“대책본부장	“/SS+대책/NNG+본부장/NNG
지휘는	지휘/NNG+는/JX
다층	다층/NNG
통제장치”	통제/NNG+장치/NNG+”/SS


# id : NWRW1800000052.345.5.1
인권보호관 권한엔 “논의 필요”

인권보호관	인권/NNG+보호관/NNG
권한엔	권한/NNG+에/JKB+ㄴ/JX
“논의	“/SS+논의/NNG
필요”	필요/NNG+”/SS


# id : NWRW1800000052.345.6.1
시민단체 “계엄 군투입과 뭐 다르냐”

시민단체	시민/NNG+단체/NNG
“계엄	“/SS+계엄/NNG
군투입과	군/NNG+투입/NNG+과/JKB
뭐	뭐/NP
다르냐”	다르/VA+냐/EF+”/SS


# id : NWRW1800000052.345.7.1
“입법·사법부서 견제할 조항도 없어”

“입법·사법부서	“/SS+입법/NNG+·/SP+사법부/NNG+서/JKB
견제할	견제/NNG+하/XSV+ㄹ/ETM
조항도	조항/NNG+도/JX
없어”	없/VA+어/EF+”/SS


# id : NWRW1800000052.345.8.1
정부가 테러방지법 시행령 속에 계엄 시에나 가능한 ‘군 병력의 민간시설 투입’ 등 위헌적 내용을 끼워넣기 했다는 비판(<한겨레> 4월18일치 12면)에 대해 적극 해명에 나섰다.

정부가	정부/NNG+가/JKS
테러방지법	테러/NNG+방지법/NNG
시행령	시행령/NNG
속에	속/NNG+에/JKB
계엄	계엄/NNG
시에나	시/NNB+에/JKB+나/JX
가능한	가능/NNG+하/XSA+ㄴ/ETM
‘군	‘/SS+군/NNG
병력의	병력/NNG+의/JKG
민간시설	민간/NNG+시설/NNG
투입’	투입/NNG+’/SS
등	등/NNB
위헌적	위헌/NNG+적/XSN
내용을	내용/NNG+을/JKO
끼워넣기	끼우/VV+어/EC+넣/VV+기/ETN
했다는	하/VX+았/EP+다는/ETM
비판(<한겨레>	비판/NNG+(/SS+</SS+한겨레/NNP+>/SS
4월18일치	4/SN+월/NNB+18/SN+일/NNB+치/NNB
12면)에	12/SN+면/NNG+)/SS+에/JKB
대해	대하/VV+아/EC
적극	적극/NNG
해명에	해명/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.345.8.2
하지만 “국방부 소속 대테러특공대 투입은 일반적인 군 투입과 성격이 다르다”거나 “대규모 테러 발생 시 골든타임 이내에 신속한 대응을 위해 불가피한 조처”라는 답변을 내놓아 비판의 핵심을 비켜갔다는 지적을 받고 있다.

하지만	하지만/MAJ
“국방부	“/SS+국방부/NNG
소속	소속/NNG
대테러특공대	대테러/NNG+특공대/NNG
투입은	투입/NNG+은/JX
