# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.149
metadata : {}


# id : NWRW1800000022.149.1.1
수입화장품, 수입원가의 3~6배 폭리

수입화장품,	수입/NNG+화장품/NNG+,/SP
수입원가의	수입/NNG+원가/NNG+의/JKG
3~6배	3/SN+~/SO+6/SN+배/NNG
폭리	폭리/NNG


# id : NWRW1800000022.149.2.1
유명 수입 화장품들이 국내에서는 수입 원가보다 3~6배 비싼 가격에 팔리고 있는 것으로 드러났다.

유명	유명/NNG
수입	수입/NNG
화장품들이	화장품/NNG+들/XSN+이/JKS
국내에서는	국내/NNG+에서/JKB+는/JX
원가보다	원가/NNG+보다/JKB
3~6배	3/SN+~/SO+6/SN+배/NNG
비싼	비싸/VA+ㄴ/ETM
가격에	가격/NNG+에/JKB
팔리고	팔리/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.149.3.1
22일 식품의약품안전청이 국회 보건복지가족위원회 임두성 의원(한나라당)에게 제출한 '2008년 화장품·향수 표준통관예정보고' 자료에 따르면 수입 화장품이나 향수의 유통가격이 통관가격 대비 최대 6배 높았다.

22일	22/SN+일/NNB
식품의약품안전청이	식품/NNG+의약품/NNG+안전청/NNG+이/JKS
국회	국회/NNG
보건복지가족위원회	보건/NNG+복지/NNG+가족/NNG+위원회/NNG
임두성	임두성/NNP
의원(한나라당)에게	의원/NNG+(/SS+한나라당/NNP+)/SS+에게/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
'2008년	'/SS+2008/SN+년/NNB
화장품·향수	화장품/NNG+·/SP+향수/NNG
표준통관예정보고'	표준/NNG+통관/NNG+예정/NNG+보고/NNG+'/SS
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
수입	수입/NNG
화장품이나	화장품/NNG+이나/JC
향수의	향수/NNG+의/JKG
유통가격이	유통/NNG+가격/NNG+이/JKS
통관가격	통관/NNG+가격/NNG
대비	대비/NNG
최대	최대/NNG
6배	6/SN+배/NNG
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000022.149.4.1
프랑스 화장품 업체 씨슬리의 꽁상트레 에클라는 30mL들이 1개 제품의 수입원가는 10만 8173원이었으나 국내 판매 가격은 41만원까지 뛰었다.

프랑스	프랑스/NNP
화장품	화장품/NNG
업체	업체/NNG
씨슬리의	씨슬리/NNP+의/JKG
꽁상트레	꽁상트레/NNP
에클라는	에클라/NNP+는/JX
30mL들이	30/SN+mL/SW+들이/XSN
1개	1/SN+개/NNB
제품의	제품/NNG+의/JKG
수입원가는	수입/NNG+원가/NNG+는/JX
10만	10/SN+만/NR
8173원이었으나	8173/SN+원/NNB+이/VCP+었/EP+으나/EC
국내	국내/NNG
판매	판매/NNG
가격은	가격/NNG+은/JX
41만원까지	41/SN+만/NR+원/NNB+까지/JX
뛰었다.	뛰/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.149.5.1
또 이탈리아산 '돌체엔가바나 라이트 블루 오 드 트왈렛'(50mL) 향수는 1만3000여원에 수입된 뒤 6배인 7만9000원에 팔리고 있다.

또	또/MAG
이탈리아산	이탈리아/NNP+산/XSN
'돌체엔가바나	'/SS+돌체엔가바나/NNP
라이트	라이트/NNP
블루	블루/NNP
오	오/NNP
드	드/NNP
트왈렛'(50mL)	트왈렛/NNP+'/SS+(/SS+50/SN+mL/SW+)/SS
향수는	향수/NNG+는/JX
1만3000여원에	1/SN+만/NR+3000/SN+여/XSN+원/NNB+에/JKB
수입된	수입/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
6배인	6/SN+배/NNG+이/VCP+ㄴ/ETM
7만9000원에	7/SN+만/NR+9000/SN+원/NNB+에/JKB
팔리고	팔리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.149.6.1
한편 최근 경제가 위기를 겪고 있는 가운데서도 화장품 수입은 늘고 있는 것으로 파악됐다.

한편	한편/MAG
최근	최근/MAG
경제가	경제/NNG+가/JKS
위기를	위기/NNG+를/JKO
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
가운데서도	가운데/NNG+서/JKB+도/JX
화장품	화장품/NNG
수입은	수입/NNG+은/JX
늘고	늘/VV+고/EC
것으로	것/NNB+으로/JKB
파악됐다.	파악/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.149.6.2
화장품 수입실적은 2006년 3억400만달러에서 지난해 7억1900만달러로 3년만에 두배 이상 늘었다.

화장품	화장품/NNG
수입실적은	수입/NNG+실적/NNG+은/JX
2006년	2006/SN+년/NNB
3억400만달러에서	3/SN+억/NR+400/SN+만/NR+달러/NNB+에서/JKB
지난해	지난해/NNG
7억1900만달러로	7/SN+억/NR+1900/SN+만/NR+달러/NNB+로/JKB
3년만에	3/SN+년/NNB+만/NNB+에/JKB
두배	두/MMN+배/NNG
이상	이상/NNG
늘었다.	늘/VV+었/EP+다/EF+./SF


