# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.320
metadata : {}


# id : NWRW1800000046.320.1.1
韓·美연합훈련 첫날 탄도미사일 2발 쏜 北

韓·美연합훈련	韓/SH+·/SP+美/SH+연합/NNG+훈련/NNG
첫날	첫날/NNG
탄도미사일	탄도/NNG+미사일/NNG
2발	2/SN+발/NNB
쏜	쏘/VV+ㄴ/ETM
北	北/SH


# id : NWRW1800000046.320.2.1
어제 동해상으로 기습 발사

어제	어제/MAG
동해상으로	동해/NNP+상/XSN+으로/JKB
기습	기습/NNG
발사	발사/NNG


# id : NWRW1800000046.320.3.1
연례적인 한·미 연합 키 리졸브(KR) 및 독수리(FE) 연습이 시작된 2일 오전 북한이 스커드 계열로 추정되는 단거리 탄도미사일 2발을 동해상으로 기습 발사했다.

연례적인	연례/NNG+적/XSN+이/VCP+ㄴ/ETM
한·미	한·미/NNP
연합	연합/NNG
키	키/NNG
리졸브(KR)	리졸브/NNG+(/SS+KR/SL+)/SS
및	및/MAG
독수리(FE)	독수리/NNG+(/SS+FE/SL+)/SS
연습이	연습/NNG+이/JKS
시작된	시작/NNG+되/XSV+ㄴ/ETM
2일	2/SN+일/NNB
오전	오전/NNG
북한이	북한/NNP+이/JKS
스커드	스커드/NNG
계열로	계열/NNG+로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
단거리	단거리/NNG
탄도미사일	탄도/NNG+미사일/NNG
2발을	2/SN+발/NNB+을/JKO
동해상으로	동해/NNP+상/XSN+으로/JKB
기습	기습/NNG
발사했다.	발사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.320.4.1
국방부 관계자는 "북한이 2일 새벽 6시 32분부터 6시 41분 사이에 단거리 탄도미사일 2발을 남포 일대에서 동해로 발사했다"며 "사거리는 각각 495㎞, 493㎞였으며 미사일의 최고 속도는 마하 4.3(음속의 4.3배), 최고 고도는 134㎞였다"고 밝혔다.

국방부	국방부/NNG
관계자는	관계자/NNG+는/JX
"북한이	"/SS+북한/NNP+이/JKS
2일	2/SN+일/NNB
새벽	새벽/NNG
6시	6/SN+시/NNB
32분부터	32/SN+분/NNB+부터/JX
41분	41/SN+분/NNB
사이에	사이/NNG+에/JKB
단거리	단거리/NNG
탄도미사일	탄도/NNG+미사일/NNG
2발을	2/SN+발/NNB+을/JKO
남포	남포/NNP
일대에서	일대/NNG+에서/JKB
동해로	동해/NNP+로/JKB
발사했다"며	발사/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"사거리는	"/SS+사거리/NNG+는/JX
각각	각각/MAG
495㎞,	495/SN+㎞/SW+,/SP
493㎞였으며	493/SN+㎞/SW+이/VCP+었/EP+으며/EC
미사일의	미사일/NNG+의/JKG
