# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.19
metadata : {}


# id : NWRW1800000038.19.1.1
독일·프랑스서도 굶주린 빈민층… 유럽 구호식량, 2차대전 후 최대

독일·프랑스서도	독일/NNP+·/SP+프랑스/NNP+서/JKB+도/JX
굶주린	굶주리/VV+ㄴ/ETM
빈민층…	빈민/NNG+층/XSN+…/SE
유럽	유럽/NNP
구호식량,	구호/NNG+식량/NNG+,/SP
2차대전	2/SN+차/NNB+대전/NNG
후	후/NNG
최대	최대/NNG


# id : NWRW1800000038.19.2.1
스페인서 300여만명에 지급… 유럽, 난방 못하는 인구 8.8%

스페인서	스페인/NNP+서/JKB
300여만명에	300/SN+여/XSN+만/NR+명/NNB+에/JKB
지급…	지급/NNG+…/SE
유럽,	유럽/NNP+,/SP
난방	난방/NNG
못하는	못/MAG+하/VV+는/ETM
인구	인구/NNG
8.8%	8/SN+./SP+8/SN+%/SW


# id : NWRW1800000038.19.3.1
국제구호단체 적십자가 유럽 빈민층에게 지급하는 구호 식량이 2차 세계대전 이후 최대 규모를 기록하고 있다고 영국 일간 인디펜던트가 12일(현지 시각) 보도했다.

국제구호단체	국제/NNG+구호/NNG+단체/NNG
적십자가	적십자/NNP+가/JKS
유럽	유럽/NNP
빈민층에게	빈민/NNG+층/XSN+에게/JKB
지급하는	지급/NNG+하/XSV+는/ETM
구호	구호/NNG
식량이	식량/NNG+이/JKS
2차	2/SN+차/NNB
세계대전	세계/NNG+대전/NNG
이후	이후/NNG
최대	최대/NNG
규모를	규모/NNG+를/JKO
기록하고	기록/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
영국	영국/NNP
일간	일간/NNG
인디펜던트가	인디펜던트/NNP+가/JKS
12일(현지	12/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.19.4.1
인디펜던트는 이브스 다코드 국제적십자위원회(ICRC) 총재가 "유럽 일부 국가의 적십자는 처음으로 해외 구호활동보다 국내 빈민 구제 활동에 더 집중해야 하는 상황에 처했다"고 말했다고 보도했다.

인디펜던트는	인디펜던트/NNP+는/JX
이브스	이브스/NNP
다코드	다코드/NNP
국제적십자위원회(ICRC)	국제적십자위원회/NNP+(/SS+ICRC/SL+)/SS
총재가	총재/NNG+가/JKS
"유럽	"/SS+유럽/NNP
일부	일부/NNG
국가의	국가/NNG+의/JKG
적십자는	적십자/NNP+는/JX
처음으로	처음/NNG+으로/JKB
해외	해외/NNG
구호활동보다	구호/NNG+활동/NNG+보다/JKB
국내	국내/NNG
빈민	빈민/NNG
구제	구제/NNG
활동에	활동/NNG+에/JKB
더	더/MAG
집중해야	집중/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
상황에	상황/NNG+에/JKB
처했다"고	처하/VV+았/EP+다/EF+"/SS+고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.19.4.2
유럽 경제 위기가 장기화하면서 빈민층이 증가해 자선·구호 단체에 손을 벌리는 이들이 갈수록 늘어나고 있다는 것이다.

유럽	유럽/NNP
경제	경제/NNG
위기가	위기/NNG+가/JKS
장기화하면서	장기/NNG+화/XSN+하/XSV+면서/EC
빈민층이	빈민/NNG+층/XSN+이/JKS
증가해	증가/NNG+하/XSV+아/EC
자선·구호	자선/NNG+·/SP+구호/NNG
단체에	단체/NNG+에/JKB
손을	손/NNG+을/JKO
벌리는	벌리/VV+는/ETM
이들이	이/NNB+들/XSN+이/JKS
갈수록	갈수록/MAG
늘어나고	늘어나/VV+고/EC
있다는	있/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.19.5.1
스페인 적십자는 지난해 자국 빈민 300여만명에게 총 3300만㎏의 구호 식량을 지급했다.

스페인	스페인/NNP
적십자는	적십자/NNP+는/JX
지난해	지난해/NNG
자국	자국/NNG
빈민	빈민/NNG
300여만명에게	300/SN+여/XSN+만/NR+명/NNB+에게/JKB
총	총/MMA
3300만㎏의	3300/SN+만/NR+㎏/SW+의/JKG
구호	구호/NNG
식량을	식량/NNG+을/JKO
지급했다.	지급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.19.5.2
스페인 적십자는 지난 10월 처음으로 자국 불우이웃을 위한 국민 모금 운동도 시작했다.

스페인	스페인/NNP
적십자는	적십자/NNP+는/JX
지난	지나/VV+ㄴ/ETM
10월	10/SN+월/NNB
처음으로	처음/NNG+으로/JKB
자국	자국/NNG
