# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.183
metadata : {}


# id : NWRW1800000046.183.1.1
새 둥지 된 48억짜리 기상청 장비

새	새/NNG
둥지	둥지/NNG
된	되/VV+ㄴ/ETM
48억짜리	48/SN+억/NR+짜리/XSN
기상청	기상청/NNG
장비	장비/NNG


# id : NWRW1800000046.183.2.1
3년째 방치… 검찰, 담당 직원 직권남용 혐의로 기소

3년째	3/SN+년/NNB+째/XSN
방치…	방치/NNG+…/SE
검찰,	검찰/NNG+,/SP
담당	담당/NNG
직원	직원/NNG
직권남용	직권/NNG+남용/NNG
혐의로	혐의/NNG+로/JKB
기소	기소/NNG


# id : NWRW1800000046.183.3.1
서울 김포공항과 제주공항에 기상 장비인 '라이다(LIDAR)'가 지난 2013년 봄 설치됐지만 기상청은 고가(高價)의 이 장비를 3년째 놀리고 있다.

서울	서울/NNP
김포공항과	김포공항/NNP+과/JC
제주공항에	제주공항/NNP+에/JKB
기상	기상/NNG
장비인	장비/NNG+이/VCP+ㄴ/ETM
'라이다(LIDAR)'가	'/SS+라이다/NNG+(/SS+LIDAR/SL+)/SS+'/SS+가/JKS
지난	지나/VV+ㄴ/ETM
2013년	2013/SN+년/NNB
봄	봄/NNG
설치됐지만	설치/NNG+되/XSV+었/EP+지만/EC
기상청은	기상청/NNG+은/JX
고가(高價)의	고가/NNG+(/SS+高價/SH+)/SS+의/JKG
이	이/MMD
장비를	장비/NNG+를/JKO
3년째	3/SN+년/NNB+째/XSN
놀리고	놀리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.183.3.2
라이다는 공항 활주로 등지에서 갑자기 부는 돌풍을 탐지해 항공기의 안전한 이착륙을 돕는 장비다.

라이다는	라이다/NNG+는/JX
공항	공항/NNG
활주로	활주로/NNG
등지에서	등지/NNB+에서/JKB
갑자기	갑자기/MAG
부는	불/VV+는/ETM
돌풍을	돌풍/NNG+을/JKO
탐지해	탐지/NNG+하/XSV+아/EC
항공기의	항공기/NNG+의/JKG
안전한	안전/NNG+하/XSA+ㄴ/ETM
이착륙을	이착륙/NNG+을/JKO
돕는	돕/VV+는/ETM
장비다.	장비/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.183.3.3
기상청은 민간 기상 업체인 K사로부터 48억원을 주고 이 장비를 샀으면서도 "성능이 미흡하다"는 이유로 인수를 거부하며 방치했다.

기상청은	기상청/NNG+은/JX
민간	민간/NNG
기상	기상/NNG
업체인	업체/NNG+이/VCP+ㄴ/ETM
K사로부터	K/SL+사/NNG+로부터/JKB
48억원을	48/SN+억/NR+원/NNB+을/JKO
주고	주/VV+고/EC
이	이/MMD
장비를	장비/NNG+를/JKO
샀으면서도	사/VV+았/EP+으면서/EC+도/JX
"성능이	"/SS+성능/NNG+이/JKS
미흡하다"는	미흡/NNG+하/XSA+다/EF+"/SS+는/ETM
이유로	이유/NNG+로/JKB
인수를	인수/NNG+를/JKO
거부하며	거부/NNG+하/XSV+며/EC
방치했다.	방치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.183.3.4
그 바람에 새가 이 장비 케이스에 둥지를 틀기까지 했다.

그	그/MMD
바람에	바람/NNB+에/JKB
새가	새/NNG+가/JKS
이	이/MMD
장비	장비/NNG
케이스에	케이스/NNG+에/JKB
둥지를	둥지/NNG+를/JKO
틀기까지	틀/VV+기/ETN+까지/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.183.3.5
이런 상황이 벌어진 것은 기상청 직원들의 불법 행위 때문이라는 검찰 수사 결과가 나왔다.

이런	이런/MMD
상황이	상황/NNG+이/JKS
벌어진	벌어지/VV+ㄴ/ETM
것은	것/NNB+은/JX
기상청	기상청/NNG
직원들의	직원/NNG+들/XSN+의/JKG
불법	불법/NNG
행위	행위/NNG
때문이라는	때문/NNB+이/VCP+라는/ETM
검찰	검찰/NNG
수사	수사/NNG
결과가	결과/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.183.4.1
서울중앙지검 형사4부는 기상청 Y과장과 기상청 산하기관인 한국기상산업기술원의 P 전 팀장을 각각 직권남용과 입찰 방해 혐의로 불구속 기소했다고 18일 밝혔다.

서울중앙지검	서울중앙지검/NNP
형사4부는	형사/NNG+4/SN+부/NNG+는/JX
기상청	기상청/NNG
Y과장과	Y/SL+과장/NNG+과/JC
산하기관인	산하/NNG+기관/NNG+이/VCP+ㄴ/ETM
한국기상산업기술원의	한국기상산업기술원/NNP+의/JKG
P	P/SL
전	전/MMD
팀장을	팀장/NNG+을/JKO
각각	각각/MAG
직권남용과	직권/NNG+남용/NNG+과/JC
입찰	입찰/NNG
방해	방해/NNG
혐의로	혐의/NNG+로/JKB
불구속	불/XPN+구속/NNG
