# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.373
metadata : {}


# id : NWRW1800000054.373.1.1
文, 대통합 정부 만들겠다는데… 어디까지 껴안을까

文,	文/SH+,/SP
대통합	대/XPN+통합/NNG
정부	정부/NNG
만들겠다는데…	만들/VV+겠/EP+다는데/EC+…/SE
어디까지	어디/NP+까지/JX
껴안을까	껴안/VV+을까/EF


# id : NWRW1800000054.373.2.1
통합정부 구상 밝혀 "합리적 진보·개혁적 보수 세력, 최고 인재 모아 드림팀 만들 것… 국민추천제 통해 장관 발탁도"

통합정부	통합/NNG+정부/NNG
구상	구상/NNG
밝혀	밝히/VV+어/EF
"합리적	"/SS+합리/NNG+적/XSN
진보·개혁적	진보/NNG+·/SP+개혁/NNG+적/XSN
보수	보수/NNG
세력,	세력/NNG+,/SP
최고	최고/NNG
인재	인재/NNG
모아	모으/VV+아/EC
드림팀	드림팀/NNG
만들	만들/VV+ㄹ/ETM
것…	것/NNB+…/SE
국민추천제	국민/NNG+추천/NNG+제/XSN
통해	통하/VV+아/EC
장관	장관/NNG
발탁도"	발탁/NNG+도/JX+"/SS


# id : NWRW1800000054.373.3.1
문재인 민주당 후보는 4일 "대통합 정부 약속을 지키겠다. 확고한 개혁을 위해서 국민 통합을 완성하겠다"며 '통합 정부' 구상을 밝혔다.

문재인	문재인/NNP
민주당	민주당/NNP
후보는	후보/NNG+는/JX
4일	4/SN+일/NNB
"대통합	"/SS+대/XPN+통합/NNG
정부	정부/NNG
약속을	약속/NNG+을/JKO
지키겠다.	지키/VV+겠/EP+다/EF+./SF
확고한	확고하/VA+ㄴ/ETM
개혁을	개혁/NNG+을/JKO
위해서	위하/VV+아서/EC
국민	국민/NNG
통합을	통합/NNG+을/JKO
완성하겠다"며	완성/NNG+하/XSV+겠/EP+다/EF+"/SS+며/EC
'통합	'/SS+통합/NNG
정부'	정부/NNG+'/SS
구상을	구상/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.373.3.2
문 후보 측은 "협치를 위해 개혁에 동조하는 세력이라면 진영을 넘어 함께하겠다는 뜻"이라고 했다.

문	문/NNP
후보	후보/NNG
측은	측/NNB+은/JX
"협치를	"/SS+협치/NNG+를/JKO
위해	위하/VV+아/EC
개혁에	개혁/NNG+에/JKB
동조하는	동조/NNG+하/XSV+는/ETM
세력이라면	세력/NNG+이/VCP+라면/EC
진영을	진영/NNG+을/JKO
넘어	넘/VV+어/EC
함께하겠다는	함께/MAG+하/XSV+겠/EP+다는/ETM
뜻"이라고	뜻/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.373.3.3
그러나 실제로는 핵심 지지층의 반발, 넘쳐나는 캠프 내 인사들에 비해 한정된 자리 등의 이유로 개방 폭은 호남 등 국민의당 일부 인사로 제한될 것이라는 회의론도 있다.

그러나	그러나/MAJ
실제로는	실제로/MAG+는/JX
핵심	핵심/NNG
지지층의	지지/NNG+층/XSN+의/JKG
반발,	반발/NNG+,/SP
넘쳐나는	넘치/VV+어/EC+나/VX+는/ETM
캠프	캠프/NNG
내	내/NNB
인사들에	인사/NNG+들/XSN+에/JKB
비해	비/NNG+하/XSV+아/EC
한정된	한정/NNG+되/XSV+ㄴ/ETM
자리	자리/NNG
등의	등/NNB+의/JKG
이유로	이유/NNG+로/JKB
개방	개방/NNG
폭은	폭/NNG+은/JX
호남	호남/NNP
등	등/NNB
국민의당	국민의당/NNP
일부	일부/NNG
인사로	인사/NNG+로/JKB
제한될	제한/NNG+되/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
회의론도	회의/NNG+론/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.373.4.1
문 후보는 이날 경기도 고양시 유세에서 선대위 통합정부추진위원회 한승헌 자문단장으로부터 '성공적인 통합 정부를 위한 제안서'를 전달받았다.

문	문/NNP
후보는	후보/NNG+는/JX
이날	이날/NNG
경기도	경기도/NNP
고양시	고양시/NNP
유세에서	유세/NNG+에서/JKB
선대위	선대위/NNG
통합정부추진위원회	통합/NNG+정부/NNG+추진/NNG+위원회/NNG
한승헌	한승헌/NNP
자문단장으로부터	자문단장/NNG+으로부터/JKB
'성공적인	'/SS+성공/NNG+적/XSN+이/VCP+ㄴ/ETM
통합	통합/NNG
정부를	정부/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
제안서'를	제안서/NNG+'/SS+를/JKO
전달받았다.	전달/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.373.4.2
문 후보는 전날 50여쪽의 인쇄본을 읽어본 뒤 "정의의 가치를 공동으로 구현할 수 있는 인사, 개혁적 보수와 합리적 진보 진영과는 모두 함께하겠다"고 말한 것으로 알려졌다.

문	문/NNP
후보는	후보/NNG+는/JX
전날	전날/NNG
50여쪽의	50/SN+여/XSN+쪽/NNG+의/JKG
인쇄본을	인쇄본/NNG+을/JKO
읽어본	읽/VV+어/EC+보/VX+ㄴ/ETM
뒤	뒤/NNG
"정의의	"/SS+정의/NNG+의/JKG
가치를	가치/NNG+를/JKO
공동으로	공동/NNG+으로/JKB
구현할	구현/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
인사,	인사/NNG+,/SP
개혁적	개혁/NNG+적/XSN
보수와	보수/NNG+와/JC
합리적	합리/NNG+적/XSN
진보	진보/NNG
진영과는	진영/NNG+과/JKB+는/JX
모두	모두/MAG
함께하겠다"고	함께/MAG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.373.4.3
문 후보 측 관계자는 "문 후보는 청와대는 개혁성을 중심으로 구성하겠지만 내각은 대통합 탕평 인사를 하겠다는 의지가 강하다"고 했다.

문	문/NNP
후보	후보/NNG
측	측/NNB
관계자는	관계자/NNG+는/JX
"문	"/SS+문/NNP
후보는	후보/NNG+는/JX
청와대는	청와대/NNP+는/JX
개혁성을	개혁/NNG+성/XSN+을/JKO
중심으로	중심/NNG+으로/JKB
구성하겠지만	구성/NNG+하/XSV+겠/EP+지만/EC
내각은	내각/NNG+은/JX
대통합	대/XPN+통합/NNG
탕평	탕평/NNG
인사를	인사/NNG+를/JKO
하겠다는	하/VV+겠/EP+다는/ETM
의지가	의지/NNG+가/JKS
강하다"고	강하/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.373.4.4
문 후보는 지난 2일 라디오 인터뷰에서도 "총리부터 대탕평 내각을 구성하는 것이 대단히 중요하다"며 "민주당이 중심에 서되 대통합 정부 구성을 위해서는 진영을 가리지 않고 당 안팎도 가리지 않겠다"고 했다.

문	문/NNP
후보는	후보/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2일	2/SN+일/NNB
라디오	라디오/NNG
인터뷰에서도	인터뷰/NNG+에서/JKB+도/JX
"총리부터	"/SS+총리/NNG+부터/JX
대탕평	대/XPN+탕평/NNG
내각을	내각/NNG+을/JKO
구성하는	구성/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
대단히	대단히/MAG
중요하다"며	중요/NNG+하/XSA+다/EF+"/SS+며/EC
"민주당이	"/SS+민주당/NNP+이/JKS
중심에	중심/NNG+에/JKB
서되	서/VV+되/EC
대통합	대/XPN+통합/NNG
정부	정부/NNG
구성을	구성/NNG+을/JKO
위해서는	위하/VV+아서/EC+는/JX
진영을	진영/NNG+을/JKO
가리지	가리/VV+지/EC
않고	않/VX+고/EC
당	당/NNG
안팎도	안팎/NNG+도/JX
않겠다"고	않/VX+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.373.5.1
문 후보 측 통합정부추진위원회(박영선·변재일 공동 위원장)는 이날 기자회견을 열고 "통합 정부는 대한민국 최고의 인재로 통합 드림팀을 구성해야 한다. 합리적 진보와 개혁적 보수 진영을 망라할 것"이라고 했다.

문	문/NNP
후보	후보/NNG
측	측/NNB
통합정부추진위원회(박영선·변재일	통합/NNG+정부/NNG+추진/NNG+위원회/NNG+(/SS+박영선/NNP+·/SP+변재일/NNP
공동	공동/NNG
위원장)는	위원장/NNG+)/SS+는/JX
이날	이날/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
열고	열/VV+고/EC
"통합	"/SS+통합/NNG
정부는	정부/NNG+는/JX
대한민국	대한민국/NNP
최고의	최고/NNG+의/JKG
인재로	인재/NNG+로/JKB
통합	통합/NNG
드림팀을	드림팀/NNG+을/JKO
구성해야	구성/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF
합리적	합리/NNG+적/XSN
