# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.66
metadata : {}


# id : NWRW1800000025.66.1.1
“EU 기술을 국제표준으로” 원전 주도권 외교전 가동

“EU	“/SS+EU/SL
기술을	기술/NNG+을/JKO
국제표준으로”	국제/NNG+표준/NNG+으로/JKB+”/SS
원전	원전/NNG
주도권	주도/NNG+권/XSN
외교전	외교전/NNG
가동	가동/NNG


# id : NWRW1800000025.66.2.1
유럽연합(EU)이 유럽의 원자력 발전 관련규정을 국제적 표준으로 확대하기 위한 외교적 시도를 본격화했다.

유럽연합(EU)이	유럽연합/NNP+(/SS+EU/SL+)/SS+이/JKS
유럽의	유럽/NNP+의/JKG
원자력	원자력/NNG
발전	발전/NNG
관련규정을	관련/NNG+규정/NNG+을/JKO
국제적	국제/NNG+적/XSN
표준으로	표준/NNG+으로/JKB
확대하기	확대/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
외교적	외교/NNG+적/XSN
시도를	시도/NNG+를/JKO
본격화했다.	본격/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.66.2.2
원자력 강국 프랑스가 지난해 말 아랍에미리트(UAE) 원전 수주경쟁에서 한국에 밀린 뒤 나온 움직임이다.

원자력	원자력/NNG
강국	강국/NNG
프랑스가	프랑스/NNP+가/JKS
지난해	지난해/NNG
말	말/NNB
아랍에미리트(UAE)	아랍에미리트/NNP+(/SS+UAE/SL+)/SS
원전	원전/NNG
수주경쟁에서	수주/NNG+경쟁/NNG+에서/JKB
한국에	한국/NNP+에/JKB
밀린	밀리/VV+ㄴ/ETM
뒤	뒤/NNG
나온	나오/VV+ㄴ/ETM
움직임이다.	움직임/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.66.3.1
조제 마누엘 두랑 바호주 EU 집행위원장은 8일 프랑스 파리에서 열린 경제협력개발기구(OECD) 연설에서 “EU는 핵개발의 국제적 안전 규정을 만드는 데 그 어느 나라보다 앞서 노력해 왔다”며 “이제 다른 국가들이 우리를 따라야 한다”고 말했다.

조제	조제/NNP
