# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.142
metadata : {}


# id : NWRW1800000046.142.1.1
이란·베트남語 쉽게 배울 수 있게… 외대 특수어科 학생들이 뭉쳤다

이란·베트남語	이란/NNP+·/SP+베트남/NNP+語/SH
쉽게	쉽/VA+게/EC
배울	배우/VV+ㄹ/ETM
수	수/NNB
있게…	있/VA+게/EC+…/SE
외대	외대/NNP
특수어科	특수어/NNG+科/SH
학생들이	학생/NNG+들/XSN+이/JKS
뭉쳤다	뭉치/VV+었/EP+다/EF


# id : NWRW1800000046.142.2.1
인터넷 라디오로 무료강좌… 실전 중심 강의로 더욱 인기

인터넷	인터넷/NNG
라디오로	라디오/NNG+로/JKB
무료강좌…	무료/NNG+강좌/NNG+…/SE
실전	실전/NNG
중심	중심/NNG
강의로	강의/NNG+로/JKB
더욱	더욱/MAG
인기	인기/NNG


# id : NWRW1800000046.142.3.1
한국외대 3학년 이수지(22)씨의 전공은 이란어다.

한국외대	한국외대/NNP
3학년	3/SN+학년/NNG
이수지(22)씨의	이수지/NNP+(/SS+22/SN+)/SS+씨/NNB+의/JKG
전공은	전공/NNG+은/JX
이란어다.	이란어/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000046.142.3.2
한국외대 외엔 학과도 없고, 학원도 없는 특수어다.

한국외대	한국외대/NNP
외엔	외/NNB+에/JKB+ㄴ/JX
학과도	학과/NNG+도/JX
없고,	없/VA+고/EC+,/SP
학원도	학원/NNG+도/JX
없는	없/VA+는/ETM
특수어다.	특수어/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.142.3.3
"3년간 공부하면서도 쓸 일이 많지 않았다"는 이씨는 지난 1월부터 전국의 숨은 이란어 교습자들을 위해 실전 회화를 알려 주고 있다.

"3년간	"/SS+3/SN+년/NNB+간/XSN
공부하면서도	공부/NNG+하/XSV+면서/EC+도/JX
쓸	쓰/VV+ㄹ/ETM
일이	일/NNG+이/JKS
많지	많/VA+지/EC
않았다"는	않/VX+았/EP+다/EF+"/SS+는/ETM
이씨는	이/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
1월부터	1/SN+월/NNB+부터/JX
전국의	전국/NNG+의/JKG
숨은	숨/VV+은/ETM
이란어	이란어/NNP
교습자들을	교습자/NNG+들/XSN+을/JKO
위해	위하/VV+아/EC
실전	실전/NNG
회화를	회화/NNG+를/JKO
알려	알리/VV+어/EC
주고	주/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.142.3.4
"전공도 써먹고 누군가에게 도움도 되니 정말 좋아요."

"전공도	"/SS+전공/NNG+도/JX
써먹고	써먹/VV+고/EC
누군가에게	누구/NP+이/VCP+ㄴ가/EF+에게/JKB
도움도	도움/NNG+도/JX
되니	되/VV+니/EC
정말	정말/MAG
좋아요."	좋/VA+아요/EF+./SF+"/SS


# id : NWRW1800000046.142.4.1
국내에서 접하기 쉽지 않은 언어를 배우고 싶은 이들을 위해 한국외대 특수언어 전공 학생들이 뭉쳐 무료 인터넷 라디오를 열었다.

국내에서	국내/NNG+에서/JKB
접하기	접하/VV+기/ETN
쉽지	쉽/VA+지/EC
않은	않/VX+은/ETM
언어를	언어/NNG+를/JKO
배우고	배우/VV+고/EC
싶은	싶/VX+은/ETM
이들을	이/NNB+들/XSN+을/JKO
위해	위하/VV+아/EC
한국외대	한국외대/NNP
특수언어	특수/NNG+언어/NNG
전공	전공/NNG
학생들이	학생/NNG+들/XSN+이/JKS
뭉쳐	뭉치/VV+어/EC
무료	무료/NNG
인터넷	인터넷/NNG
라디오를	라디오/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.142.4.2
이란어과 이수지, 베트남어과 4학년 정리나(23), 이탈리아어과 4학년 양혜인(24), 러시아어과 3학년 박소영(21), 스페인어과 4학년 김나라(26) 그리고 신문방송학과 박사과정 장시연(28)씨가 그들이다.

이란어과	이란어/NNP+과/NNG
이수지,	이수지/NNP+,/SP
베트남어과	베트남어/NNP+과/NNG
4학년	4/SN+학년/NNG
정리나(23),	정리나/NNP+(/SS+23/SN+)/SS+,/SP
이탈리아어과	이탈리아어/NNP+과/NNG
양혜인(24),	양혜인/NNP+(/SS+24/SN+)/SS+,/SP
러시아어과	러시아어/NNP+과/NNG
3학년	3/SN+학년/NNG
박소영(21),	박소영/NNP+(/SS+21/SN+)/SS+,/SP
스페인어과	스페인어/NNP+과/NNG
김나라(26)	김나라/NNP+(/SS+26/SN+)/SS
그리고	그리고/MAJ
신문방송학과	신문/NNG+방송학과/NNG
박사과정	박사/NNG+과정/NNG
장시연(28)씨가	장시연/NNP+(/SS+28/SN+)/SS+씨/NNB+가/JKS
그들이다.	그/NP+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000046.142.4.3
이들은 지난 1월부터 2주에 한 번, 매번 두 시간씩 지금까지 4회 방송 강좌를 했다.

이들은	이/NP+들/XSN+은/JX
지난	지나/VV+ㄴ/ETM
1월부터	1/SN+월/NNB+부터/JX
2주에	2/SN+주/NNB+에/JKB
한	한/MMN
번,	번/NNB+,/SP
매번	매번/MAG
두	두/MMN
시간씩	시간/NNB+씩/XSN
지금까지	지금/NNG+까지/JX
4회	4/SN+회/NNB
방송	방송/NNG
강좌를	강좌/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.142.4.4
방송 이름은 '야매떼'.

방송	방송/NNG
이름은	이름/NNG+은/JX
'야매떼'.	'/SS+야매떼/NNG+'/SS+./SF


# id : NWRW1800000046.142.4.5
연출을 맡은 장시연씨는 "외국어를 '야매(暗·뒷거래를 뜻하는 속어)로 쉽게 가르치자는 해학적 의미와 '어려운 외국어 방송은 그만'이라는 뜻을 담았다"고 했다.

연출을	연출/NNG+을/JKO
맡은	맡/VV+은/ETM
장시연씨는	장시연/NNP+씨/NNB+는/JX
"외국어를	"/SS+외국어/NNG+를/JKO
'야매(暗·뒷거래를	'/SS+야매/NNG+(/SS+暗/SH+·/SP+뒷거래/NNG+를/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
속어)로	속어/NNG+)/SS+로/JKB
쉽게	쉽/VA+게/EC
가르치자는	가르치/VV+자는/ETM
해학적	해학/NNG+적/XSN
의미와	의미/NNG+와/JC
'어려운	'/SS+어렵/VA+ㄴ/ETM
외국어	외국어/NNG
방송은	방송/NNG+은/JX
그만'이라는	그만/MAG+'/SS+이/VCP+라는/ETM
뜻을	뜻/NNG+을/JKO
담았다"고	담/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.142.4.6
'그만'이라는 뜻의 일본어가 '야메떼(やめて)'다.

'그만'이라는	'/SS+그만/MAG+'/SS+이/VCP+라는/ETM
뜻의	뜻/NNG+의/JKG
일본어가	일본어/NNP+가/JKS
'야메떼(やめて)'다.	'/SS+야메떼/NA+(/SS+やめて/SL+)/SS+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.142.5.1
