# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.214
metadata : {}


# id : NWRW1800000049.214.1.1
갤노트7 영수증 조작해 액세서리 환불

갤노트7	갤노트7/NNP
영수증	영수증/NNG
조작해	조작/NNG+하/XSV+아/EC
액세서리	액세서리/NNG
환불	환불/NNG


# id : NWRW1800000049.214.2.1
전액보상 악용 블랙컨슈머 기승… 본체-서류지참 등 확인절차 강화 기기 반납한 소비자들만 불편

전액보상	전액/NNG+보상/NNG
악용	악용/NNG
블랙컨슈머	블랙컨슈머/NNG
기승…	기승/NNG+…/SE
본체-서류지참	본체/NNG+-/SO+서류/NNG+지참/NNG
등	등/NNB
확인절차	확인/NNG+절차/NNG
강화	강화/NNG
기기	기기/NNG
반납한	반납/NNG+하/XSV+ㄴ/ETM
소비자들만	소비자/NNG+들/XSN+만/JX
불편	불편/NNG


# id : NWRW1800000049.214.3.1
잇따른 발화 탓에 단종된 삼성전자의 스마트폰 갤럭시 노트7을 사용했던 회사원 황모 씨(30)는 13일 노트7에 썼던 케이스, 보호필름 등 액세서리와 구매 영수증을 갖고 삼성전자 서비스센터를 방문했다.

잇따른	잇따르/VV+ㄴ/ETM
발화	발화/NNG
탓에	탓/NNG+에/JKB
단종된	단종/NNG+되/XSV+ㄴ/ETM
삼성전자의	삼성전자/NNP+의/JKG
스마트폰	스마트폰/NNG
갤럭시	갤럭시/NNP
노트7을	노트/NNP+7/SN+을/JKO
사용했던	사용/NNG+하/XSV+았/EP+던/ETM
회사원	회사원/NNG
황모	황/NNP+모/NP
씨(30)는	씨/NNB+(/SS+30/SN+)/SS+는/JX
13일	13/SN+일/NNB
노트7에	노트/NNP+7/SN+에/JKB
썼던	쓰/VV+었/EP+던/ETM
케이스,	케이스/NNG+,/SP
보호필름	보호/NNG+필름/NNG
등	등/NNB
액세서리와	액세서리/NNG+와/JC
구매	구매/NNG
영수증을	영수증/NNG+을/JKO
갖고	갖/VV+고/EC
삼성전자	삼성전자/NNP
서비스센터를	서비스/NNG+센터/NNG+를/JKO
방문했다.	방문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.214.3.2
삼성전자의 갤럭시 노트7 액세서리 환불 정책에 따라 그가 산 2만 원짜리 액세서리를 보상받기 위해서였다.

삼성전자의	삼성전자/NNP+의/JKG
갤럭시	갤럭시/NNP
노트7	노트/NNP+7/SN
액세서리	액세서리/NNG
환불	환불/NNG
정책에	정책/NNG+에/JKB
따라	따르/VV+아/EC
그가	그/NP+가/JKS
