# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.133
metadata : {}


# id : NWRW1800000021.133.1.1
강성훈 다 잡은 첫 우승을…

강성훈	강성훈/NNP
다	다/MAG
잡은	잡/VV+은/ETM
첫	첫/MMN
우승을…	우승/NNG+을/JKO+…/SE


# id : NWRW1800000021.133.2.1
‘제주 사나이’ 강성훈(22·신한은행)이 고향에서 다 잡은 첫 우승 기회를 아쉽게 놓쳤다.

‘제주	‘/SS+제주/NNP
사나이’	사나이/NNG+’/SS
강성훈(22·신한은행)이	강성훈/NNP+(/SS+22/SN+·/SP+신한은행/NNP+)/SS+이/JKS
고향에서	고향/NNG+에서/JKB
다	다/MAG
잡은	잡/VV+은/ETM
첫	첫/MMN
우승	우승/NNG
기회를	기회/NNG+를/JKO
아쉽게	아쉽/VA+게/EC
놓쳤다.	놓치/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.133.2.2
강성훈은 26일 서귀포 핀크스골프장(파72)에서 열린 유럽프로골프투어 발렌타인 챔피언십 최종 4라운드에서 초속 13m의 강풍과 맞서며 4타를 줄였다.

강성훈은	강성훈/NNP+은/JX
26일	26/SN+일/NNB
서귀포	서귀포/NNP
핀크스골프장(파72)에서	핀크스골프장/NNP+(/SS+파/NNG+72/SN+)/SS+에서/JKB
열린	열리/VV+ㄴ/ETM
유럽프로골프투어	유럽프로골프투어/NNG
발렌타인	발렌타인/NNP
챔피언십	챔피언십/NNG
최종	최종/NNG
4라운드에서	4/SN+라운드/NNG+에서/JKB
초속	초속/NNG
13m의	13/SN+m/SW+의/JKG
강풍과	강풍/NNG+과/JKB
맞서며	맞서/VV+며/EC
4타를	4/SN+타/NNG+를/JKO
줄였다.	줄이/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.133.2.3
선두에 6타나 뒤진 공동 11위로 출발했지만 합계 4언더파 284타로 곤살로 페르난데스 카스타뇨(스페인), 통차이 자이디(태국)와 함께 동타로 승부를 연장으로 돌린 것.

선두에	선두/NNG+에/JKB
6타나	6/SN+타/NNG+나/JX
뒤진	뒤지/VV+ㄴ/ETM
공동	공동/NNG
11위로	11/SN+위/NNB+로/JKB
출발했지만	출발/NNG+하/XSV+았/EP+지만/EC
합계	합계/NNG
4언더파	4/SN+언더/NNG+파/NNG
284타로	284/SN+타/NNG+로/JKB
곤살로	곤살로/NNP
페르난데스	페르난데스/NNP
카스타뇨(스페인),	카스타뇨/NNP+(/SS+스페인/NNP+)/SS+,/SP
통차이	통차이/NNP
자이디(태국)와	자이디/NNP+(/SS+태국/NNP+)/SS+와/JKB
함께	함께/MAG
동타로	동타/NNG+로/JKB
승부를	승부/NNG+를/JKO
연장으로	연장/NNG+으로/JKB
돌린	돌리/VV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000021.133.3.1
하지만 아쉬움이 더 남았다.

하지만	하지만/MAJ
아쉬움이	아쉬움/NNG+이/JKS
더	더/MAG
남았다.	남/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.133.3.2
전반에 2타를 줄였고 10번홀(파5)과 16번홀(파5)에서 각각 이글을 잡고 단숨에 1타 차 단독 선두까지 뛰어올랐지만 18번홀(파4)에서 통한의 스리 퍼트로 보기를 한 것.

전반에	전반/NNG+에/JKB
2타를	2/SN+타/NNG+를/JKO
줄였고	줄이/VV+었/EP+고/EC
10번홀(파5)과	10/SN+번/NNB+홀/NNG+(/SS+파/NNG+5/SN+)/SS+과/JC
16번홀(파5)에서	16/SN+번/NNB+홀/NNG+(/SS+파/NNG+5/SN+)/SS+에서/JKB
각각	각각/MAG
이글을	이글/NNG+을/JKO
잡고	잡/VV+고/EC
단숨에	단숨에/MAG
1타	1/SN+타/NNG
차	차/NNG
단독	단독/NNG
선두까지	선두/NNG+까지/JX
뛰어올랐지만	뛰어오르/VV+았/EP+지만/EC
18번홀(파4)에서	18/SN+번/NNB+홀/NNG+(/SS+파/NNG+4/SN+)/SS+에서/JKB
통한의	통한/NNG+의/JKG
스리	스리/NNG
퍼트로	퍼트/NNG+로/JKB
보기를	보기/NNG+를/JKO
한	하/VV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000021.133.3.3
강성훈은 18번홀(파4)에서 계속된 첫 번째 연장에서 두 번째 샷을 홀 2m에 붙였지만 버디 퍼트에 실패했고 우승컵은 1.5m 버디 퍼트를 성공한 자이디에게 돌아갔다.

강성훈은	강성훈/NNP+은/JX
18번홀(파4)에서	18/SN+번/NNB+홀/NNG+(/SS+파/NNG+4/SN+)/SS+에서/JKB
계속된	계속/NNG+되/XSV+ㄴ/ETM
첫	첫/MMN
번째	번/NNB+째/XSN
연장에서	연장/NNG+에서/JKB
두	두/MMN
샷을	샷/NNG+을/JKO
홀	홀/NNG
2m에	2/SN+m/SW+에/JKB
붙였지만	붙이/VV+었/EP+지만/EC
버디	버디/NNG
퍼트에	퍼트/NNG+에/JKB
실패했고	실패/NNG+하/XSV+았/EP+고/EC
우승컵은	우승컵/NNG+은/JX
1.5m	1/SN+./SP+5/SN+m/SW
퍼트를	퍼트/NNG+를/JKO
성공한	성공/NNG+하/XSV+ㄴ/ETM
자이디에게	자이디/NNP+에게/JKB
돌아갔다.	돌아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.133.3.4
이 대회에서 한국 선수가 톱10에 랭크된 것은 강성훈이 처음이다.

이	이/MMD
대회에서	대회/NNG+에서/JKB
한국	한국/NNP
선수가	선수/NNG+가/JKS
톱10에	톱/NNG+10/SN+에/JKB
랭크된	랭크/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
강성훈이	강성훈/NNP+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.133.4.1
2006년 도하 아시아경기 골프 단체전 금메달리스트인 강성훈은 2007년부터 본격적으로 프로 무대에서 뛰었지만 지난해에도 세 차례나 준우승에 그치는 등 우승과 인연이 없었다.

2006년	2006/SN+년/NNB
도하	도하/NNP
아시아경기	아시아/NNP+경기/NNG
