# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.446
metadata : {}


# id : NWRW1800000022.446.1.1
몬타뉴 '팔방미인'… KT&G 3연승 프로배구 V리그

몬타뉴	몬타뉴/NNP
'팔방미인'…	'/SS+팔방미인/NNG+'/SS+…/SE
KT&G	KT/SL+&/SW+G/SL
3연승	3/SN+연승/NNG
프로배구	프로/NNG+배구/NNG
V리그	V/SL+리그/NNG


# id : NWRW1800000022.446.2.1
'외국인 파워'의 차이가 승패를 갈랐다.

'외국인	'/SS+외국인/NNG
파워'의	파워/NNG+'/SS+의/JKG
차이가	차이/NNG+가/JKS
승패를	승패/NNG+를/JKO
갈랐다.	가르/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.446.2.2
KT&G는 15일 열린 프로배구 V리그 여자부 대전 경기에서 GS 칼텍스를 3대0으로 물리치고 3연승했다.

KT&G는	KT/SL+&/SW+G/SL+는/JX
15일	15/SN+일/NNB
열린	열리/VV+ㄴ/ETM
프로배구	프로/NNG+배구/NNG
V리그	V/SL+리그/NNG
여자부	여자부/NNG
대전	대전/NNP
경기에서	경기/NNG+에서/JKB
GS	GS/SL
칼텍스를	칼텍스/NNP+를/JKO
3대0으로	3/SN+대/NNB+0/SN+으로/JKB
물리치고	물리치/VV+고/EC
3연승했다.	3/SN+연승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.446.2.3
콜롬비아 출신 몬타뉴가 후위공격 10점을 포함, 32점을 터뜨리며 해결사 역할을 했다.

콜롬비아	콜롬비아/NNP
출신	출신/NNG
몬타뉴가	몬타뉴/NNP+가/JKS
후위공격	후위/NNG+공격/NNG
10점을	10/SN+점/NNB+을/JKO
포함,	포함/NNG+,/SP
32점을	32/SN+점/NNB+을/JKO
터뜨리며	터뜨리/VV+며/EC
해결사	해결사/NNG
역할을	역할/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.446.2.4
몬타뉴의 공격 점유율은 팀의 절반에 가까운 49.58%였다.

몬타뉴의	몬타뉴/NNP+의/JKG
공격	공격/NNG
점유율은	점유/NNG+율/XSN+은/JX
팀의	팀/NNG+의/JKG
절반에	절반/NNG+에/JKB
가까운	가깝/VA+ㄴ/ETM
49.58%였다.	49/SN+./SP+58/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.446.2.5
6승2패가 된 KT&G는 선두 현대건설(6승1패)에 반 경기 차이로 접근했다.

6승2패가	6/SN+승/NNB+2/SN+패/NNB+가/JKC
된	되/VV+ㄴ/ETM
KT&G는	KT/SL+&/SW+G/SL+는/JX
선두	선두/NNG
현대건설(6승1패)에	현대건설/NNP+(/SS+6/SN+승/NNB+1/SN+패/NNB+)/SS+에/JKB
반	반/NNG
경기	경기/NNG
차이로	차이/NNG+로/JKB
접근했다.	접근/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.446.2.6
