# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.393
metadata : {}


# id : NWRW1800000037.393.1.1
[수도권]수도권 쓰레기매립장 27곳… 친환경 생태공원 멋진 변신

[수도권]수도권	[/SS+수도/NNG+권/XSN+]/SS+수도/NNG+권/XSN
쓰레기매립장	쓰레기/NNG+매립장/NNG
27곳…	27/SN+곳/NNG+…/SE
친환경	친/XPN+환경/NNG
생태공원	생태/NNG+공원/NNG
멋진	멋지/VA+ㄴ/ETM
변신	변신/NNG


# id : NWRW1800000037.393.2.1
“이 깨끗한 공원이 쓰레기매립장이었다고요?”

“이	“/SS+이/MMD
깨끗한	깨끗하/VA+ㄴ/ETM
공원이	공원/NNG+이/JKS
쓰레기매립장이었다고요?”	쓰레기/NNG+매립장/NNG+이/VCP+었/EP+다고/EF+요/JX+?/SF+”/SS


# id : NWRW1800000037.393.3.1
대표적인 ‘혐오시설’로 기피 대상이던 경기 지역 쓰레기 매립장이 서울 난지도의 하늘공원처럼 주민을 위한 쉼터와 편의 공간으로 탈바꿈하고 있다.

대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
‘혐오시설’로	‘/SS+혐오/NNG+시설/NNG+’/SS+로/JKB
기피	기피/NNG
대상이던	대상/NNG+이/VCP+던/ETM
경기	경기/NNP
지역	지역/NNG
쓰레기	쓰레기/NNG
매립장이	매립장/NNG+이/JKS
서울	서울/NNP
난지도의	난지도/NNP+의/JKG
하늘공원처럼	하늘공원/NNP+처럼/JKB
주민을	주민/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
쉼터와	쉼터/NNG+와/JC
편의	편의/NNG
공간으로	공간/NNG+으로/JKB
탈바꿈하고	탈바꿈/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.393.4.1
1만3000m²(3900여 평) 규모의 경기 남양주시 오남 체육공원.

1만3000m²(3900여	1/SN+만/NR+3000/SN+m²/SW+(/SS+3900/SN+여/XSN
평)	평/NNB+)/SS
규모의	규모/NNG+의/JKG
경기	경기/NNP
남양주시	남양주시/NNP
오남	오남/NNP
체육공원.	체육공원/NNG+./SF


# id : NWRW1800000037.393.4.2
120석 규모의 관람석을 갖춘 축구장에는 주말이면 유소년 축구단과 축구동호회 회원들로 발 디딜 틈이 없다.

120석	120/SN+석/NNB
규모의	규모/NNG+의/JKG
관람석을	관람석/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
축구장에는	축구장/NNG+에/JKB+는/JX
주말이면	주말/NNG+이/VCP+면/EC
유소년	유소년/NNG
축구단과	축구단/NNG+과/JC
축구동호회	축구/NNG+동호회/NNG
회원들로	회원/NNG+들/XSN+로/JKB
발	발/NNG
디딜	디디/VV+ㄹ/ETM
틈이	틈/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000037.393.4.3
바로 옆 배드민턴장과 족구장에도 늘 대기하는 사람들로 붐빈다.

바로	바로/MAG
옆	옆/NNG
배드민턴장과	배드민턴장/NNG+과/JC
족구장에도	족구장/NNG+에/JKB+도/JX
늘	늘/MAG
대기하는	대기/NNG+하/XSV+는/ETM
사람들로	사람/NNG+들/XSN+로/JKB
붐빈다.	붐비/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.393.4.4
축구장 주변에는 400m 남짓한 짧은 산책로가 조성돼 있고 철봉 등 야외 운동 시설에는 삼삼오오 운동을 즐기는 주민들로 북적인다.

축구장	축구장/NNG
주변에는	주변/NNG+에/JKB+는/JX
400m	400/SN+m/SW
남짓한	남짓/NNB+하/XSA+ㄴ/ETM
짧은	짧/VA+은/ETM
산책로가	산책로/NNG+가/JKS
조성돼	조성/NNG+되/XSV+어/EC
있고	있/VX+고/EC
철봉	철봉/NNG
등	등/NNB
야외	야외/NNG
운동	운동/NNG
시설에는	시설/NNG+에/JKB+는/JX
삼삼오오	삼삼오오/NNG
운동을	운동/NNG+을/JKO
즐기는	즐기/VV+는/ETM
주민들로	주민/NNG+들/XSN+로/JKB
북적인다.	북적이/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.393.5.1
이곳은 불과 10여 년 전만 해도 버림받은 땅이었다.

이곳은	이곳/NP+은/JX
불과	불과/MAG
10여	10/SN+여/XSN
년	년/NNB
전만	전/NNG+만/JX
해도	하/VV+아도/EC
버림받은	버리/VV+ㅁ/ETN+받/XSV+은/ETM
땅이었다.	땅/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.393.5.2
1992년부터 4년간 쓰레기매립장으로 사용되다 흙으로만 덮어 놓은 채 방치됐다.

1992년부터	1992/SN+년/NNB+부터/JX
4년간	4/SN+년/NNB+간/XSN
쓰레기매립장으로	쓰레기/NNG+매립장/NNG+으로/JKB
사용되다	사용/NNG+되/XSV+다/EC
흙으로만	흙/NNG+으로/JKB+만/JX
덮어	덮/VV+어/EC
놓은	놓/VX+은/ETM
채	채/NNB
방치됐다.	방치/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.393.5.3
코와 입을 막고 지나가야 할 정도로 악취가 심했다.

코와	코/NNG+와/JC
입을	입/NNG+을/JKO
막고	막/VV+고/EC
지나가야	지나가/VV+아야/EC
할	하/VX+ㄹ/ETM
정도로	정도/NNG+로/JKB
악취가	악취/NNG+가/JKS
심했다.	심하/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.393.6.1
그러나 2007년 어렵게 체육공원이 조성되면서 하루 평균 500여 명이 찾는 명소로 변했다.

그러나	그러나/MAJ
2007년	2007/SN+년/NNB
어렵게	어렵/VA+게/EC
체육공원이	체육공원/NNG+이/JKS
조성되면서	조성/NNG+되/XSV+면서/EC
하루	하루/NNG
평균	평균/NNG
500여	500/SN+여/XSN
명이	명/NNB+이/JKS
찾는	찾/VV+는/ETM
명소로	명소/NNG+로/JKB
변했다.	변하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.393.6.2
인근에는 아파트 단지와 상가가 조성됐다.

인근에는	인근/NNG+에/JKB+는/JX
아파트	아파트/NNG
단지와	단지/NNG+와/JC
상가가	상가/NNG+가/JKS
조성됐다.	조성/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.393.7.1
1996년까지 쓰레기매립장이었던 용인시 이동면 어비공원도 매립장이었다는 사실이 믿기지 않을 정도로 변했다.

1996년까지	1996/SN+년/NNB+까지/JX
