# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.370
metadata : {}


# id : NWRW1800000026.370.1.1
틈새공략 2G폰_기존번호는 그대로 쓰고 기능은 스마트폰 못지않네

틈새공략	틈새/NNG+공략/NNG
2G폰_기존번호는	2/SN+G/SL+폰/NNG+_/SW+기존/NNG+번호/NNG+는/JX
그대로	그대로/MAG
쓰고	쓰/VV+고/EC
기능은	기능/NNG+은/JX
스마트폰	스마트폰/NNG
못지않네	못지않/VA+네/EF


# id : NWRW1800000026.370.2.1
'스마트폰' 열풍 속에 2G(2세대 이동통신)폰이 지속적으로 출시되고 있다.

'스마트폰'	'/SS+스마트폰/NNG+'/SS
열풍	열풍/NNG
속에	속/NNG+에/JKB
2G(2세대	2/SN+G/SL+(/SS+2/SN+세대/NNG
이동통신)폰이	이동/NNG+통신/NNG+)/SS+폰/NNG+이/JKS
지속적으로	지속/NNG+적/XSN+으로/JKB
출시되고	출시/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.370.2.2
다양하고 세련된 디자인을 갖추면서도 실용적인 기능만 골라쓸 수 있기 때문이다.

다양하고	다양/NNG+하/XSA+고/EC
세련된	세련/NNG+되/XSA+ㄴ/ETM
디자인을	디자인/NNG+을/JKO
갖추면서도	갖추/VV+면서/EC+도/JX
실용적인	실용/NNG+적/XSN+이/VCP+ㄴ/ETM
기능만	기능/NNG+만/JX
골라쓸	고르/VV+아/EC+쓰/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.370.2.3
011·016·017 등 010이 아닌 기존 번호를 유지하고 싶어하는 고객들도 공략할 수 있다.

011·016·017	011/SN+·/SP+016/SN+·/SP+017/SN
등	등/NNB
010이	010/SN+이/JKC
아닌	아니/VCN+ㄴ/ETM
기존	기존/NNG
번호를	번호/NNG+를/JKO
유지하고	유지/NNG+하/XSV+고/EC
싶어하는	싶/VX+어/EC+하/VX+는/ETM
고객들도	고객/NNG+들/XSN+도/JX
공략할	공략/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.370.3.1
SK텔레시스는 8일 휴대폰브랜드 'W'의 2G 풀터치폰인 '캐치폰(SK-T100)'을 출시했다.

SK텔레시스는	SK텔레시스/NNP+는/JX
8일	8/SN+일/NNB
휴대폰브랜드	휴대폰/NNG+브랜드/NNG
'W'의	'/SS+W/SL+'/SS+의/JKG
2G	2/SN+G/SL
풀터치폰인	풀터치폰/NNG+이/VCP+ㄴ/ETM
'캐치폰(SK-T100)'을	'/SS+캐치폰/NNP+(/SS+SK/SL+-/SO+T/SL+100/SN+)/SS+'/SS+을/JKO
출시했다.	출시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.370.3.2
캐치폰은 기존에 사용하던 번호를 그대로 사용하면서 와이파이를 사용할 수 있다.

캐치폰은	캐치폰/NNP+은/JX
기존에	기존/NNG+에/JKB
사용하던	사용/NNG+하/XSV+던/ETM
번호를	번호/NNG+를/JKO
그대로	그대로/MAG
사용하면서	사용/NNG+하/XSV+면서/EC
와이파이를	와이파이/NNG+를/JKO
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.370.3.3
스마트폰급의 성능을 원하는 고객들을 위한 휴대폰이라는 설명이다.

스마트폰급의	스마트폰급/NNG+의/JKG
성능을	성능/NNG+을/JKO
원하는	원/NNG+하/XSV+는/ETM
고객들을	고객/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
휴대폰이라는	휴대폰/NNG+이/VCP+라는/ETM
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.370.3.4
웹브라우저 '오페라 미니'를 탑재해 최적의 모바일 인터넷 환경도 제공한다.

웹브라우저	웹/NNG+브라우저/NNG
'오페라	'/SS+오페라/NNP
미니'를	미니/NNP+'/SS+를/JKO
탑재해	탑재/NNG+하/XSV+아/EC
최적의	최적/NNG+의/JKG
모바일	모바일/NNG
인터넷	인터넷/NNG
환경도	환경/NNG+도/JX
제공한다.	제공/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.370.3.5
GPS 기능을 활용한 위치 기반 SNS인 'W.Here'와 T맵 내비게이션을 통해 사용자가 위치한 지역의 대중교통 정보와 날씨, 추천 맛집 정보도 확인할 수 있다.

GPS	GPS/SL
기능을	기능/NNG+을/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
위치	위치/NNG
기반	기반/NNG
SNS인	SNS/SL+이/VCP+ㄴ/ETM
'W.Here'와	'/SS+W/SL+./SP+Here/SL+'/SS+와/JC
T맵	T맵/NNP
내비게이션을	내비게이션/NNG+을/JKO
통해	통하/VV+아/EC
