# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.244
metadata : {}


# id : NWRW1800000048.244.1.1
‘연안침몰’ 11만t 초대형 이탈리아 배도 성공

‘연안침몰’	‘/SS+연안/NNG+침몰/NNG+’/SS
11만t	11/SN+만/NR+t/SW
초대형	초/XPN+대형/NNG
이탈리아	이탈리아/NNP
배도	배/NNG+도/JX
성공	성공/NNG


# id : NWRW1800000048.244.2.1
다른 인양 사례는

다른	다른/MMD
인양	인양/NNG
사례는	사례/NNG+는/JX


# id : NWRW1800000048.244.3.1
천안함, 수심 25m서 22일만에

천안함,	천안함/NNP+,/SP
수심	수심/NNG
25m서	25/SN+m/SW+서/JKB
22일만에	22/SN+일/NNB+만/NNB+에/JKB


# id : NWRW1800000048.244.4.1
1999년 잠수정 150m서 인양

1999년	1999/SN+년/NNB
잠수정	잠수정/NNG
150m서	150/SN+m/SW+서/JKB
인양	인양/NNG


# id : NWRW1800000048.244.5.1
800m 물밑 이집트 배는 포기

800m	800/SN+m/SW
물밑	물밑/NNG
이집트	이집트/NNP
배는	배/NNG+는/JX
포기	포기/NNG


# id : NWRW1800000048.244.6.1
세월호 인양이 기술적으로 가능한 것으로 확인됐지만 정부는 “아직 전세계적으로 수중 아래로 완전히 침몰한 세월호 규모의 대형 선박을 통째로 인양한 전례는 없다”고 밝혔다.

세월호	세월호/NNP
인양이	인양/NNG+이/JKS
기술적으로	기술/NNG+적/XSN+으로/JKB
가능한	가능/NNG+하/XSA+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐지만	확인/NNG+되/XSV+었/EP+지만/EC
정부는	정부/NNG+는/JX
“아직	“/SS+아직/MAG
전세계적으로	전/MMN+세계/NNG+적/XSN+으로/JKB
수중	수중/NNG
아래로	아래/NNG+로/JKB
완전히	완전히/MAG
침몰한	침몰/NNG+하/XSV+ㄴ/ETM
규모의	규모/NNG+의/JKG
대형	대형/NNG
선박을	선박/NNG+을/JKO
통째로	통/NNG+째/XSN+로/JKB
인양한	인양/NNG+하/XSV+ㄴ/ETM
전례는	전례/NNG+는/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.244.7.1
