# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.310
metadata : {}


# id : NWRW1800000049.310.1.1
‘사교육 경감-고교 무상교육’ 공약, 공수표로

‘사교육	‘/SS+사교육/NNG
경감-고교	경감/NNG+-/SO+고교/NNG
무상교육’	무상/NNG+교육/NNG+’/SS
공약,	공약/NNG+,/SP
공수표로	공수표/NNG+로/JKB


# id : NWRW1800000049.310.2.1
[朴정부 3년 공약이행 점검]<1>교육 영어 절대평가로 수학 사교육 급증… 수시 70%로 늘려 스펙쌓기 일상화

[朴정부	[/SS+朴/SH+정부/NNG
3년	3/SN+년/NNB
공약이행	공약/NNG+이행/NNG
점검]<1>교육	점검/NNG+]/SS+</SS+1/SN+>/SS+교육/NNG
영어	영어/NNP
절대평가로	절대/NNG+평가/NNG+로/JKB
수학	수학/NNG
사교육	사교육/NNG
급증…	급증/NNG+…/SE
수시	수시/NNG
70%로	70/SN+%/SW+로/JKB
늘려	늘리/VV+어/EC
스펙쌓기	스펙/NNG+쌓/VV+기/ETN
일상화	일상/NNG+화/XSN


# id : NWRW1800000049.310.3.1
박근혜 정부가 교육 분야 공약에서 내건 슬로건은 ‘행복 교육’이다.

박근혜	박근혜/NNP
정부가	정부/NNG+가/JKS
교육	교육/NNG
분야	분야/NNG
공약에서	공약/NNG+에서/JKB
내건	내걸/VV+ㄴ/ETM
슬로건은	슬로건/NNG+은/JX
‘행복	‘/SS+행복/NNG
교육’이다.	교육/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000049.310.3.2
그러나 집권 3년이 흐른 지금 국민 실생활과 밀접한 교육 공약들은 제대로 실천되지 않았고 갈등만 커지면서 현실은 ‘고통 교육’에 가깝다는 것이 현장의 반응이다.

그러나	그러나/MAJ
집권	집권/NNG
3년이	3/SN+년/NNB+이/JKS
흐른	흐르/VV+ㄴ/ETM
지금	지금/MAG
국민	국민/NNG
실생활과	실생활/NNG+과/JKB
밀접한	밀접/NNG+하/XSA+ㄴ/ETM
교육	교육/NNG
공약들은	공약/NNG+들/XSN+은/JX
제대로	제대로/MAG
실천되지	실천/NNG+되/XSV+지/EC
않았고	않/VX+았/EP+고/EC
갈등만	갈등/NNG+만/JX
커지면서	커지/VV+면서/EC
현실은	현실/NNG+은/JX
‘고통	‘/SS+고통/NNG
교육’에	교육/NNG+’/SS+에/JKB
가깝다는	가깝/VA+다는/ETM
것이	것/NNB+이/JKS
현장의	현장/NNG+의/JKG
반응이다.	반응/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.310.4.1
대학수학능력시험에서 영어만 절대평가로 바꾸자 풍선효과로 수학 사교육이 늘었고, 대학 입시에서 수시모집 비율이 70%에 달하면서 초등학교 단계부터 ‘스펙 쌓기’ 경쟁이 일상화됐다.

대학수학능력시험에서	대학/NNG+수학/NNG+능력/NNG+시험/NNG+에서/JKB
영어만	영어/NNP+만/JX
절대평가로	절대/NNG+평가/NNG+로/JKB
바꾸자	바꾸/VV+자/EC
풍선효과로	풍선/NNG+효과/NNG+로/JKB
수학	수학/NNG
사교육이	사교육/NNG+이/JKS
늘었고,	늘/VV+었/EP+고/EC+,/SP
대학	대학/NNG
입시에서	입시/NNG+에서/JKB
수시모집	수시/NNG+모집/NNG
비율이	비율/NNG+이/JKS
70%에	70/SN+%/SW+에/JKB
달하면서	달하/VV+면서/EC
초등학교	초등학교/NNG
단계부터	단계/NNG+부터/JX
‘스펙	‘/SS+스펙/NNG
쌓기’	쌓/VV+기/ETN+’/SS
경쟁이	경쟁/NNG+이/JKS
일상화됐다.	일상/NNG+화/XSN+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.310.4.2
그 결과 ‘획기적인 사교육 경감’을 약속했던 박근혜 정부는 집권 3년 내내 사교육비 증가라는 나쁜 기록을 만들어 가는 중이다.

그	그/MMD
결과	결과/NNG
‘획기적인	‘/SS+획기적/NNG+이/VCP+ㄴ/ETM
사교육	사교육/NNG
경감’을	경감/NNG+’/SS+을/JKO
약속했던	약속/NNG+하/XSV+았/EP+던/ETM
박근혜	박근혜/NNP
정부는	정부/NNG+는/JX
집권	집권/NNG
3년	3/SN+년/NNB
내내	내내/MAG
사교육비	사교육비/NNG
증가라는	증가/NNG+이/VCP+라는/ETM
나쁜	나쁘/VA+ㄴ/ETM
기록을	기록/NNG+을/JKO
만들어	만들/VV+어/EC
가는	가/VX+는/ETM
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.310.4.3
구체적인 실행 전략이 없는 사교육 경감 공약은 단순 실패로 그치지 않았다.

구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
실행	실행/NNG
전략이	전략/NNG+이/JKS
없는	없/VA+는/ETM
사교육	사교육/NNG
경감	경감/NNG
공약은	공약/NNG+은/JX
단순	단순/NNG
실패로	실패/NNG+로/JKB
그치지	그치/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.310.4.4
지난해 제정된 인성교육진흥법과 내년부터 단계적으로 시작되는 소프트웨어 교육 의무화 정책은 중장기적 검토 없이 즉흥적으로 도입되는 바람에 새로운 사교육 시장을 만들었다는 지적이 나온다.

지난해	지난해/NNG
제정된	제정/NNG+되/XSV+ㄴ/ETM
인성교육진흥법과	인성/NNG+교육/NNG+진흥법/NNG+과/JKB
내년부터	내년/NNG+부터/JX
단계적으로	단계/NNG+적/XSN+으로/JKB
시작되는	시작/NNG+되/XSV+는/ETM
소프트웨어	소프트웨어/NNG
교육	교육/NNG
의무화	의무/NNG+화/XSN
정책은	정책/NNG+은/JX
중장기적	중장기/NNG+적/XSN
검토	검토/NNG
없이	없이/MAG
즉흥적으로	즉흥/NNG+적/XSN+으로/JKB
도입되는	도입/NNG+되/XSV+는/ETM
바람에	바람/NNB+에/JKB
새로운	새롭/VA+ㄴ/ETM
사교육	사교육/NNG
시장을	시장/NNG+을/JKO
만들었다는	만들/VV+었/EP+다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.310.5.1
영유아 사교육비도 현 정부 들어 급증했다.

영유아	영유아/NNG
사교육비도	사교육비/NNG+도/JX
현	현/MMD
정부	정부/NNG
들어	들/VV+어/EC
급증했다.	급증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.310.5.2
국책연구기관인 육아정책연구소가 지난해 내놓은 ‘영유아 교육·보육 비용 추정연구Ⅱ’에 따르면 2014년 영유아 총 사교육비는 3조2289억 원으로 1년 사이 5874억 원(22.2%)이나 늘었다.

국책연구기관인	국책/NNG+연구/NNG+기관/NNG+이/VCP+ㄴ/ETM
육아정책연구소가	육아/NNG+정책/NNG+연구소/NNG+가/JKS
지난해	지난해/NNG
내놓은	내놓/VV+은/ETM
‘영유아	‘/SS+영유아/NNG
교육·보육	교육/NNG+·/SP+보육/NNG
비용	비용/NNG
추정연구Ⅱ’에	추정/NNG+연구/NNG+Ⅱ/SL+’/SS+에/JKB
따르면	따르/VV+면/EC
2014년	2014/SN+년/NNB
영유아	영유아/NNG
총	총/MMA
사교육비는	사교육비/NNG+는/JX
3조2289억	3/SN+조/NR+2289/SN+억/NR
원으로	원/NNB+으로/JKB
1년	1/SN+년/NNB
사이	사이/NNG
5874억	5874/SN+억/NR
원(22.2%)이나	원/NNB+(/SS+22/SN+./SP+2/SN+%/SW+)/SS+이나/JX
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.310.6.1
고교 무상교육을 실현하겠다던 약속은 예산을 한 푼도 편성하지 않아 공수표가 됐다.

고교	고교/NNG
무상교육을	무상/NNG+교육/NNG+을/JKO
실현하겠다던	실현/NNG+하/XSV+겠/EP+다던/ETM
약속은	약속/NNG+은/JX
예산을	예산/NNG+을/JKO
한	한/MMN
푼도	푼/NNB+도/JX
편성하지	편성/NNG+하/XSV+지/EC
않아	않/VX+아/EC
공수표가	공수표/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.310.6.2
그나마 이행된 공약들도 부작용이 만만치 않다.

그나마	그나마/MAG
이행된	이행/NNG+되/XSV+ㄴ/ETM
공약들도	공약/NNG+들/XSN+도/JX
부작용이	부작용/NNG+이/JKS
만만치	만만하/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000049.310.6.3
‘반값 등록금’ 공약은 지난해 수치상으로 완성됐지만 대학생의 체감효과가 여전히 낮고 고등교육 경쟁력을 떨어뜨렸다는 지적이 나온다.

‘반값	‘/SS+반값/NNG
등록금’	등록금/NNG+’/SS
공약은	공약/NNG+은/JX
지난해	지난해/NNG
수치상으로	수치/NNG+상/XSN+으로/JKB
완성됐지만	완성/NNG+되/XSV+었/EP+지만/EC
대학생의	대학/NNG+생/XSN+의/JKG
체감효과가	체감/NNG+효과/NNG+가/JKS
여전히	여전히/MAG
낮고	낮/VA+고/EC
고등교육	고등/NNG+교육/NNG
경쟁력을	경쟁력/NNG+을/JKO
떨어뜨렸다는	떨어뜨리/VV+었/EP+다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.310.6.4
공약에 없던 역사 교과서 국정화 작업은 사회적 갈등을 키운 채 밀실에서 진행되고 있다.

공약에	공약/NNG+에/JKB
없던	없/VA+던/ETM
역사	역사/NNG
교과서	교과서/NNG
국정화	국정/NNG+화/XSN
작업은	작업/NNG+은/JX
사회적	사회/NNG+적/XSN
갈등을	갈등/NNG+을/JKO
키운	키우/VV+ㄴ/ETM
채	채/NNB
밀실에서	밀실/NNG+에서/JKB
진행되고	진행/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.310.6.5
지난해 최대 현안이었던 문·이과 통합 교육과정 개편은 국정화 논란에 뒤섞여 졸속으로 진행됐다는 비판을 낳고 있다.

지난해	지난해/NNG
최대	최대/NNG
현안이었던	현안/NNG+이/VCP+었/EP+던/ETM
문·이과	문·이과/NNG
통합	통합/NNG
교육과정	교육/NNG+과정/NNG
개편은	개편/NNG+은/JX
국정화	국정/NNG+화/XSN
논란에	논란/NNG+에/JKB
뒤섞여	뒤섞이/VV+어/EC
졸속으로	졸속/NNG+으로/JKB
진행됐다는	진행/NNG+되/XSV+었/EP+다는/ETM
비판을	비판/NNG+을/JKO
낳고	낳/VV+고/EC
있다.	있/VX+다/EF+./SF


