# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.418
metadata : {}


# id : NWRW1800000036.418.1.1
MB 명의로 사저 터 건물 철거계약…‘직접 개입’ 첫 단서

MB	MB/SL
명의로	명의/NNG+로/JKB
사저	사저/NNG
터	터/NNG
건물	건물/NNG
철거계약…‘직접	철거/NNG+계약/NNG+…/SE+‘/SS+직접/NNG
개입’	개입/NNG+’/SS
첫	첫/MMN
단서	단서/NNG


# id : NWRW1800000036.418.2.1
[한겨레] “철거비 이대통령 계좌서 이체”

[한겨레]	[/SS+한겨레/NNP+]/SS
“철거비	“/SS+철거비/NNG
이대통령	이/NNP+대통령/NNG
계좌서	계좌/NNG+서/JKB
이체”	이체/NNG+”/SS


# id : NWRW1800000036.418.3.1
특검, 건설 관계자 진술 받아내

특검,	특검/NNG+,/SP
건설	건설/NNG
관계자	관계자/NNG
진술	진술/NNG
받아내	받/VV+아/EC+내/VX+어/EF


# id : NWRW1800000036.418.4.1
시형씨 명의신탁 혐의 짙어져

시형씨	시형/NNP+씨/NNB
명의신탁	명의/NNG+신탁/NNG
혐의	혐의/NNG
짙어져	짙/VA+어/EC+지/VX+어/EF


# id : NWRW1800000036.418.5.1
청와대에 사저 문건 제출 요청

청와대에	청와대/NNP+에/JKB
사저	사저/NNG
문건	문건/NNG
제출	제출/NNG
요청	요청/NNG


# id : NWRW1800000036.418.6.1
오늘 김백준 전 총무기획관 소환

오늘	오늘/MAG
김백준	김백준/NNP
전	전/MMD
총무기획관	총무/NNG+기획관/NNG
소환	소환/NNG


# id : NWRW1800000036.418.7.1
‘6억, 도곡동 땅판돈’ 가능성 제기

‘6억,	‘/SS+6/SN+억/NR+,/SP
도곡동	도곡동/NNP
땅판돈’	땅/NNG+파/VV+ㄴ/ETM+돈/NNG+’/SS
가능성	가능/NNG+성/XSN
제기	제기/NNG


# id : NWRW1800000036.418.8.1
이명박 대통령의 아들 이시형(34)씨 명의로 구입한 서울 내곡동 사저 터에 있던 건물의 철거 비용을 이 대통령이 직접 부담한 것으로 2일 확인됐다.

이명박	이명박/NNP
대통령의	대통령/NNG+의/JKG
아들	아들/NNG
이시형(34)씨	이시형/NNP+(/SS+34/SN+)/SS+씨/NNB
명의로	명의/NNG+로/JKB
구입한	구입/NNG+하/XSV+ㄴ/ETM
서울	서울/NNP
내곡동	내곡동/NNP
사저	사저/NNG
터에	터/NNG+에/JKB
있던	있/VA+던/ETM
건물의	건물/NNG+의/JKG
철거	철거/NNG
비용을	비용/NNG+을/JKO
이	이/NNP
대통령이	대통령/NNG+이/JKS
직접	직접/MAG
부담한	부담/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
2일	2/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.418.8.2
땅 매입에는 아들 시형씨를 내세우고 구체적인 업무 처리는 ‘실무진이 한 일’이라며 이번 사건과 거리를 둬왔던 이 대통령이 사저 건립에 직접 개입했음을 보여주는 첫 단서인 셈이다.

땅	땅/NNG
매입에는	매입/NNG+에/JKB+는/JX
아들	아들/NNG
시형씨를	시형/NNP+씨/NNB+를/JKO
내세우고	내세우/VV+고/EC
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
업무	업무/NNG
처리는	처리/NNG+는/JX
‘실무진이	‘/SS+실무진/NNG+이/JKS
한	하/VV+ㄴ/ETM
일’이라며	일/NNB+’/SS+이/VCP+라며/EC
이번	이번/NNG
사건과	사건/NNG+과/JKB
거리를	거리/NNG+를/JKO
둬왔던	두/VV+어/EC+오/VX+았/EP+던/ETM
이	이/NNP
대통령이	대통령/NNG+이/JKS
사저	사저/NNG
건립에	건립/NNG+에/JKB
직접	직접/MAG
개입했음을	개입/NNG+하/XSV+았/EP+음/ETN+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
첫	첫/MMN
단서인	단서/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.418.9.1
이광범 특별검사팀은 이날 김인종(67) 전 청와대 경호처장을 피의자 신분으로 불러 조사했으며, 청와대에 내곡동 사저 관련 자료 제출을 요구했다.

이광범	이광범/NNP
특별검사팀은	특별/NNG+검사/NNG+팀/NNG+은/JX
이날	이날/NNG
김인종(67)	김인종/NNP+(/SS+67/SN+)/SS
전	전/MMD
청와대	청와대/NNP
경호처장을	경호처장/NNG+을/JKO
