# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.196
metadata : {}


# id : NWRW1800000049.196.1.1
연구중심대학이 개발한 생활 신기술 3題

연구중심대학이	연구/NNG+중심/NNG+대학/NNG+이/JKS
개발한	개발/NNG+하/XSV+ㄴ/ETM
생활	생활/NNG
신기술	신/XPN+기술/NNG
3題	3/SN+題/SH


# id : NWRW1800000049.196.2.1
▼ 집값 변동 99% 맞히는 ‘족집게 AI’ ▼

▼	▼/SW
집값	집값/NNG
변동	변동/NNG
99%	99/SN+%/SW
맞히는	맞히/VV+는/ETM
‘족집게	‘/SS+족집게/NNG
AI’	AI/SL+’/SS


# id : NWRW1800000049.196.3.1
최재식 울산과학기술원(UNIST) 교수팀은 주가, 환율 등 시간에 따라 변화하는 다중 시계열 데이터를 자동으로 분석해 보고서를 작성해 주는 인공지능(AI) 시스템인 ‘관계형 자동 통계학자 시스템’을 개발했다고 27일 밝혔다.

최재식	최재식/NNP
울산과학기술원(UNIST)	울산과학기술원/NNP+(/SS+UNIST/SL+)/SS
교수팀은	교수/NNG+팀/NNG+은/JX
주가,	주가/NNG+,/SP
환율	환율/NNG
등	등/NNB
시간에	시간/NNG+에/JKB
따라	따르/VV+아/EC
변화하는	변화/NNG+하/XSV+는/ETM
다중	다중/NNG
시계열	시계열/NNG
데이터를	데이터/NNG+를/JKO
자동으로	자동/NNG+으로/JKB
분석해	분석/NNG+하/XSV+아/EC
보고서를	보고서/NNG+를/JKO
작성해	작성/NNG+하/XSV+아/EC
주는	주/VX+는/ETM
인공지능(AI)	인공/NNG+지능/NNG+(/SS+AI/SL+)/SS
시스템인	시스템/NNG+이/VCP+ㄴ/ETM
‘관계형	‘/SS+관계/NNG+형/XSN
자동	자동/NNG
통계학자	통계학자/NNG
시스템’을	시스템/NNG+’/SS+을/JKO
개발했다고	개발/NNG+하/XSV+았/EP+다고/EC
27일	27/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.196.4.1
연구진은 데이터군에 공통적인 변화를 일으키는 요소와 개별 데이터를 변화시키는 요소를 자동으로 조합해 주는 알고리즘을 개발해 적용했다.

연구진은	연구진/NNG+은/JX
데이터군에	데이터군/NNG+에/JKB
공통적인	공통/NNG+적/XSN+이/VCP+ㄴ/ETM
변화를	변화/NNG+를/JKO
일으키는	일으키/VV+는/ETM
요소와	요소/NNG+와/JC
개별	개별/NNG
데이터를	데이터/NNG+를/JKO
변화시키는	변화/NNG+시키/XSV+는/ETM
요소를	요소/NNG+를/JKO
자동으로	자동/NNG+으로/JKB
조합해	조합/NNG+하/XSV+아/EC
주는	주/VX+는/ETM
알고리즘을	알고리즘/NNG+을/JKO
개발해	개발/NNG+하/XSV+아/EC
적용했다.	적용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.196.4.2
그 결과 이 시스템은 미국 매사추세츠공대(MIT), 영국 케임브리지대가 개발한 기존 AI 시스템보다 실제 값과 예측 값의 차이(오차)가 40∼60%가량 적은 것으로 확인됐다.

그	그/MMD
결과	결과/NNG
이	이/MMD
시스템은	시스템/NNG+은/JX
미국	미국/NNP
매사추세츠공대(MIT),	매사추세츠공대/NNP+(/SS+MIT/SL+)/SS+,/SP
영국	영국/NNP
케임브리지대가	케임브리지대/NNP+가/JKS
개발한	개발/NNG+하/XSV+ㄴ/ETM
기존	기존/NNG
AI	AI/SL
시스템보다	시스템/NNG+보다/JKB
실제	실제/NNG
값과	값/NNG+과/JC
예측	예측/NNG
값의	값/NNG+의/JKG
차이(오차)가	차이/NNG+(/SS+오차/NNG+)/SS+가/JKS
40∼60%가량	40/SN+∼/SO+60/SN+%/SW+가량/XSN
적은	적/VA+은/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.196.4.3
이 시스템이 2004∼2013년 미국 6대 도시의 집값을 학습한 뒤 예측한 이후 13개월 동안의 집값은 기존보다 오차가 60.1% 줄어 실제 집값의 99% 수준이었다.

이	이/MMD
시스템이	시스템/NNG+이/JKS
2004∼2013년	2004/SN+∼/SO+2013/SN+년/NNB
미국	미국/NNP
6대	6/SN+대/NNG
도시의	도시/NNG+의/JKG
집값을	집값/NNG+을/JKO
학습한	학습/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
예측한	예측/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
13개월	13/SN+개월/NNB
동안의	동안/NNG+의/JKG
집값은	집값/NNG+은/JX
기존보다	기존/NNG+보다/JKB
오차가	오차/NNG+가/JKS
60.1%	60/SN+./SP+1/SN+%/SW
줄어	줄/VV+어/EC
실제	실제/NNG
집값의	집값/NNG+의/JKG
99%	99/SN+%/SW
수준이었다.	수준/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.196.5.1
최 교수는 “금융 분야는 물론이고 주요 부품의 이상 여부를 조기에 진단해야 하는 원자력발전소, 중공업, 군 산업 등 다양한 분야에 활용할 수 있을 것”이라고 밝혔다.

최	최/NNP
교수는	교수/NNG+는/JX
“금융	“/SS+금융/NNG
분야는	분야/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
주요	주요/NNG
부품의	부품/NNG+의/JKG
이상	이상/NNG
여부를	여부/NNG+를/JKO
조기에	조기/NNG+에/JKB
진단해야	진단/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
원자력발전소,	원자력/NNG+발전소/NNG+,/SP
중공업,	중공업/NNG+,/SP
군	군/NNG
산업	산업/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
분야에	분야/NNG+에/JKB
활용할	활용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.196.5.2
이번 연구 결과는 22일 미국 뉴욕에서 열린 ‘제33회 국제 머신러닝 학술대회(ICML 2016)’에서 발표됐다.

이번	이번/NNG
연구	연구/NNG
결과는	결과/NNG+는/JX
22일	22/SN+일/NNB
미국	미국/NNP
뉴욕에서	뉴욕/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘제33회	‘/SS+제/XPN+33/SN+회/NNB
국제	국제/NNG
머신러닝	머신/NNG+러닝/NNG
학술대회(ICML	학술/NNG+대회/NNG+(/SS+ICML/SL
2016)’에서	2016/SN+)/SS+’/SS+에서/JKB
발표됐다.	발표/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.196.6.1
▼ 과일 당도-폭탄주 도수, 그림자로 측정 ▼

▼	▼/SW
과일	과일/NNG
당도-폭탄주	당도/NNG+-/SO+폭탄주/NNG
도수,	도수/NNG+,/SP
그림자로	그림자/NNG+로/JKB
측정	측정/NNG


# id : NWRW1800000049.196.7.1
수박 당도는 물론이고 폭탄주 도수를 직접 맛보지 않고도 알아낼 수 있는 기술이 개발됐다.

수박	수박/NNG
당도는	당도/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
폭탄주	폭탄주/NNG
도수를	도수/NNG+를/JKO
직접	직접/MAG
맛보지	맛보/VV+지/EC
않고도	않/VX+고/EC+도/JX
알아낼	알아내/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기술이	기술/NNG+이/JKS
개발됐다.	개발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.196.7.2
김동성 포스텍 기계공학과 교수팀은 비싼 광학장비 없이 액체 그림자를 이용해 액체 속에 포함된 용질의 양을 알 수 있는 기술을 개발했다고 27일 밝혔다.

김동성	김동성/NNP
포스텍	포스텍/NNP
기계공학과	기계/NNG+공학과/NNG
교수팀은	교수/NNG+팀/NNG+은/JX
비싼	비싸/VA+ㄴ/ETM
광학장비	광학/NNG+장비/NNG
없이	없이/MAG
액체	액체/NNG
그림자를	그림자/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
속에	속/NNG+에/JKB
포함된	포함/NNG+되/XSV+ㄴ/ETM
용질의	용질/NNG+의/JKG
양을	양/NNG+을/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기술을	기술/NNG+을/JKO
개발했다고	개발/NNG+하/XSV+았/EP+다고/EC
27일	27/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.196.8.1
연구팀은 투명한 사각기둥 속에 원통형 저장 공간을 만들어 액체를 채운 뒤 사각기둥에 빛을 비출 때 만들어지는 그림자를 이용해 굴절률을 알아낼 수 있는 방법을 고안했다.

연구팀은	연구/NNG+팀/NNG+은/JX
투명한	투명/NNG+하/XSA+ㄴ/ETM
사각기둥	사각기둥/NNG
속에	속/NNG+에/JKB
원통형	원통/NNG+형/XSN
저장	저장/NNG
공간을	공간/NNG+을/JKO
만들어	만들/VV+어/EC
액체를	액체/NNG+를/JKO
채운	채우/VV+ㄴ/ETM
뒤	뒤/NNG
사각기둥에	사각기둥/NNG+에/JKB
빛을	빛/NNG+을/JKO
비출	비추/VV+ㄹ/ETM
때	때/NNG
만들어지는	만들/VV+어/EC+지/VX+는/ETM
그림자를	그림자/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
굴절률을	굴절/NNG+률/XSN+을/JKO
알아낼	알아내/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
방법을	방법/NNG+을/JKO
고안했다.	고안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.196.8.2
그 결과 액체 굴절률이 증가하면 그림자 너비가 감소했다.

그	그/MMD
결과	결과/NNG
액체	액체/NNG
굴절률이	굴절/NNG+률/XSN+이/JKS
증가하면	증가/NNG+하/XSV+면/EC
그림자	그림자/NNG
너비가	너비/NNG+가/JKS
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.196.8.3
반대로 굴절률이 감소하면 그림자 너비가 증가했다.

반대로	반대/NNG+로/JKB
굴절률이	굴절/NNG+률/XSN+이/JKS
감소하면	감소/NNG+하/XSV+면/EC
그림자	그림자/NNG
너비가	너비/NNG+가/JKS
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.196.8.4
액체 당도나 술 도수에 의해서도 그림자 너비가 바뀌는 만큼 그림자 너비에 대한 데이터만 사전에 준비하면 당도와 도수를 알 수 있다.

액체	액체/NNG
당도나	당도/NNG+나/JC
술	술/NNG
도수에	도수/NNG+에/JKB
의해서도	의하/VV+아서/EC+도/JX
그림자	그림자/NNG
너비가	너비/NNG+가/JKS
바뀌는	바뀌/VV+는/ETM
만큼	만큼/NNB
너비에	너비/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
데이터만	데이터/NNG+만/JX
사전에	사전/NNG+에/JKB
준비하면	준비/NNG+하/XSV+면/EC
당도와	당도/NNG+와/JC
도수를	도수/NNG+를/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.196.8.5
사용법과 원리가 간단해 일반인도 활용하기 쉽다.

사용법과	사용법/NNG+과/JC
원리가	원리/NNG+가/JKS
간단해	간단하/VA+아/EC
일반인도	일반인/NNG+도/JX
활용하기	활용/NNG+하/XSV+기/ETN
쉽다.	쉽/VA+다/EF+./SF


# id : NWRW1800000049.196.8.6
김 교수는 “자연광을 이용하면 외부 전원도 필요 없고, 제작도 단순해 폭넓은 활용이 기대된다”고 설명했다.

김	김/NNP
교수는	교수/NNG+는/JX
“자연광을	“/SS+자연광/NNG+을/JKO
이용하면	이용/NNG+하/XSV+면/EC
외부	외부/NNG
전원도	전원/NNG+도/JX
필요	필요/NNG
없고,	없/VA+고/EC+,/SP
제작도	제작/NNG+도/JX
단순해	단순/NNG+하/XSA+아/EC
폭넓은	폭넓/VA+은/ETM
활용이	활용/NNG+이/JKS
기대된다”고	기대/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.196.8.7
이번 연구 결과는 ‘네이처’ 자매지 ‘사이언티픽 리포트’ 15일자에 실렸다.

이번	이번/NNG
연구	연구/NNG
결과는	결과/NNG+는/JX
‘네이처’	‘/SS+네이처/NNP+’/SS
자매지	자매지/NNG
‘사이언티픽	‘/SS+사이언티픽/NNP
리포트’	리포트/NNP+’/SS
15일자에	15/SN+일자/NNG+에/JKB
실렸다.	실리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.196.9.1
▼ 물속 수은 90% 이상 걸러주는 흡착제 ▼

▼	▼/SW
물속	물속/NNG
수은	수은/NNG
90%	90/SN+%/SW
이상	이상/NNG
걸러주는	거르/VV+어/EC+주/VX+는/ETM
흡착제	흡착제/NNG


# id : NWRW1800000049.196.10.1
물속에 함유된 수은을 90% 이상 걸러주는 흡착제가 개발됐다.

물속에	물속/NNG+에/JKB
함유된	함유/NNG+되/XSV+ㄴ/ETM
수은을	수은/NNG+을/JKO
90%	90/SN+%/SW
이상	이상/NNG
걸러주는	거르/VV+어/EC+주/VX+는/ETM
흡착제가	흡착제/NNG+가/JKS
개발됐다.	개발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.196.10.2
윤명한 광주과학기술원(GIST) 신소재공학부 교수팀은 27일 “높은 효율로 수은을 제거하면서 재활용도 가능한 흡착제를 처음으로 개발했다”고 밝혔다.

윤명한	윤명한/NNP
광주과학기술원(GIST)	광주과학기술원/NNP+(/SS+GIST/SL+)/SS
신소재공학부	신/XPN+소재/NNG+공학부/NNG
교수팀은	교수/NNG+팀/NNG+은/JX
27일	27/SN+일/NNB
“높은	“/SS+높/VA+은/ETM
효율로	효율/NNG+로/JKB
수은을	수은/NNG+을/JKO
제거하면서	제거/NNG+하/XSV+면서/EC
재활용도	재/XPN+활용/NNG+도/JX
가능한	가능/NNG+하/XSA+ㄴ/ETM
