# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.232
metadata : {}


# id : NWRW1800000049.232.1.1
‘지우개’서 ‘피자’로?…리우올림픽 이란 선수단복 수모

‘지우개’서	‘/SS+지우개/NNG+’/SS+서/JKB
‘피자’로?…리우올림픽	‘/SS+피자/NNG+’/SS+로/JKB+?/SF+…/SE+리우/NNP+올림픽/NNG
이란	이란/NNP
선수단복	선수단복/NNG
수모	수모/NNG


# id : NWRW1800000049.232.2.1
한국 선수단복은 ‘베스트 6’ 뽑혀

한국	한국/NNP
선수단복은	선수단복/NNG+은/JX
‘베스트	‘/SS+베스트/NNG
6’	6/SN+’/SS
뽑혀	뽑히/VV+어/EF


# id : NWRW1800000049.232.3.1
‘스포츠 의류를 위한 세계에서 가장 큰 런웨이.’

‘스포츠	‘/SS+스포츠/NNG
의류를	의류/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
세계에서	세계/NNG+에서/JKB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
런웨이.’	런웨이/NNG+./SF+’/SS


# id : NWRW1800000049.232.4.1
패션 전문가인 스테판 라비모프는 리우데자네이루 올림픽을 이렇게 표현했다.

패션	패션/NNG
전문가인	전문가/NNG+이/VCP+ㄴ/ETM
스테판	스테판/NNP
라비모프는	라비모프/NNP+는/JX
리우데자네이루	리우데자네이루/NNP
올림픽을	올림픽/NNG+을/JKO
이렇게	이렇/VA+게/EC
표현했다.	표현/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.232.4.2
올림픽에서 선수들이 입는 선수단복에는 자긍심과 사기를 드높이는 의미가 담겨 있다.

올림픽에서	올림픽/NNG+에서/JKB
선수들이	선수/NNG+들/XSN+이/JKS
입는	입/VV+는/ETM
선수단복에는	선수단복/NNG+에/JKB+는/JX
자긍심과	자긍심/NNG+과/JC
사기를	사기/NNG+를/JKO
드높이는	드높이/VV+는/ETM
의미가	의미/NNG+가/JKS
담겨	담기/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.232.4.3
이 때문에 각국은 가장 아름답고 기능적인 선수단복을 선보이기 위해 노력한다.

이	이/NP
때문에	때문/NNB+에/JKB
각국은	각국/NNG+은/JX
가장	가장/MAG
아름답고	아름답/VA+고/EC
기능적인	기능/NNG+적/XSN+이/VCP+ㄴ/ETM
선수단복을	선수단복/NNG+을/JKO
