# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.197
metadata : {}


# id : NWRW1800000021.197.1.1
“충격적인 판갈아엎기… 후속 인사태풍 언제 얼마까지”

“충격적인	“/SS+충격/NNG+적/XSN+이/VCP+ㄴ/ETM
판갈아엎기…	판/NNG+갈아엎/VV+기/ETN+…/SE
후속	후속/NNG
인사태풍	인사/NNG+태풍/NNG
언제	언제/NP
얼마까지”	얼마/NNG+까지/JX+”/SS


# id : NWRW1800000021.197.2.1
“혁명적인 인사다.

“혁명적인	“/SS+혁명/NNG+적/XSN+이/VCP+ㄴ/ETM
인사다.	인사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.197.2.2
앞으로 어떻게 될지 그림이 그려지지 않는다.”

앞으로	앞/NNG+으로/JKB
어떻게	어떻/VA+게/EC
될지	되/VV+ㄹ지/EC
그림이	그림/NNG+이/JKS
그려지지	그리/VV+어/EC+지/VX+지/EC
않는다.”	않/VX+는다/EF+./SF+”/SS


# id : NWRW1800000021.197.3.1
21일 천성관 서울중앙지검장(사법연수원 12기)이 검찰총장에 내정되자 검찰 내부는 발칵 뒤집혔다.

21일	21/SN+일/NNB
천성관	천성관/NNP
서울중앙지검장(사법연수원	서울중앙지검장/NNG+(/SS+사법/NNG+연수원/NNG
12기)이	12/SN+기/NNG+)/SS+이/JKS
검찰총장에	검찰/NNG+총장/NNG+에/JKB
내정되자	내정/NNG+되/XSV+자/EC
검찰	검찰/NNG
내부는	내부/NNG+는/JX
발칵	발칵/MAG
뒤집혔다.	뒤집히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.197.3.2
법무부와 검찰 내에선 전임 임채진 전 총장(9기)의 후임은 10기 중에서 맡아 조직을 안정시켜야 한다는 의견이 대세였지만 3기수나 후배인 천 내정자가 결정됨에 따라 대대적인 인사 태풍을 예고하고 있기 때문이다.

법무부와	법무부/NNG+와/JC
검찰	검찰/NNG
내에선	내/NNB+에서/JKB+ㄴ/JX
전임	전임/NNG
임채진	임채진/NNP
전	전/MMD
총장(9기)의	총장/NNG+(/SS+9/SN+기/NNG+)/SS+의/JKG
후임은	후임/NNG+은/JX
10기	10/SN+기/NNG
중에서	중/NNB+에서/JKB
맡아	맡/VV+아/EC
조직을	조직/NNG+을/JKO
안정시켜야	안정/NNG+시키/XSV+어야/EC
한다는	하/VX+ㄴ다는/ETM
의견이	의견/NNG+이/JKS
대세였지만	대세/NNG+이/VCP+었/EP+지만/EC
3기수나	3/SN+기수/NNG+나/JX
후배인	후배/NNG+이/VCP+ㄴ/ETM
천	천/NNP
내정자가	내정자/NNG+가/JKS
결정됨에	결정/NNG+되/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
대대적인	대대적/NNG+이/VCP+ㄴ/ETM
인사	인사/NNG
태풍을	태풍/NNG+을/JKO
예고하고	예고/NNG+하/XSV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.197.4.1
서울 지역의 한 검사장은 “이명박 대통령이 검찰 인사를 땜질하는 식으로 해 오다가 이번에 확실한 자기 인사를 하려는 것 같다”고 말했다.

서울	서울/NNP
지역의	지역/NNG+의/JKG
한	한/MMN
검사장은	검사장/NNG+은/JX
“이명박	“/SS+이명박/NNP
대통령이	대통령/NNG+이/JKS
검찰	검찰/NNG
인사를	인사/NNG+를/JKO
땜질하는	땜/NNG+질/XSN+하/XSV+는/ETM
식으로	식/NNB+으로/JKB
해	하/VV+아/EC
오다가	오/VX+다가/EC
이번에	이번/NNG+에/JKB
확실한	확실하/VA+ㄴ/ETM
자기	자기/NP
하려는	하/VV+려는/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.197.4.2
인사의 폭을 최대한 넓혀 물갈이를 하려는 것 아니냐는 분석이다.

인사의	인사/NNG+의/JKG
폭을	폭/NNG+을/JKO
최대한	최대한/MAG
넓혀	넓히/VV+어/EC
물갈이를	물갈이/NNG+를/JKO
하려는	하/VV+려는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.197.5.1
검찰 내에선 이번 인사를 과감한 ‘변화’와 ‘쇄신’의 출발로 보는 시각도 있다.

검찰	검찰/NNG
내에선	내/NNB+에서/JKB+ㄴ/JX
이번	이번/NNG
인사를	인사/NNG+를/JKO
과감한	과감하/VA+ㄴ/ETM
‘변화’와	‘/SS+변화/NNG+’/SS+와/JC
‘쇄신’의	‘/SS+쇄신/NNG+’/SS+의/JKG
출발로	출발/NNG+로/JKB
보는	보/VV+는/ETM
시각도	시각/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.197.5.2
법무부의 한 간부는 “판을 완전히 갈아엎는 인사다.

법무부의	법무부/NNG+의/JKG
한	한/MMN
간부는	간부/NNG+는/JX
“판을	“/SS+판/NNG+을/JKO
완전히	완전히/MAG
갈아엎는	갈아엎/VV+는/ETM
인사다.	인사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.197.5.3
모든 정치적인 계산과 해석이 아무런 의미가 없어졌다”고 말했다.

모든	모든/MMN
정치적인	정치/NNG+적/XSN+이/VCP+ㄴ/ETM
계산과	계산/NNG+과/JC
해석이	해석/NNG+이/JKS
아무런	아무런/MMD
의미가	의미/NNG+가/JKS
없어졌다”고	없어지/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.197.5.4
충남 논산 출신인 천 검사장은 영호남 중심의 검찰 내 지역 구도를 희석할 수 있는 인사여서 검찰 개혁을 추진하기에 부담이 적다는 평도 있다.

충남	충남/NNP
논산	논산/NNP
출신인	출신/NNG+이/VCP+ㄴ/ETM
천	천/NNP
검사장은	검사장/NNG+은/JX
영호남	영호남/NNP
중심의	중심/NNG+의/JKG
검찰	검찰/NNG
내	내/NNB
지역	지역/NNG
구도를	구도/NNG+를/JKO
희석할	희석/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
인사여서	인사/NNG+이/VCP+어서/EC
개혁을	개혁/NNG+을/JKO
추진하기에	추진/NNG+하/XSV+기에/EC
부담이	부담/NNG+이/JKS
적다는	적/VA+다는/ETM
평도	평/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.197.5.5
또 ‘박연차 리스트’ 수사 이후 검찰에 대한 곱지 않은 시선을 바꿔 보려는 포석이라는 분석도 나온다.

또	또/MAG
‘박연차	‘/SS+박연차/NNP
리스트’	리스트/NNG+’/SS
수사	수사/NNG
이후	이후/NNG
검찰에	검찰/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
곱지	곱/VA+지/EC
않은	않/VX+은/ETM
시선을	시선/NNG+을/JKO
바꿔	바꾸/VV+어/EC
보려는	보/VV+려는/ETM
포석이라는	포석/NNG+이/VCP+라는/ETM
분석도	분석/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.197.5.6
그러나 ‘깜짝 인사’에 불만도 제기되고 있다.

그러나	그러나/MAJ
‘깜짝	‘/SS+깜짝/MAG
인사’에	인사/NNG+’/SS+에/JKB
불만도	불만/NNG+도/JX
제기되고	제기/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.197.5.7
법무부와 대검에선 많은 간부들이 청와대의 인사 발표 직전까지도 천 지검장이 내정될지 ‘감’조차 잡지 못했다.

법무부와	법무부/NNG+와/JC
대검에선	대검/NNG+에서/JKB+ㄴ/JX
많은	많/VA+은/ETM
간부들이	간부/NNG+들/XSN+이/JKS
청와대의	청와대/NNP+의/JKG
인사	인사/NNG
발표	발표/NNG
직전까지도	직전/NNG+까지/JX+도/JX
천	천/NNP
지검장이	지검장/NNG+이/JKS
내정될지	내정/NNG+되/XSV+ㄹ지/EC
‘감’조차	‘/SS+감/NNG+’/SS+조차/JX
잡지	잡/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.197.5.8
김경한 법무부 장관도 발표 전 인사 내용을 통보받고 당황한 것으로 알려졌다.

김경한	김경한/NNP
법무부	법무부/NNG
장관도	장관/NNG+도/JX
발표	발표/NNG
전	전/NNG
인사	인사/NNG
내용을	내용/NNG+을/JKO
통보받고	통보/NNG+받/XSV+고/EC
당황한	당황/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.197.6.1
천 지검장보다 선배인 한 고검장은 “대통령이 혹시 검찰을 일개 건설회사 정도로 생각하는 것 아니냐.

천	천/NNP
지검장보다	지검장/NNG+보다/JKB
선배인	선배/NNG+이/VCP+ㄴ/ETM
한	한/NNP
고검장은	고검장/NNG+은/JX
“대통령이	“/SS+대통령/NNG+이/JKS
혹시	혹시/MAG
검찰을	검찰/NNG+을/JKO
일개	일개/NNG
건설회사	건설/NNG+회사/NNG
정도로	정도/NNG+로/JKB
생각하는	생각/NNG+하/XSV+는/ETM
것	것/NNB
아니냐.	아니/VCN+냐/EF+./SF


# id : NWRW1800000021.197.6.2
대통령 주변에서 어떻게 보좌하는 것이냐”며 격앙된 반응을 보였다.

대통령	대통령/NNG
주변에서	주변/NNG+에서/JKB
어떻게	어떻/VA+게/EC
보좌하는	보좌/NNG+하/XSV+는/ETM
것이냐”며	것/NNB+이/VCP+냐/EF+”/SS+며/EC
