# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.401
metadata : {}


# id : NWRW1800000045.401.1.1
文 “잘돼 갑니까”… 安 “최선 다해야죠”

文	文/SH
“잘돼	“/SS+잘/MAG+되/XSV+어/EC
갑니까”…	가/VX+ㅂ니까/EF+”/SS+…/SE
安	安/SH
“최선	“/SS+최선/NNG
다해야죠”	다/MAG+하/XSV+아야지/EF+요/JX+”/SS


# id : NWRW1800000045.401.2.1
17일 만에 김근태 추도식서 만나… 휴게실서 5분간 어색한 동석

17일	17/SN+일/NNB
만에	만/NNB+에/JKB
김근태	김근태/NNP
추도식서	추도식/NNG+서/JKB
만나…	만나/VV+아/EC+…/SE
휴게실서	휴게실/NNG+서/JKB
5분간	5/SN+분/NNB+간/XSN
어색한	어색하/VA+ㄴ/ETM
동석	동석/NNG


# id : NWRW1800000045.401.3.1
“신당 작업은 잘돼 갑니까?”(더불어민주당 문재인 대표)

“신당	“/SS+신당/NNG
작업은	작업/NNG+은/JX
잘돼	잘/MAG+되/XSV+어/EC
갑니까?”(더불어민주당	가/VX+ㅂ니까/EF+?/SF+”/SS+(/SS+더불어민주당/NNP
문재인	문재인/NNP
대표)	대표/NNG+)/SS


# id : NWRW1800000045.401.4.1
“최선을 다하고 있습니다.

“최선을	“/SS+최선/NNG+을/JKO
다하고	다/MAG+하/XSV+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000045.401.4.2
(바빠서) 아마 연말연시 다 없을 것 같습니다.”(무소속 안철수 의원)

(바빠서)	(/SS+바쁘/VA+아서/EC+)/SS
아마	아마/MAG
연말연시	연말연시/NNG
다	다/MAG
없을	없/VA+을/ETM
것	것/NNB
같습니다.”(무소속	같/VA+습니다/EF+./SF+”/SS+(/SS+무/XPN+소속/NNG
안철수	안철수/NNP
의원)	의원/NNG+)/SS


# id : NWRW1800000045.401.5.1
문 대표와 안 의원이 30일 어색한 만남을 가졌다.

문	문/NNP
대표와	대표/NNG+와/JC
안	안/NNP
의원이	의원/NNG+이/JKS
30일	30/SN+일/NNB
어색한	어색하/VA+ㄴ/ETM
만남을	만남/NNG+을/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.401.5.2
이날 서울 도봉구 창동성당에서 열린 고 김근태 전 의원의 4주기 추도식에서다.

이날	이날/NNG
서울	서울/NNP
도봉구	도봉구/NNP
창동성당에서	창동성당/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
고	고/MMA
김근태	김근태/NNP
전	전/MMD
의원의	의원/NNG+의/JKG
4주기	4/SN+주기/NNB
추도식에서다.	추도식/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000045.401.6.1
두 사람은 추도식에 앞서 휴게실에서 만나 인사한 뒤 5분 동안 동석했다.

두	두/MMN
사람은	사람/NNG+은/JX
추도식에	추도식/NNG+에/JKB
앞서	앞서/VV+어/EC
휴게실에서	휴게실/NNG+에서/JKB
만나	만나/VV+아/EC
인사한	인사/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
5분	5/SN+분/NNB
동안	동안/NNG
동석했다.	동석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.401.6.2
하지만 그 사이에도 침묵이 여러 차례 흘렀다.

하지만	하지만/MAJ
그	그/MMD
사이에도	사이/NNG+에/JKB+도/JX
침묵이	침묵/NNG+이/JKS
여러	여러/MMN
차례	차례/NNG
흘렀다.	흐르/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.401.6.3
문 대표가 “신당 준비는 잘되느냐”고 물었고, 안 의원은 “선거구 획정 관련 여야 협상이 어떻게 되고 있느냐”는 식의 의례적인 대화만 오갔다.

문	문/NNP
대표가	대표/NNG+가/JKS
“신당	“/SS+신당/NNG
준비는	준비/NNG+는/JX
잘되느냐”고	잘/MAG+되/XSV+느냐/EF+”/SS+고/JKQ
물었고,	묻/VV+었/EP+고/EC+,/SP
안	안/NNP
의원은	의원/NNG+은/JX
“선거구	“/SS+선거구/NNG
획정	획정/NNG
관련	관련/NNG
여야	여야/NNG
협상이	협상/NNG+이/JKS
어떻게	어떻/VA+게/EC
되고	되/VV+고/EC
있느냐”는	있/VX+느냐/EF+”/SS+는/ETM
식의	식/NNB+의/JKG
의례적인	의례/NNG+적/XSN+이/VCP+ㄴ/ETM
대화만	대화/NNG+만/JX
오갔다.	오가/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.401.7.1
1시간여 진행된 추도식 내내 문 대표와 안 의원은 떨어져 앉아 눈도 마주치지 않았다.

1시간여	1/SN+시간/NNB+여/XSN
진행된	진행/NNG+되/XSV+ㄴ/ETM
추도식	추도식/NNG
내내	내내/MAG
문	문/NNP
대표와	대표/NNG+와/JC
안	안/NNP
의원은	의원/NNG+은/JX
떨어져	떨어지/VV+어/EC
앉아	앉/VV+아/EC
눈도	눈/NNG+도/JX
마주치지	마주치/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.401.7.2
문 대표는 미사실 오른쪽 좌석에 홀로 앉은 안 의원을 슬쩍 본 뒤 왼쪽 좌석에 자리를 잡았다.

문	문/NNP
대표는	대표/NNG+는/JX
미사실	미사실/NNG
오른쪽	오른쪽/NNG
좌석에	좌석/NNG+에/JKB
홀로	홀로/MAG
앉은	앉/VV+은/ETM
안	안/NNP
의원을	의원/NNG+을/JKO
슬쩍	슬쩍/MAG
본	보/VV+ㄴ/ETM
뒤	뒤/NNG
왼쪽	왼쪽/NNG
자리를	자리/NNG+를/JKO
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.401.7.3
이인영 의원이 안 의원에게 함께 앉을 것을 권했지만 안 의원은 “아무래도 같이 (사진에) 찍히는 게 좀…”이라며 거절했다.

이인영	이인영/NNP
의원이	의원/NNG+이/JKS
안	안/NNP
의원에게	의원/NNG+에게/JKB
함께	함께/MAG
앉을	앉/VV+을/ETM
것을	것/NNB+을/JKO
권했지만	권/NNG+하/XSV+았/EP+지만/EC
의원은	의원/NNG+은/JX
“아무래도	“/SS+아무래도/MAG
같이	같이/MAG
(사진에)	(/SS+사진/NNG+에/JKB+)/SS
찍히는	찍히/VV+는/ETM
게	거/NNB+이/JKS
좀…”이라며	좀/MAG+…/SE+”/SS+이/VCP+라며/EC
거절했다.	거절/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.401.8.1
문 대표는 추도식이 끝난 뒤 “어색하지 않았느냐”는 기자들의 질문에 “뭐, 어떻게 하겠느냐.

문	문/NNP
대표는	대표/NNG+는/JX
추도식이	추도식/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
“어색하지	“/SS+어색하/VA+지/EC
않았느냐”는	않/VX+았/EP+느냐/EF+”/SS+는/JX
