# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.105
metadata : {}


# id : NWRW1800000024.105.1.1
‘헌집 팔아줄게 새집 들어오렴’

‘헌집	‘/SS+헌/MMA+집/NNG
팔아줄게	팔/VV+아/EC+주/VX+ㄹ게/EF
새집	새집/NNG
들어오렴’	들어오/VV+렴/EF+’/SS


# id : NWRW1800000024.105.2.1
건설사들이 저조한 아파트 분양률과 입주율을 높이기 위한 이색 마케팅에 잇따라 나서고 있다.

건설사들이	건설사/NNG+들/XSN+이/JKS
저조한	저조/NNG+하/XSA+ㄴ/ETM
아파트	아파트/NNG
분양률과	분양/NNG+률/XSN+과/JC
입주율을	입주/NNG+율/XSN+을/JKO
높이기	높이/VV+기/ETN
위한	위하/VV+ㄴ/ETM
이색	이색/NNG
마케팅에	마케팅/NNG+에/JKB
잇따라	잇따르/VV+아/EC
나서고	나서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.105.2.2
대출 상담을 넘어 부동산 매매 상담에 문화마케팅까지 동원하고 있다.

대출	대출/NNG
상담을	상담/NNG+을/JKO
넘어	넘/VV+어/EC
부동산	부동산/NNG
매매	매매/NNG
상담에	상담/NNG+에/JKB
문화마케팅까지	문화/NNG+마케팅/NNG+까지/JX
동원하고	동원/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.105.3.1
대림산업은 지난 2일부터 입주가 시작된 남양주 양지 ‘e-편한세상’에 대한 종합적인 입주 촉진 마케팅을 실시하고 있다.

대림산업은	대림산업/NNP+은/JX
지난	지나/VV+ㄴ/ETM
2일부터	2/SN+일/NNB+부터/JX
입주가	입주/NNG+가/JKS
시작된	시작/NNG+되/XSV+ㄴ/ETM
남양주	남양주/NNP
양지	양지/NNP
‘e-편한세상’에	‘/SS+e-편한세상/NNP+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
종합적인	종합/NNG+적/XSN+이/VCP+ㄴ/ETM
입주	입주/NNG
촉진	촉진/NNG
마케팅을	마케팅/NNG+을/JKO
실시하고	실시/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.105.3.2
이 회사는 2월 초 ‘입주지원센터’를 열고 전화상담을 통해 전체 계약자의 입주 의사와 입주 방해 요소를 파악했다.

이	이/MMD
회사는	회사/NNG+는/JX
2월	2/SN+월/NNB
초	초/NNB
‘입주지원센터’를	‘/SS+입주/NNG+지원/NNG+센터/NNG+’/SS+를/JKO
열고	열/VV+고/EC
전화상담을	전화/NNG+상담/NNG+을/JKO
통해	통하/VV+아/EC
전체	전체/NNG
계약자의	계약자/NNG+의/JKG
입주	입주/NNG
의사와	의사/NNG+와/JC
방해	방해/NNG
요소를	요소/NNG+를/JKO
파악했다.	파악/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.105.3.3
예전 집을 팔지 못해 새집에 입주를 할 수 없게 된 계약자에겐 현지 중개업소와 연계해 매매와 전세를 알선해 주고 있다.

예전	예전/NNG
집을	집/NNG+을/JKO
팔지	팔/VV+지/EC
못해	못하/VX+아/EC
새집에	새집/NNG+에/JKB
입주를	입주/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
된	되/VV+ㄴ/ETM
계약자에겐	계약자/NNG+에게/JKB+ㄴ/JX
현지	현지/NNG
중개업소와	중개업소/NNG+와/JKB
연계해	연계/NNG+하/XSV+아/EC
매매와	매매/NNG+와/JC
전세를	전세/NNG+를/JKO
알선해	알선/NNG+하/XSV+아/EC
주고	주/VX+고/EC
