# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.101
metadata : {}


# id : NWRW1800000044.101.1.1
“한일협정 체결과정 밝혀 갈등현안 풀자”

“한일협정	“/SS+한일/NNP+협정/NNG
체결과정	체결/NNG+과정/NNG
밝혀	밝히/VV+어/EC
갈등현안	갈등/NNG+현안/NNG
풀자”	풀/VV+자/EF+”/SS


# id : NWRW1800000044.101.2.1
[한겨레] 일본시민단체 ‘한-일 유대회복 캠페인’

[한겨레]	[/SS+한겨레/NNP+]/SS
일본시민단체	일본/NNP+시민/NNG+단체/NNG
‘한-일	‘/SS+한/NNP+-/SO+일/NNP
유대회복	유대/NNG+회복/NNG
캠페인’	캠페인/NNG+’/SS


# id : NWRW1800000044.101.3.1
“14일 중의원 선거에서 아베 정권이 다시 집권할 것으로 보입니다.

“14일	“/SS+14/SN+일/NNB
중의원	중의원/NNG
선거에서	선거/NNG+에서/JKB
아베	아베/NNP
정권이	정권/NNG+이/JKS
다시	다시/MAG
집권할	집권/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보입니다.	보이/VV+ㅂ니다/EF+./SF


# id : NWRW1800000044.101.3.2
아베 정권은 그동안 진행해온 역사 수정주의 정책을 간단히 그만두진 않을 겁니다.

아베	아베/NNP
정권은	정권/NNG+은/JX
그동안	그동안/NNG
진행해온	진행/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
역사	역사/NNG
수정주의	수정주의/NNG
정책을	정책/NNG+을/JKO
간단히	간단히/MAG
그만두진	그만두/VV+지/EC+ㄴ/JX
않을	않/VX+을/ETM
겁니다.	거/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000044.101.3.3
일-한 시민들의 한층 더 끈끈한 연대가 필요한 시점입니다.”

일-한	일-한/NNP
시민들의	시민/NNG+들/XSN+의/JKG
한층	한층/MAG
더	더/MAG
끈끈한	끈끈하/VA+ㄴ/ETM
연대가	연대/NNG+가/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
시점입니다.”	시점/NNG+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000044.101.4.1
7일 오후 2시, 일본 도쿄 분쿄구 분쿄구민회관 3층.

7일	7/SN+일/NNB
오후	오후/NNG
2시,	2/SN+시/NNB+,/SP
일본	일본/NNP
도쿄	도쿄/NNP
분쿄구	분쿄구/NNP
분쿄구민회관	분쿄구민회관/NNP
3층.	3/SN+층/NNG+./SF


# id : NWRW1800000044.101.4.2
내년 한-일 국교정상화 50돌을 맞아 한-일 양국의 우호와 협력을 강화하기 위해 일본 시민들이 모여 만든 ‘한·일 유대회복 캠페인’(이하 캠페인)의 야노 히데키 사무국장이 입을 열었다.

내년	내년/NNG
한-일	한/NNP+-/SO+일/NNP
국교정상화	국교/NNG+정상/NNG+화/XSN
50돌을	50/SN+돌/NNB+을/JKO
맞아	맞/VV+아/EC
양국의	양국/NNG+의/JKG
우호와	우호/NNG+와/JC
협력을	협력/NNG+을/JKO
강화하기	강화/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
일본	일본/NNP
시민들이	시민/NNG+들/XSN+이/JKS
모여	모이/VV+어/EC
만든	만들/VV+ㄴ/ETM
‘한·일	‘/SS+한/NNP+·/SP+일/NNP
유대회복	유대/NNG+회복/NNG
캠페인’(이하	캠페인/NNG+’/SS+(/SS+이하/NNG
캠페인)의	캠페인/NNG+)/SS+의/JKG
야노	야노/NNP
히데키	히데키/NNP
사무국장이	사무국장/NNG+이/JKS
입을	입/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.101.4.3
캠페인은 4년 전인 2010년 8월 ‘한-일 병합조약은 무효’라는 양국 ‘시민공동선언’을 내놓은 일본의 활동가들이 위안부 문제 등으로 악화된 한-일 관계의 개선책을 찾기 위해 지난 2월 출범시킨 단체다.

캠페인은	캠페인/NNG+은/JX
4년	4/SN+년/NNB
전인	전/NNG+이/VCP+ㄴ/ETM
2010년	2010/SN+년/NNB
8월	8/SN+월/NNB
‘한-일	‘/SS+한/NNP+-/SO+일/NNP
병합조약은	병합/NNG+조약/NNG+은/JX
무효’라는	무효/NNG+’/SS+이/VCP+라는/ETM
양국	양국/NNG
‘시민공동선언’을	‘/SS+시민/NNG+공동/NNG+선언/NNG+’/SS+을/JKO
내놓은	내놓/VV+은/ETM
일본의	일본/NNP+의/JKG
활동가들이	활동가/NNG+들/XSN+이/JKS
위안부	위안부/NNG
문제	문제/NNG
