# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.211
metadata : {}


# id : NWRW1800000030.211.1.1
'미스터 스리런' 가르시아

'미스터	'/SS+미스터/NNG
스리런'	스리/NNG+런/NNG+'/SS
가르시아	가르시아/NNP


# id : NWRW1800000030.211.2.1
•3점 홈런 2개 터뜨려 한화, SK 3연패로 몰아

•3점	•/SW+3/SN+점/NNB
홈런	홈런/NNG
2개	2/SN+개/NNB
터뜨려	터뜨리/VV+어/EC
한화,	한화/NNP+,/SP
SK	SK/SL
3연패로	3/SN+연패/NNG+로/JKB
몰아	몰/VV+아/EF


# id : NWRW1800000030.211.3.1
한화의 카림 가르시아가 또 괴력 홈런 쇼를 펼쳤다.

한화의	한화/NNP+의/JKG
카림	카림/NNP
가르시아가	가르시아/NNP+가/JKS
또	또/MAG
괴력	괴력/NNG
홈런	홈런/NNG
쇼를	쇼/NNG+를/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.211.3.2
가르시아는 30일 SK와 벌인 프로야구 문학 원정경기에서 3점홈런 두 방을 터뜨려 팀의 9대6 승리를 이끌었다.

가르시아는	가르시아/NNP+는/JX
30일	30/SN+일/NNB
SK와	SK/SL+와/JKB
벌인	벌이/VV+ㄴ/ETM
프로야구	프로/NNG+야구/NNG
문학	문학/NNP
원정경기에서	원정/NNG+경기/NNG+에서/JKB
3점홈런	3/SN+점/NNB+홈런/NNG
두	두/MMN
방을	방/NNB+을/JKO
터뜨려	터뜨리/VV+어/EC
팀의	팀/NNG+의/JKG
9대6	9/SN+대/NNB+6/SN
승리를	승리/NNG+를/JKO
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.211.4.1
5번 타자로 선발 출전한 가르시아는 1―0으로 앞서던 1회 1사 2·3루 기회에서 SK 에이스 투수 게리 글로버가 던진 초구 직구를 받아쳐 오른쪽 담장을 넘겼다.

5번	5/SN+번/NNB
타자로	타자/NNG+로/JKB
선발	선발/NNG
출전한	출전/NNG+하/XSV+ㄴ/ETM
가르시아는	가르시아/NNP+는/JX
1―0으로	1/SN+―/SS+0/SN+으로/JKB
앞서던	앞서/VV+던/ETM
1회	1/SN+회/NNB
1사	1/SN+사/NNG
2·3루	2·3루/NNG
기회에서	기회/NNG+에서/JKB
SK	SK/SL
에이스	에이스/NNG
투수	투수/NNG
게리	게리/NNP
글로버가	글로버/NNP+가/JKS
던진	던지/VV+ㄴ/ETM
초구	초구/NNG
직구를	직구/NNG+를/JKO
받아쳐	받아치/VV+어/EC
오른쪽	오른쪽/NNG
담장을	담장/NNG+을/JKO
넘겼다.	넘기/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.211.4.2
그는 6―5로 쫓기던 7회 1사 1·2루 상황에선 SK 계투진의 핵심인 정우람을 공략, 다시 우월 3점포로 연결했다.

그는	그/NP+는/JX
6―5로	6/SN+―/SS+5/SN+로/JKB
쫓기던	쫓기/VV+던/ETM
7회	7/SN+회/NNB
1사	1/SN+사/NNG
1·2루	1/SN+·/SP+2루/NNG
상황에선	상황/NNG+에서/JKB+ㄴ/JX
SK	SK/SL
